ensembl_gene_id,gene_name,RPE1_baseline,K562_Ess_baseline,K562_GWPS_baseline
ENSG00000000419,DPM1,0.67816085,1.163626,0.81654865
ENSG00000000457,SCYL3,,0.12679112,0.10661841
ENSG00000000460,C1orf112,,0.41282862,0.29372922
ENSG00000001036,FUCA2,1.2697634,1.0064725,0.880451
ENSG00000001084,GCLC,0.13138232,0.29819348,0.22730374
ENSG00000001461,NIPAL3,0.4459735,0.12795605,0.13026094
ENSG00000001497,LAS1L,0.46358037,1.290236,0.94736713
ENSG00000001629,ANKIB1,0.67146635,0.19665264,0.1639107
ENSG00000001630,CYP51A1,0.74270225,1.2504741,1.1455338
ENSG00000001631,KRIT1,0.36665437,0.60176986,0.47182748
ENSG00000002330,BAD,1.1073571,0.34320608,0.29043603
ENSG00000002549,LAP3,0.37504533,1.0363821,0.75756353
ENSG00000002586,CD99,1.9573687,1.5920913,1.4673575
ENSG00000002822,MAD1L1,0.22201717,0.5355585,0.5107284
ENSG00000002834,LASP1,0.82713675,0.42757368,0.35602984
ENSG00000003056,M6PR,1.8451308,0.98624516,0.81304765
ENSG00000003147,ICA1,,0.16701786,0.19120379
ENSG00000003393,ALS2,0.20944169,0.19851957,0.1575066
ENSG00000003400,CASP10,,0.1569431,0.15173486
ENSG00000003402,CFLAR,0.3027152,0.9061175,0.8615442
ENSG00000003436,TFPI,2.121244,0.29121014,0.30860162
ENSG00000003509,NDUFAF7,0.142384,0.31924316,0.24493381
ENSG00000003756,RBM5,0.41448745,0.82252413,0.6469794
ENSG00000004059,ARF5,0.83490443,1.4370567,1.2048469
ENSG00000004142,POLDIP2,0.90466434,1.0988792,0.8263903
ENSG00000004455,AK2,1.1666725,3.8889873,2.7904456
ENSG00000004478,FKBP4,1.420709,2.3910713,1.652466
ENSG00000004487,KDM1A,1.3861318,2.366028,2.0470865
ENSG00000004534,RBM6,0.46483433,1.1475433,0.89656824
ENSG00000004700,RECQL,1.6225666,0.36796847,0.2981943
ENSG00000004766,VPS50,0.16854103,0.17046732,0.12654562
ENSG00000004779,NDUFAB1,3.1175537,6.482058,4.619631
ENSG00000004864,SLC25A13,0.21364973,0.5488794,0.40135884
ENSG00000004866,ST7,0.14303748,0.37595996,0.26863727
ENSG00000004897,CDC27,1.1360242,0.99951494,0.75248516
ENSG00000004961,HCCS,0.5703213,1.0250663,0.69047594
ENSG00000004975,DVL2,0.18338923,0.23047177,0.17345011
ENSG00000005007,UPF1,0.32079497,0.64428085,0.47162402
ENSG00000005020,SKAP2,,0.41468003,0.36043844
ENSG00000005022,SLC25A5,5.7404585,5.2036967,4.4907546
ENSG00000005059,MCUB,0.69220924,0.4006865,0.34808937
ENSG00000005075,POLR2J,1.7856507,2.0885587,1.5189834
ENSG00000005100,DHX33,0.31936812,0.4706619,0.31262463
ENSG00000005156,LIG3,0.19313629,0.4929424,0.39496568
ENSG00000005175,RPAP3,0.46207076,0.72591,0.51387894
ENSG00000005187,ACSM3,,0.79430443,1.0899242
ENSG00000005189,REXO5,,0.17598763,0.15623988
