perturbation,spearman_rho,pvalue,target_gene
8214_SNIP1_P1P2_ENSG00000163877,0.296779707381906,2.3097588327009817e-58,SNIP1
2044_DBR1_P1P2_ENSG00000138231,0.2874426897909574,1.0510274133844585e-54,DBR1
7186_RBMX2_P1P2_ENSG00000134597,0.2843568063852021,1.5865255678768365e-53,RBMX2
8332_SPC25_P1P2_ENSG00000152253,0.28297531635480433,5.289006509158702e-53,SPC25
9473_U2AF1_P1P2_ENSG00000160201,0.28170314009238157,1.5933059457737372e-52,U2AF1
8126_SLU7_P1P2_ENSG00000164609,0.2802138366653614,5.7514231594890576e-52,SLU7
8621_SYMPK_P1P2_ENSG00000125755,0.2798070973841605,8.155097193347849e-52,SYMPK
7338_RNF113A_P1P2_ENSG00000125352,0.27963300325593476,9.468091240867912e-52,RNF113A
978_C14orf178_P1P2_ENSG00000197734,0.2788888706537165,1.7899973654581753e-51,C14orf178
2203_DHX15_P1P2_ENSG00000109606,0.27798848985172886,3.8581267651611215e-51,DHX15
2217_DHX8_P1P2_ENSG00000067596,0.27757803564675976,5.470217670211048e-51,DHX8
8238_SNW1_P1_ENSG00000100603,0.2771138614838251,8.112695315581113e-51,SNW1
6558_POLR3D_P1P2_ENSG00000168495,0.275310651028756,3.7234210327127425e-50,POLR3D
1408_CDC5L_P1P2_ENSG00000096401,0.2749786610866609,4.9230946485566285e-50,CDC5L
8460_SSU72_P1P2_ENSG00000160075,0.27296063044916385,2.6663431805557076e-49,SSU72
2291_DNAJC17_P1P2_ENSG00000104129,0.26901586075229733,6.952440439509576e-48,DNAJC17
1583_CHMP3_P1P2_ENSG00000115561,0.26800919271938994,1.5840034028494754e-47,CHMP3
4217_ISY1_P1P2_ENSG00000240682,0.2673408251088048,2.731151089142826e-47,ISY1
5832_NSRP1_P1P2_ENSG00000126653,0.2666811184885817,4.668816012930401e-47,NSRP1
2204_DHX16_P1P2_ENSG00000204560,0.2664967797043864,5.421961760544725e-47,DHX16
5878_NUF2_P1P2_ENSG00000143228,0.2640050662284987,4.0462553476845335e-46,NUF2
3501_GPKOW_P1P2_ENSG00000068394,0.2623463790622447,1.5238544956486543e-45,GPKOW
1972_CWC22_P1P2_ENSG00000163510,0.2608884302796778,4.849858108598811e-45,CWC22
2490_EEF2_P1_ENSG00000167658,0.2607951514618431,5.221419993657657e-45,EEF2
2112_DDX23_P1P2_ENSG00000174243,0.2577776198590355,5.59616992399771e-44,DDX23
7475_RPL5_P1P2_ENSG00000122406,0.2556064100120253,3.0247550661488774e-43,RPL5
1148_CACTIN_P1P2_ENSG00000105298,0.2554443645321154,3.4284745312911564e-43,CACTIN
1971_CWC15_P1P2_ENSG00000150316,0.25426705075313477,8.496571187685087e-43,CWC15
6793_PRPF31_P1P2_ENSG00000105618,0.2539296649554695,1.1010718997061249e-42,PRPF31
1458_CDT1_P1P2_ENSG00000167513,0.2528004936436703,2.614264902213986e-42,CDT1
937_BUD13_P1P2_ENSG00000137656,0.2510991380903961,9.541610505934428e-42,BUD13
5768_NPLOC4_P1P2_ENSG00000182446,0.2494795441777251,3.24272916127961e-41,NPLOC4
6460_PLRG1_P1P2_ENSG00000171566,0.24941076945491547,3.414963314997479e-41,PLRG1
655_ATP5F1C_P1P2_ENSG00000165629,0.248774297095367,5.508756377741536e-41,ATP5F1C
9534_UBL5_P1P2_ENSG00000198258,0.2483083219290478,7.811139466665748e-41,UBL5
7547_CNOT9_P1P2_ENSG00000144580,0.2472200891727872,1.7606022784291837e-40,CNOT9
8216_SNRNP200_P1P2_ENSG00000144028,0.24697211680214715,2.11759802996906e-40,SNRNP200
7691_SCFD1_P1P2_ENSG00000092108,0.2458333370950093,4.930768076267686e-40,SCFD1
1478_CENPC_P1P2_ENSG00000145241,0.24482751973826644,1.0364562213774765e-39,CENPC
9837_WDR70_P1P2_ENSG00000082068,0.24480282678625478,1.0554876582175348e-39,WDR70
