perturbation,spearman_rho,pvalue,target_gene
9512_UBE2M_P1P2_ENSG00000130725,0.21804448085722872,3.28779458850596e-32,UBE2M
1768_COMTD1_P1P2_ENSG00000165644,0.20995246578859034,6.1940237248354995e-30,COMTD1
1288_CCDC6_P1P2_ENSG00000108091,0.20906174485115578,1.0882496234325024e-29,CCDC6
510_ARL4D_P1P2_ENSG00000175906,0.20811142758403456,1.9798210953876354e-29,ARL4D
8654_TAF13_P1P2_ENSG00000197780,0.205537844229661,9.864530231009781e-29,TAF13
11133_non-targeting_non-targeting_non-targeting,0.2054753972625366,1.0253781087819869e-28,non-targeting
11175_non-targeting_non-targeting_non-targeting,0.1987006345904006,6.337035777480611e-27,non-targeting
10708_ZRSR2_P1P2_ENSG00000169249,0.19474059356244358,6.594102878717221e-26,ZRSR2
1146_CACNB3_P2_ENSG00000167535,0.1932457348556896,1.575825304983069e-25,CACNB3
9635_USP14_P1P2_ENSG00000101557,0.19200190824640762,3.235705836774324e-25,USP14
3857_HNRNPA1_P1P2_ENSG00000135486,0.18066079013930855,1.8234184666206868e-22,HNRNPA1
2108_DDX19B_P2_ENSG00000157349,0.18015156628663154,2.400379313180521e-22,DDX19B
7781_SEPSECS_P1P2_ENSG00000109618,0.1751252663000358,3.46630795939085e-21,SEPSECS
5429_NAA35_P1P2_ENSG00000135040,0.17424450377250808,5.4895862848987315e-21,NAA35
5215_MRPL33_P1P2_ENSG00000243147,0.17248536798298533,1.365236261333408e-20,MRPL33
5224_MRPL41_P1P2_ENSG00000182154,0.1718163314134848,1.9257216294414823e-20,MRPL41
3548_GSDMA_P1P2_ENSG00000167914,0.1691981384318139,7.301377395664346e-20,GSDMA
6885_PSMG3_P2_ENSG00000157778,0.16394307173876785,9.940482953060388e-19,PSMG3
3022_FBXO42_P1P2_ENSG00000037637,0.1627321276697938,1.7926126937356846e-18,FBXO42
3605_GYG1_P1P2_ENSG00000163754,0.156991205839968,2.7603845986942232e-17,GYG1
11238_non-targeting_non-targeting_non-targeting,0.15599233566549642,4.3965854877519955e-17,non-targeting
4301_KCTD10_P1P2_ENSG00000110906,0.1543618743129771,9.337797689454598e-17,KCTD10
