perturbation,spearman_rho,pvalue,target_gene
510_ARL4D_P1P2_ENSG00000175906,0.1984210903644787,6.571835398590575e-34,ARL4D
11133_non-targeting_non-targeting_non-targeting,0.1965365963797243,2.7468149718449572e-33,non-targeting
11175_non-targeting_non-targeting_non-targeting,0.1909963190228574,1.691972104482708e-31,non-targeting
5224_MRPL41_P1P2_ENSG00000182154,0.185472737414502,9.089763732896832e-30,MRPL41
10708_ZRSR2_P1P2_ENSG00000169249,0.18243765651536537,7.698548971096109e-29,ZRSR2
5215_MRPL33_P1P2_ENSG00000243147,0.178905901960925,8.827174005069158e-28,MRPL33
6081_PARS2_P1P2_ENSG00000162396,0.17488236798505738,1.337454744921312e-26,PARS2
9512_UBE2M_P1P2_ENSG00000130725,0.17414124897229458,2.191035437482739e-26,UBE2M
2108_DDX19B_P2_ENSG00000157349,0.17318779001949938,4.121355305727375e-26,DDX19B
1768_COMTD1_P1P2_ENSG00000165644,0.17253184915963918,6.3517893542213e-26,COMTD1
6885_PSMG3_P2_ENSG00000157778,0.17003570838081605,3.2431871158052572e-25,PSMG3
6879_PSME2_P1P2_ENSG00000100911,0.16831674632670854,9.825127404789789e-25,PSME2
7781_SEPSECS_P1P2_ENSG00000109618,0.16771085936986624,1.4480846726391732e-24,SEPSECS
1146_CACNB3_P2_ENSG00000167535,0.16609917033991328,4.0348029720242945e-24,CACNB3
8654_TAF13_P1P2_ENSG00000197780,0.16591087416974432,4.544902985104628e-24,TAF13
11240_non-targeting_non-targeting_non-targeting,0.16118444821128478,8.617933729109484e-23,non-targeting
4301_KCTD10_P1P2_ENSG00000110906,0.15576721000691598,2.255039981529692e-21,KCTD10
3378_GJA3_P1P2_ENSG00000121743,0.15481234927102258,3.96168056618847e-21,GJA3
9635_USP14_P1P2_ENSG00000101557,0.15366621584992343,7.755060331788319e-21,USP14
1288_CCDC6_P1P2_ENSG00000108091,0.15322554535778365,1.0026496239634019e-20,CCDC6
7670_SBNO1_P1P2_ENSG00000139697,0.1528125391606022,1.2747089598850273e-20,SBNO1
9974_ZBTB17_P1P2_ENSG00000116809,0.15221119968080776,1.805929796342471e-20,ZBTB17
7656_SARS2_P1P2_ENSG00000104835,0.15055569432698843,4.6778717360214143e-20,SARS2
9147_TNNT2_P1P2_ENSG00000118194,0.14823085779796558,1.7486623453200496e-19,TNNT2
111_ACTR1B_P1P2_ENSG00000115073,0.1452434625083614,9.23011094386367e-19,ACTR1B
10788_non-targeting_non-targeting_non-targeting,0.14326053855997248,2.7321275311572073e-18,non-targeting
2686_EPS8L1_P2_ENSG00000131037,0.14235918887449847,4.4519664868389274e-18,EPS8L1
3605_GYG1_P1P2_ENSG00000163754,0.14146809022822024,7.192078334154138e-18,GYG1
2684_EPS8L1_P2_ENSG00000131037,0.14072359581082222,1.0711952402071122e-17,EPS8L1
2915_FAM229A_P1P2_ENSG00000225828,0.13874792237253802,3.0514779559289695e-17,FAM229A
6865_PSMD11_P1P2_ENSG00000108671,0.13789639104088916,4.76931834996179e-17,PSMD11
5242_MRPS11_P1P2_ENSG00000181991,0.13659751662638706,9.37482858214702e-17,MRPS11
3857_HNRNPA1_P1P2_ENSG00000135486,0.13533697281730817,1.795248066217831e-16,HNRNPA1
5218_MRPL36_P1P2_ENSG00000171421,0.13530566325562557,1.824312362518282e-16,MRPL36
2104_DDX17_P1P2_ENSG00000100201,0.1350870289965735,2.0406018219847475e-16,DDX17
7623_S100A1_P2_ENSG00000160678,0.134785342181658,2.381063891923657e-16,S100A1
3878_HNRNPU_P1P2_ENSG00000153187,0.13418702385699646,3.230178493356815e-16,HNRNPU
9840_WDR74_P2_ENSG00000133316,0.13375852187218978,4.0153453804594e-16,WDR74
6877_PSMD9_P1P2_ENSG00000110801,0.13288655602491398,6.238419064972958e-16,PSMD9
1332_CCNK_P2_ENSG00000090061,0.13276925086630026,6.617908758658899e-16,CCNK
11165_non-targeting_non-targeting_non-targeting,0.13061011169725004,1.944011267755543e-15,non-targeting
10544_ZNF676_ENST00000397121.2_ENSG00000196109,0.12834536167049387,5.90583738553299e-15,ZNF676
378_AP2S1_P1P2_ENSG00000042753,0.12812663547930925,6.568104758985088e-15,AP2S1
4508_LAMTOR4_P1P2_ENSG00000188186,0.12811537342922005,6.604114671172704e-15,LAMTOR4
4360_KIAA1143_P1P2_ENSG00000163807,0.1280193053209285,6.919289060011162e-15,KIAA1143
4628_LPA_P1P2_ENSG00000198670,0.12691507087887377,1.1794833987723406e-14,LPA
6845_PSMA5_P1P2_ENSG00000143106,0.12626481792554914,1.6112105854123904e-14,PSMA5
3548_GSDMA_P1P2_ENSG00000167914,0.12593746991739269,1.8840038379280503e-14,GSDMA
4976_MEPCE_P1P2_ENSG00000146834,0.12560184534908866,2.2107803612774755e-14,MEPCE
9655_USP39_P2_ENSG00000168883,0.1253148084895283,2.5339975608870997e-14,USP39
6868_PSMD14_P1P2_ENSG00000115233,0.12483221015310991,3.185195967138209e-14,PSMD14
4330_KDM6A_P1P2_ENSG00000147050,0.1240317619259905,4.645608472054408e-14,KDM6A
