gene_symbol,logFC,P.Value,adj.P.Val,levene_pval,levene_fdr,var_ratio,variance_direction,tissue
CFH,0.07473485757120035,0.6693829497104389,1,0.1138782437134039,0.9516585286139356,0.34424304929247196,Decreased,RPE Macula
CETP,-0.02706610581209977,0.9310631298468384,1,0.14883006072363453,0.9516585286139356,0.6239782374014236,Decreased,RPE Macula
TIMP3,0.00398460873026154,0.9850838637406684,1,0.3623928368750593,0.9516585286139356,1.48420518751314,Increased,RPE Macula
VEGFA,-0.352066164711002,0.09712535708940952,1,0.40962912647251326,0.9516585286139356,0.6783467769291301,Decreased,RPE Macula
EFEMP1,0.3105997147606412,0.05923107006073833,1,0.704415921077334,0.9528440415397902,0.7131404375228326,Decreased,RPE Macula
RPE65,-0.8276381438081428,0.13841976670869058,1,0.10560013793408064,0.9516585286139356,0.34187709845392716,Decreased,RPE Macula
C3,-0.14288329654164433,0.4798640183840236,1,0.633437493126471,0.9516585286139356,0.942550954846042,Decreased,RPE Macula
APOE,-0.42950435988345287,0.0425376313400428,0.955402032490774,0.8598124628620077,0.9808700799653646,1.2491118910746994,Increased,RPE Macula
HMCN1,0.27179013374655236,0.16107659157257098,1,0.22805949468679357,0.9516585286139356,0.7733894702518248,Decreased,RPE Macula
COL8A1,-0.0651200427344468,0.6449418455894853,1,0.9264856866453356,0.9903178070141372,1.2146883418104557,Increased,RPE Macula
HTRA1,-0.16571303204120436,0.30625577521258385,1,0.4247523534373616,0.9516585286139356,2.940113831820613,Increased,RPE Macula
LIPC,0.17270535632702538,0.26562142113309717,1,0.45025344558753577,0.9516585286139356,1.399905173460555,Increased,RPE Macula
C2,0.09952534741260124,0.5611541483142259,1,0.5902921672785935,0.9516585286139356,0.7647587993974385,Decreased,RPE Macula
BEST1,-0.9065203738603032,0.02423687920659758,0.7832918689041309,0.11015240821242474,0.9516585286139356,0.49074415067379823,Decreased,RPE Macula
ABCA4,-0.326918929060688,0.39434080952137773,1,0.8793306619014121,0.9831026306344052,0.7941608065698079,Decreased,RPE Macula
CFI,0.00402993026588623,0.975219045762221,1,0.3323684945396874,0.9516585286139356,1.733749937878892,Increased,RPE Macula
CFB,-0.4873638450582773,0.09158698101301356,1,0.14376436876893703,0.9516585286139356,3.028082357144699,Increased,RPE Macula
ARMS2,0.00480776234337391,0.8484585982657424,1,0.4075020973375628,0.9516585286139356,0.5272884280019725,Decreased,RPE Macula
CFH,0.02229029216407455,0.9016144365630728,1,0.4289727619768947,0.9232989030744088,0.76201879780122,Decreased,RPE non-Macula
CETP,-0.27907297180063995,0.3471466052125346,1,0.1852985689941776,0.9232989030744088,0.6443462742482805,Decreased,RPE non-Macula
TIMP3,-0.30321335866344135,0.02962577718113467,0.7284867402844848,0.115996947320419,0.9232989030744088,1.9542893292038277,Increased,RPE non-Macula
VEGFA,-0.24962066910385464,0.26009561416012356,1,0.4224729088235205,0.9232989030744088,0.8089132516801337,Decreased,RPE non-Macula
EFEMP1,0.21366925257266536,0.10028442297929747,0.991585216662272,0.3198488180487942,0.9232989030744088,1.6324113789905483,Increased,RPE non-Macula
RPE65,-0.969774824988574,0.02470817037599894,0.6909044360966381,0.05171991184499808,0.9023376060610584,0.11679623280899948,Decreased,RPE non-Macula
C3,-0.1506566394057437,0.40239223888609765,1,0.6362476486752424,0.9232989030744088,1.3486403234457012,Increased,RPE non-Macula
APOE,0.00197349630232281,0.9910609010302204,1,0.8404504071405153,0.9582169943731016,0.9551916494535524,Decreased,RPE non-Macula
HMCN1,0.5500494887223858,0.02130659169567395,0.647881502792972,0.07415731651559523,0.9232989030744088,0.4098303107667519,Decreased,RPE non-Macula
COL8A1,-0.3461330536303516,0.01312898942696727,0.5485818548135263,0.870898614847089,0.967404893557027,1.4028803000826209,Increased,RPE non-Macula
HTRA1,0.11347935437093493,0.39248884567823206,1,0.4142049538068272,0.9232989030744088,2.232044067910944,Increased,RPE non-Macula
LIPC,-0.02167790624661734,0.8888341623566621,1,0.5572910392102831,0.9232989030744088,1.6070007387315377,Increased,RPE non-Macula
C2,0.10865189935731888,0.5179241511920047,1,0.1503606238487518,0.9232989030744088,0.4092262086748485,Decreased,RPE non-Macula
BEST1,-0.987927921227347,3.900762963141276e-4,0.2255346859871451,0.15116063004666086,0.9232989030744088,0.3531161997992844,Decreased,RPE non-Macula
ABCA4,0.00771333816629158,0.972762308729562,1,0.1123705800168434,0.9232989030744088,0.44021474339478694,Decreased,RPE non-Macula
CFI,0.12792394769720203,0.32280737090455847,1,0.9309038813306948,0.98316950360657,1.3052666500493946,Increased,RPE non-Macula
CFB,-0.02474641016284142,0.9247395720368357,1,0.10477856845276692,0.9232989030744088,4.132399739764311,Increased,RPE non-Macula
ARMS2,-0.01823356710539576,0.556800645411225,1,0.03014504118756484,0.7811954406009638,4.037505532877941,Increased,RPE non-Macula
