pathway,pval,padj,log2err,ES,NES,size,leadingEdge
SMID_BREAST_CANCER_NORMAL_LIKE_UP,2.3441208715619867e-36,1.2564487871572248e-32,1.5697916570638113,-0.5816969452071123,-2.497486006878734,483,
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP,3.807545436342493e-33,1.0204221769397882e-29,1.4954793262997708,-0.6139872110223416,-2.566532064597612,351,
LINDGREN_BLADDER_CANCER_CLUSTER_2B,3.5727333051487914e-31,6.383283505199175e-28,1.453344668564937,-0.583760733134848,-2.4712040827751554,389,
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,4.414815606047069e-30,5.9158529121030726e-27,1.4245627162338388,-0.5497943199478007,-2.3546193895033856,464,
VERHAAK_GLIOBLASTOMA_MESENCHYMAL,9.271343927751456e-28,9.93888069054956e-25,1.3651796021616889,-0.670716404641963,-2.6823737871814823,216,
OSMAN_BLADDER_CANCER_UP,9.730791210204682e-27,8.69284014778285e-24,1.3422337729644571,-0.5555570573157239,-2.3547420016102985,402,
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,2.4826558328159882e-26,1.9010050376990994e-23,1.334497490816582,-0.6844594868990619,-2.697023590298981,187,
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN,5.195770336290257e-26,3.4811661253144726e-23,1.3188887960758697,-0.5277915589341812,-2.262174747278579,466,
RODWELL_AGING_KIDNEY_UP,1.2989842902167022e-25,7.73617310617947e-23,1.3110147627406066,-0.5140217381087651,-2.2069385762858786,499,
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP,8.789275964271405e-25,4.711051916849473e-22,1.2871036723014444,-0.6509734547878606,-2.60647332673922,211,
LIU_PROSTATE_CANCER_DN,9.642765915250423e-24,4.69865684597657e-21,1.2627398854791587,-0.5089871173590508,-2.1831310647566253,494,
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN,1.3421650118603634e-23,5.995003719642957e-21,1.2545134794370567,-0.5333735558752203,-2.2624898059061653,407,
LEE_DIFFERENTIATING_T_LYMPHOCYTE,9.129902796444204e-23,3.7643291529954567e-20,1.237896673195293,-0.6447460138812231,-2.564406099341787,202,
ZHENG_BOUND_BY_FOXP3,1.0766424252462881e-22,4.1220024280857886e-20,1.229504056608731,-0.5026643417444162,-2.1560116202971753,494,
QI_PLASMACYTOMA_UP,1.923971887758975e-22,6.874992878925403e-20,1.229504056608731,-0.6039335434525644,-2.4696651568201347,254,
THUM_SYSTOLIC_HEART_FAILURE_UP,7.576968986274398e-22,2.5382846104019233e-19,1.2125445676906186,-0.5125762828071755,-2.1820796002347818,429,
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,7.185322369587954e-20,2.2654898765289078e-17,1.1512205221422571,-0.6796480818283451,-2.584653840082337,143,
GABRIELY_MIR21_TARGETS,1.175964968922698e-19,3.501762351903145e-17,1.142191202168377,-0.5673049242363288,-2.3336471250455553,289,
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP,2.893011745724729e-19,8.161338398465552e-17,1.133089932009015,-0.5461886300309025,-2.255666117358933,302,
REACTOME_NEURONAL_SYSTEM,3.515809689460306e-19,9.400853523865465e-17,1.133089932009015,0.5139600531635966,2.1339352793813706,410,
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN,3.6831702239025143e-19,9.400853523865465e-17,1.133089932009015,-0.4872269523011261,-2.082080330502396,456,
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_DN,6.0403906617749815e-19,1.4499837633049614e-16,1.1239149637448316,-0.6439169990830867,-2.4928607246105776,168,
REACTOME_PARASITE_INFECTION,6.221945252987707e-19,1.4499837633049614e-16,1.1239149637448316,-0.7114925959913581,-2.6291702627605535,116,
ZHANG_FH_DEFICIENT_RCC_C1_VS_OTHERS_UP,9.000551737881266e-19,2.0101232214601495e-16,1.114664477517292,-0.5851975478705634,-2.353906421221444,233,
LIM_MAMMARY_STEM_CELL_UP,1.6554156519462372e-18,3.549211157772733e-16,1.114664477517292,-0.47744142518817456,-2.0449353886079193,478,
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,1.753047561263925e-18,3.613974972451784e-16,1.1053365773140096,-0.7684909711151626,-2.722601107412115,86,
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2,3.585353836165928e-18,7.117591319203471e-16,1.095929286431201,0.4889546153618044,2.054998577556192,473,
SWEET_LUNG_CANCER_KRAS_DN,4.389227679602941e-18,8.402235843811343e-16,1.095929286431201,-0.49166380524316533,-2.0869663455563345,419,
WALLACE_PROSTATE_CANCER_RACE_UP,6.504732278717271e-18,1.2022539659973989e-15,1.095929286431201,-0.5358594165729764,-2.213008223116987,302,
POOLA_INVASIVE_BREAST_CANCER_UP,8.219054165321101e-18,1.4684710108707034e-15,1.0864405425824981,-0.5415880375128657,-2.233197383764479,292,
REACTOME_SIGNALING_BY_INTERLEUKINS,8.868460914185977e-18,1.5333855000011883e-15,1.0864405425824981,-0.4717780859735096,-2.0210139189100396,458,
REACTOME_RHO_GTPASE_CYCLE,9.689895485461932e-18,1.6230574938148736e-15,1.0864405425824981,-0.4780289201160426,-2.0460463327700014,448,
DAZARD_RESPONSE_TO_UV_NHEK_DN,1.2527667856348627e-17,2.034796960909959e-15,1.0864405425824981,-0.5359791242896862,-2.21006881099372,300,
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN,1.3500661135583132e-17,2.1283395201978115e-15,1.0864405425824981,-0.522807285807222,-2.170670211840365,323,
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,1.7435826538424137e-17,2.670172292741525e-15,1.0768681926198325,0.5599462917191336,2.2516834884792427,269,
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION,2.423953814020724e-17,3.6089979008753e-15,1.0768681926198325,-0.75501009283941245,-2.6748412045609657,86,
SHEN_SMARCA2_TARGETS_UP,3.8349674647906923e-17,5.555520435480571e-15,1.0672099868281106,-0.47929971806803284,-2.041214945579194,428,
SENESE_HDAC3_TARGETS_UP,4.560124706908743e-17,6.300776826885314e-15,1.0672099868281106,-0.45923693424311035,-1.9699067214882129,491,
SENESE_HDAC1_TARGETS_UP,4.5845204523978967e-17,6.300776826885314e-15,1.0672099868281106,-0.4685853048749795,-2.0049385606467114,450,
BOQUEST_STEM_CELL_UP,5.0704763033270726e-17,6.7944382464582776e-15,1.0672099868281106,-0.54940290240016465,-2.249022411393354,261,
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,5.442611270283835e-17,7.115218636273501e-15,1.0672099868281106,-0.5447401484630544,-2.2300563133481686,264,
