pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_RIBOSOME_BIOGENESIS,6.22330543217964e-35,2.6056979844536153e-31,1.536458950032153,0.6026952214758963,2.6777111023506386,317,
GOBP_RRNA_METABOLIC_PROCESS,2.3538233495288694e-24,4.069000682691813e-21,1.2790339772504933,0.5704354008845297,2.5029759800875917,266,
GOBP_RRNA_PROCESSING,2.9154530805052395e-24,4.069000682691813e-21,1.2790339772504933,0.6013517909697284,2.5707692190189797,222,
GOBP_CELLULAR_RESPIRATION,1.1114766021700193e-20,1.1634381333214677e-17,1.1778932614941966,0.551516078419998,2.3795315677320388,237,
GOBP_AEROBIC_RESPIRATION,2.4076689119976886e-17,2.0161819469068644e-14,1.0768681926198325,0.5629817930618112,2.403902072789083,197,
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,1.6962194415423425e-16,1.1836784669562982e-13,1.047626488498816,0.5734169153737978,2.4283786608226277,169,
GOBP_MITOCHONDRIAL_TRANSLATION,2.731719618411606e-16,1.6339585774699132e-13,1.0376961554875836,0.6289551986274367,2.6346371946634313,131,
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,3.4514403641416e-16,1.80639760058261e-13,1.0376961554875836,0.45043946631950216,1.9952413926794519,345,
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,3.313813750502603e-15,1.5416597970393776e-12,1.0073179568744748,0.5379667250843667,2.262491917991304,187,
GOBP_OXIDATIVE_PHOSPHORYLATION,4.605479323749943e-15,1.928314192854101e-12,0.9969862175331805,0.5770538231186212,2.4125817855104774,150,
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,6.686171597007635e-15,2.5450000433337246e-12,0.9969862175331805,0.652694693405725,2.595183173239162,106,
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,7.643648390733947e-14,2.6669963176669198e-11,0.9545416307257243,-0.5164777573874617,-1.8077301455447203,376,
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,1.8790018931910817e-13,6.051831482146969e-11,0.9436322252328375,0.4478967132563415,1.9836678584913223,283,
