pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,1.9994986193786303e-35,8.413890190345276e-32,1.5498780602728726,-0.5741307140776627,-2.4620118257396935,478,
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,2.243756373316244e-33,4.720863409457378e-30,1.502386888814151,-0.6060367517472152,-2.54134208627254,376,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,1.6655719105269608e-31,2.3362421998324836e-28,1.4604515308413264,-0.5908477298020807,-2.47951004859074,389,
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS,3.7679031740880114e-30,3.963834139140588e-27,1.4245627162338388,0.6818727260709517,2.6617135567336647,226,
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,4.041620871155241e-26,3.401428125164251e-23,1.3267160980048087,-0.5627491355197409,-2.364031281838718,378,
GOBP_LYMPHOCYTE_DIFFERENTIATION,8.560292446523733e-26,6.003618435828645e-23,1.3188887960758697,-0.5388857328097483,-2.2924214008332524,440,
GOBP_REGULATION_OF_T_CELL_ACTIVATION,8.997302011336975e-25,5.408663837672285e-22,1.2871036723014444,-0.5462503765902066,-2.297085833533758,399,
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION,2.7267097739442913e-24,1.4342493410946972e-21,1.2790339772504933,-0.5458058284195769,-2.2892780996998687,398,
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,7.85063416367908e-24,3.670607617862396e-21,1.2627398854791587,-0.526994745561652,-2.2391372859422622,434,
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,4.64648884940706e-22,1.955242507830491e-19,1.2125445676906186,-0.5187831502406789,-2.1944246132321115,420,
GOBP_T_CELL_DIFFERENTIATION,1.2106613825542462e-21,4.631330088898426e-19,1.2039752407526414,-0.5564515461348823,-2.326825957032187,327,
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,3.5379213389427676e-21,1.2083661203392062e-18,1.1866509527928102,-0.5439408182436813,-2.277658359068806,339,
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,3.733070238690514e-21,1.2083661203392062e-18,1.1866509527928102,-0.5731467524527548,-2.359893472319376,285,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,4.2482209749501076e-20,1.2768938473278608e-17,1.1601795718302144,-0.6117177858390639,-2.447304407857155,213,
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,5.997325381019892e-20,1.682449680222114e-17,1.1512205221422571,-0.5431049864876265,-2.271016746616613,327,
GOBP_B_CELL_MEDIATED_IMMUNITY,4.260320311756516e-19,1.0622736247645936e-16,1.133089932009015,-0.6229209674477776,-2.474820421619226,198,
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,4.291504662784718e-19,1.0622736247645936e-16,1.133089932009015,-0.4767374612764022,-2.053546955742546,500,
GOBP_WOUND_HEALING,1.2816355971478852e-18,2.9961792182212784e-16,1.114664477517292,-0.48286704213193166,-2.053219634424089,450,
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,1.7672861989486423e-18,3.91407385535573e-16,1.1053365773140096,-0.5610192888830743,-2.2892248574569285,262,
GOBP_CELL_SUBSTRATE_ADHESION,2.382069535134141e-18,5.011874301922233e-16,1.1053365773140096,-0.5112996525305562,-2.142269382483265,363,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,4.224677742947717e-18,8.465449496344758e-16,1.095929286431201,-0.6048374012028207,-2.4075381034269343,203,
GOBP_LEUKOCYTE_PROLIFERATION,5.833634726531913e-17,1.1158152240566495e-14,1.0574635727508575,-0.502066656313241,-2.1028136232551784,356,
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION,1.0227493989861177e-16,1.8711867264928624e-14,1.0574635727508575,-0.5151973405629268,-2.1439040777724716,318,
GOBP_REGULATION_OF_HEMOPOIESIS,1.2740150090979485e-16,2.233772982618403e-14,1.047626488498816,-0.47154238550669353,-2.0037968138522415,446,
GOBP_LEUKOCYTE_MIGRATION,2.0913515679660797e-16,3.5201629592005053e-14,1.047626488498816,-0.4882804426903687,-2.0489755593689756,396,
GOBP_DETECTION_OF_LIGHT_STIMULUS,2.7523929370051327e-16,4.22370442386258e-14,1.0376961554875836,0.7793989714439297,2.630599331243416,74,
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,2.7769744514528917e-16,4.22370442386258e-14,1.0376961554875836,-0.5624911525068601,-2.267094661158504,235,
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,2.810449711695633e-16,4.22370442386258e-14,1.0376961554875836,-0.5020828841310438,-2.0948427095634963,345,
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,8.363468696417094e-16,1.2135681473973492e-13,1.027669870543582,-0.4848900732879747,-2.0374708309823975,377,
GOBP_B_CELL_ACTIVATION,9.383045906746733e-16,1.3161285725196752e-13,1.0175447973098848,-0.5174219039187299,-2.1387299506587825,292,
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,1.1088021702080447e-15,1.5051095265275654e-13,1.0175447973098848,-0.5761345595002952,-2.2939039385270212,201,
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,4.5435679831841465e-15,5.974791897887153e-13,0.9969862175331805,-0.5149758050775954,-2.1234356165249357,284,
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,5.389500124752098e-15,6.872429249986918e-13,0.9969862175331805,-0.5059946570578581,-2.107645865175954,310,
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT,6.522123079522652e-15,8.072086446656271e-13,0.9969862175331805,-0.5040956082549239,-2.0917240948829385,306,
GOBP_TAXIS,8.406994753806688e-15,1.0107609692576726e-12,0.9865462835875821,-0.44671335827211467,-1.9076644928014608,473,
GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,5.011711152651653e-14,5.858133480655043e-12,0.9653277542260832,-0.5147861271698911,-2.105885133584026,275,
GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,6.094989967545838e-14,6.9318156171440235e-12,0.9545416307257243,-0.5385539426938681,-2.1671451800877404,228,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,8.561889976396364e-14,9.481166584388396e-12,0.9545416307257243,-0.6170396545557443,-2.3588919338504093,140,
GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1.210242787331747e-13,1.3058209356646131e-11,0.9436322252328375,-0.6044145040469114,-2.334012232366018,151,
GOBP_NEUROTRANSMITTER_TRANSPORT,1.254760888221364e-13,1.320008454408875e-11,0.9436322252328375,0.5581019864780303,2.1691393483614516,217,
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,1.3435612927100836e-13,1.378952663347325e-11,0.9436322252328375,-0.5472381450615803,-2.201348091191902,221,
GOBP_CELL_MATRIX_ADHESION,1.432943035967196e-13,1.4356724512738003e-11,0.9436322252328375,-0.524245125141142,-2.1235826708178576,242,
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,1.5365389309584153e-13,1.5036641445286074e-11,0.9436322252328375,-0.4404784199945265,-1.8720558470412352,451,
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,1.6949578275679009e-13,1.620996031455847e-11,0.9436322252328375,0.6039655683147189,2.2499907211084578,152,
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,2.0564037952067557e-13,1.922966037828895e-11,0.9436322252328375,-0.46584227865647354,-1.9548127426096207,375,
GOBP_REGULATION_OF_CELL_KILLING,2.790768196668197e-13,2.552946211212994e-11,0.932595211336209,-0.6443867212395268,-2.3756321564232405,113,
GOBP_CELL_CHEMOTAXIS,3.6243579796977795e-13,3.2449571018230337e-11,0.932595211336209,-0.47987508669402257,-2.0056598041218185,328,
GOBP_MONONUCLEAR_CELL_MIGRATION,5.025518034907683e-13,4.376980866839424e-11,0.9214260034948982,-0.5246766566113924,-2.114685078577613,235,
GOBP_SPROUTING_ANGIOGENESIS,5.096769545511687e-13,4.376980866839424e-11,0.9214260034948982,-0.5457617996583077,-2.1856660438163815,206,
GOBP_MUSCLE_CELL_DIFFERENTIATION,6.316636082902455e-13,5.316080927370706e-11,0.9214260034948982,-0.4424562418621555,-1.8798081902886608,439,
GOBP_ACTIN_FILAMENT_ORGANIZATION,7.37807038741444e-13,6.087631409850973e-11,0.9214260034948982,-0.42842421423079186,-1.8303863796246456,467,
