pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_MYC_TARGETS_V1,1.9613544342218806e-19,5.6099340280383114e-18,1.142191202168377,0.5791129014897718,2.5278564014674405,200,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.2439736112153246e-19,5.6099340280383114e-18,1.133089932009015,0.5783914887351735,2.524707399182877,200,
HALLMARK_MTORC1_SIGNALING,4.748683177940686e-13,7.914471963234478e-12,0.9214260034948982,0.5006413399178944,2.185324161653197,200,
HALLMARK_MYC_TARGETS_V2,1.1638814000805508e-11,1.4548517501006885e-10,0.8753251320246591,0.7409040216808408,2.6957400404383063,58,
HALLMARK_DNA_REPAIR,3.411381828542833e-9,3.411381828542833e-8,0.7749390301364363,0.4759450984657928,1.9933612755096528,150,
HALLMARK_ADIPOGENESIS,4.9008861949166715e-8,4.0840718290972263e-7,0.7195128263389107,0.41901079983914347,1.8290028247213528,200,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.6668482908929496e-7,1.1906059220663925e-6,0.6901324587967956,0.5545902544458532,2.074784966179775,74,
HALLMARK_UV_RESPONSE_UP,4.41638446042664e-7,2.76024028776665e-6,0.674962860011025,0.4301361681196561,1.8024025481718524,157,
HALLMARK_ESTROGEN_RESPONSE_LATE,1.3012257027133785e-6,7.229031681740992e-6,0.6435518361507222,0.39083338006022483,1.7060069964782951,200,
HALLMARK_GLYCOLYSIS,7.730002309399129e-6,3.8650011546995643e-5,0.5933254763964051,0.37627415789687335,1.6424552730555617,200,
HALLMARK_FATTY_ACID_METABOLISM,3.360916875503195e-5,1.5276894888650888e-4,0.557332238758646,0.38819106777101253,1.614080906522712,158,
HALLMARK_ESTROGEN_RESPONSE_EARLY,5.200183065348705e-5,2.1667429438952942e-4,0.557332238758646,0.35745312928945616,1.5603005541310315,200,
HALLMARK_BILE_ACID_METABOLISM,2.480144667088403e-4,9.539017950340013e-4,0.49849310876659025,0.39100432385336925,1.565673084446925,111,
HALLMARK_PEROXISOME,2.737707419056454e-4,9.777526496630193e-4,0.49849310876659025,0.4216761760607768,1.674569081789929,103,
HALLMARK_ANDROGEN_RESPONSE,3.066620215437575e-4,0.0010222067384791918,0.49849310876659025,0.42376255611056635,1.6674347466666681,100,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0011927942950857994,0.003727482172143123,0.45505986738722953,0.48649836441885286,1.719378256073925,48,
HALLMARK_ALLOGRAFT_REJECTION,0.0023098585066422673,0.006793701490124316,0.4317076958033464,-0.42193416136075357,-1.4196508977936544,200,
HALLMARK_MITOTIC_SPINDLE,0.0031316513066369533,0.00869903140732487,0.4317076958033464,-0.4162985767242911,-1.398344434258687,198,
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0036732003819745936,0.009666316794669984,0.4317076958033464,0.3624869290781916,1.445447303400053,113,
HALLMARK_P53_PATHWAY,0.004137171770062932,0.01034292942515733,0.40701791892395395,0.30643341480380437,1.3375969819401539,200,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.008305333684956282,0.019774604011800673,0.3807304007227924,0.29424256788034786,1.2992114842408153,199,
HALLMARK_XENOBIOTIC_METABOLISM,0.012319578554289777,0.027999042168840405,0.3807304007227924,0.29144282638213115,1.272162323506526,200,
HALLMARK_UV_RESPONSE_DN,0.03482045701849837,0.07569664569238775,0.2529611230696109,-0.39844757894524546,-1.304262507400062,143,
HALLMARK_INFLAMMATORY_RESPONSE,0.03896448236943173,0.0811760049363161,0.3217759180753611,0.27733459346508044,1.2105791904058552,200,
HALLMARK_NOTCH_SIGNALING,0.04617414248021108,0.09234828496042216,0.24133997681509095,-0.5268057038932473,-1.433219560044691,32,
HALLMARK_APOPTOSIS,0.06101683738258538,0.11734007188958727,0.3217759180753611,0.2791612796530177,1.1552912580982246,160,
HALLMARK_COAGULATION,0.09946476298010556,0.184194005518714,0.2878051305355643,0.28036229899474896,1.150935792920183,138,
HALLMARK_KRAS_SIGNALING_UP,0.12173413006004825,0.2115113446993975,0.2878051305355643,0.2603771502196116,1.1365591135774749,200,
HALLMARK_APICAL_SURFACE,0.12267657992565056,0.2115113446993975,0.13802224249664274,-0.44049385345196745,-1.2635905902445552,44,
HALLMARK_G2M_CHECKPOINT,0.14570230607966456,0.24283717679944095,0.11378726182188,-0.34801492544339857,-1.1709402712450476,200,
