pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ALLOGRAFT_REJECTION,1.9623864061395268e-16,9.130336523041512e-15,1.047626488498816,-0.5834622152192965,-2.31076790338324,200,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.652134609216605e-16,9.130336523041512e-15,1.0376961554875836,0.5905136018065485,2.289444826131493,200,
HALLMARK_IL6_JAK_STAT3_SIGNALING,7.345410218575158e-11,1.2242350364291932e-9,0.8390889356212738,-0.6607665366582648,-2.3439477165447973,87,
HALLMARK_COMPLEMENT,9.549287435720501e-10,1.1936609294650627e-8,0.7881868108002371,-0.499799320142737,-1.9794259113840298,200,
HALLMARK_MITOTIC_SPINDLE,4.544993017970728e-9,4.5449930179707275e-8,0.7614608014455848,-0.49738361165907513,-1.9688894230160041,198,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,8.367256126016066e-9,6.972713438346723e-8,0.7477396631498854,-0.48408867422298907,-1.9172048191079387,200,
HALLMARK_UV_RESPONSE_DN,4.5053686723074645e-8,3.218120480219618e-7,0.7195128263389107,-0.5181944934668956,-1.9700020615900937,143,
HALLMARK_INTERFERON_GAMMA_RESPONSE,7.201748155597513e-7,4.501092597248445e-6,0.6594443980379349,-0.45310620047060407,-1.7941022583285342,199,
HALLMARK_INFLAMMATORY_RESPONSE,8.349356958411223e-7,4.638531643561791e-6,0.6594443980379349,-0.44541597925843063,-1.764043877524353,200,
HALLMARK_G2M_CHECKPOINT,1.0882429211854263e-6,5.441214605927131e-6,0.6435518361507222,-0.442468434245823,-1.752370298274065,200,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.3057551225272125e-6,5.935250556941876e-6,0.6435518361507222,-0.44791312990434334,-1.773539971560198,199,
HALLMARK_IL2_STAT5_SIGNALING,1.872584920399894e-6,7.802437168332892e-6,0.6435518361507222,-0.4454727495527985,-1.763877133366106,199,
HALLMARK_DNA_REPAIR,2.449285284955925e-6,9.42032801906125e-6,0.6272567397185284,0.4844086064650359,1.8245043537425618,150,
HALLMARK_APICAL_JUNCTION,4.47823615723222e-6,1.5993700561543646e-5,0.610526878385931,-0.43243493694921525,-1.7126332203503993,200,
HALLMARK_MYOGENESIS,1.133028783597071e-4,3.776762611990237e-4,0.5384340963099162,-0.3990530313570891,-1.580426139953493,200,
HALLMARK_MTORC1_SIGNALING,3.561960295540104e-4,0.0011131125923562826,0.49849310876659025,0.39172073470639923,1.5187169383031263,200,
