pathway,pval,padj,log2err,ES,NES,size,leadingEdge
SMID_BREAST_CANCER_NORMAL_LIKE_UP,1.1705727717677188e-26,6.274270056674973e-23,1.3422337729644571,0.5618628796636094,2.2678354202886037,483,
OSMAN_BLADDER_CANCER_UP,9.414265810506194e-24,2.5230232372156602e-20,1.2627398854791587,0.5751679815213744,2.3082212084267533,402,
LIU_PROSTATE_CANCER_DN,1.0472282414323056e-19,1.8710477913590528e-16,1.1512205221422571,0.5068082789789011,2.055534693072883,494,
ZHENG_BOUND_BY_FOXP3,2.066180129916345e-19,2.768681374087902e-16,1.142191202168377,0.5044986625573101,2.0461672520124563,494,
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN,9.195105742376657e-18,9.857153355827776e-15,1.0864405425824981,0.504939513655319,2.0323495452671643,466,
LEE_DIFFERENTIATING_T_LYMPHOCYTE,6.243883373095934e-17,5.5778691466323675e-14,1.0574635727508575,0.6301239415345424,2.332858161040133,202,
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,2.3674243327171534e-16,1.8127706319091344e-13,1.0376961554875836,0.4878061086005344,1.9574400406646881,464,
THUM_SYSTOLIC_HEART_FAILURE_UP,5.215307702339531e-16,3.494256160567486e-13,1.027669870543582,0.4964633945675134,1.982432419734987,429,
GABRIELY_MIR21_TARGETS,1.3534731402938192e-15,8.060684479972079e-13,1.0175447973098848,0.5605784297445173,2.1684880291116824,289,
SHEN_SMARCA2_TARGETS_UP,5.75504252185384e-15,3.084702791713658e-12,0.9969862175331805,0.4902934778742889,1.9578899381180945,428,
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN,9.299891644484601e-15,4.53158356494886e-12,0.9865462835875821,0.49498816503588217,1.9856090176738417,407,
THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_DN,5.74857830733787e-14,2.5676983106109154e-11,0.9545416307257243,0.5626564936804911,2.121095466023708,227,
KIM_WT1_TARGETS_DN,7.497854084727446e-14,3.091422914933778e-11,0.9545416307257243,0.4593769117204396,1.8532946266345407,471,
VERHAAK_GLIOBLASTOMA_MESENCHYMAL,2.333361639266438e-13,8.933441704620076e-11,0.932595211336209,0.5693511581600437,2.129907196445424,216,
SWEET_LUNG_CANCER_KRAS_DN,3.266387577857157e-13,1.1671891611542905e-10,0.932595211336209,0.47510552275030704,1.8904036728995932,419,
JAATINEN_HEMATOPOIETIC_STEM_CELL_DN,5.641412941877343e-13,1.7787043157919155e-10,0.9214260034948982,0.5583099343387076,2.109240573711075,235,
DAZARD_RESPONSE_TO_UV_NHEK_DN,5.542453348928654e-13,1.7787043157919155e-10,0.9214260034948982,0.5154788090733236,1.9917659950380784,300,
LIM_MAMMARY_STEM_CELL_UP,1.3590315141767427e-12,4.0468938422151895e-10,0.9101197347744591,0.4531772052792396,1.8292912310919904,478,
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN,1.2961157550817355e-11,3.6564107617042645e-9,0.8753251320246591,0.5856620243179124,2.142281652393355,181,
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN,2.544396271158259e-11,6.818982006704135e-9,0.8634153916066928,0.5857522821180465,2.1356406857207673,170,
BROWNE_HCMV_INFECTION_48HR_DN,3.294576216370498e-11,8.409013580831365e-9,0.851339057116899,0.43730706282914356,1.7652299498052297,478,
CHYLA_CBFA2T3_TARGETS_UP,5.269286284914091e-11,1.283789749415433e-8,0.851339057116899,0.4570432136168542,1.8303648897603608,387,
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN,6.560941144635734e-11,1.5289845450107624e-8,0.8390889356212738,0.4332951973529281,1.7396024637623386,465,
WP_VEGFAVEGFR2_SIGNALING,8.987757842537266e-11,2.0072659181666562e-8,0.8390889356212738,0.44158383588308353,1.7650731840347793,430,
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_DN,1.515442005432018e-10,3.124141980429083e-8,0.826657301178302,0.4777289102768517,1.8756817715537464,320,
WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_UP,1.4831669892440647e-10,3.124141980429083e-8,0.826657301178302,0.44354802147413763,1.7770829353236237,391,
MULLIGHAN_MLL_SIGNATURE_2_UP,1.8329624282601418e-10,3.638769857583096e-8,0.826657301178302,0.44241868483745034,1.7603455795138578,419,
ZHOU_INFLAMMATORY_RESPONSE_FIMA_DN,1.9347086834584332e-10,3.703585194049001e-8,0.826657301178302,0.49755807765654536,1.9205415633185179,277,
SMIRNOV_RESPONSE_TO_IR_2HR_DN,2.1892163725013935e-10,4.046275778140506e-8,0.826657301178302,0.7652181480736688,2.3693892135755528,57,
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP,2.392703260738046e-10,4.274963159185309e-8,0.8140358378479079,0.45314077305069456,1.80682160496942,382,
PASINI_SUZ12_TARGETS_DN,2.933375975871927e-10,5.071901687314041e-8,0.8140358378479079,0.4678265948831505,1.8318694520053505,316,
JOHNSTONE_PARVB_TARGETS_2_DN,3.2313618552219483e-10,5.2485150133301954e-8,0.8140358378479079,0.46358891543641956,1.826068681770646,344,
LINDGREN_BLADDER_CANCER_CLUSTER_2B,3.150745731770011e-10,5.2485150133301954e-8,0.8140358378479079,0.44327091239736505,1.781767823584262,389,
ZHANG_BREAST_CANCER_PROGENITORS_UP,3.4588317994302985e-10,5.296953841413257e-8,0.8140358378479079,0.43237576175458103,1.7320933926038344,432,
RODWELL_AGING_KIDNEY_UP,3.443274837872097e-10,5.296953841413257e-8,0.8140358378479079,0.4136800100215584,1.6768778736524947,499,
BOYLAN_MULTIPLE_MYELOMA_C_D_DN,4.904901541570639e-10,7.302853406338507e-8,0.8012155746177786,0.4857478617246744,1.8666226494238278,275,
MONNIER_POSTRADIATION_TUMOR_ESCAPE_DN,5.876443694605384e-10,8.512902217049963e-8,0.8012155746177786,0.44437540272580384,1.7756379531011341,385,
MULLIGHAN_MLL_SIGNATURE_1_UP,9.949834301803132e-10,1.4034503120438101e-7,0.7881868108002371,0.4445611950396704,1.7736852152947653,384,
REACTOME_RHO_GTPASE_CYCLE,1.043076912988298e-9,1.4335621163121224e-7,0.7881868108002371,0.42303463486070114,1.6953224639737534,448,
WP_MIRTARGETED_GENES_IN_LYMPHOCYTES,1.1487842311438467e-9,1.5393708697327546e-7,0.7881868108002371,0.41965526159858424,1.6956854583527154,484,
WP_FOCAL_ADHESION,1.2873767599339215e-9,1.683009617864834e-7,0.7881868108002371,0.5255622093570206,1.945756015836589,199,
ZHENG_FOXP3_TARGETS_IN_THYMUS_UP,1.3533713836081602e-9,1.7271596705094616e-7,0.7881868108002371,0.5334977615143615,1.9674307460789302,198,
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN,1.6494288288041954e-9,2.0560322145094155e-7,0.7881868108002371,0.47835502137237546,1.846734519152427,280,
ZHU_CMV_ALL_DN,1.771521340446655e-9,2.1580350874531978e-7,0.7881868108002371,0.6257114572438764,2.194851557168747,118,
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,1.971014951704325e-9,2.3476978091411518e-7,0.7749390301364363,0.46500407415666056,1.8095232249373079,313,
RIGGI_EWING_SARCOMA_PROGENITOR_UP,3.334142834605691e-9,3.885001215975327e-7,0.7749390301364363,0.41794991901396367,1.6726431722743587,437,
MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_DN,3.6235421443004517e-9,4.132379977329877e-7,0.7749390301364363,0.5294931126217243,1.964332965177384,206,
WP_MIRTARGETED_GENES_IN_MUSCLE_CELL,4.174818421582296e-9,4.661880570766898e-7,0.7614608014455848,0.43106762094498025,1.7274782010172811,397,
WALLACE_PROSTATE_CANCER_RACE_UP,4.504777813935771e-9,4.927675322999129e-7,0.7614608014455848,0.45893251265218427,1.7824149993412162,302,
OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN,5.066829744530018e-9,5.431641486136179e-7,0.7614608014455848,0.4720695778323918,1.8098664748797442,274,
