pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_NEURONAL_SYSTEM,1.8517008468440762e-32,9.925116539084248e-29,1.4815675883363268,0.661128447919055,2.3429699303459937,410,
LIM_MAMMARY_STEM_CELL_UP,8.064286045324517e-22,2.1612286601469706e-18,1.2125445676906186,0.5742155179835399,2.05875057295693,478,
LIU_PROSTATE_CANCER_DN,2.0269676872173185e-21,3.621515601161609e-18,1.1953444825884847,0.5740932398131864,2.069085748835251,494,
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,5.81434918664931e-19,7.791227910110075e-16,1.1239149637448316,0.6367476078939215,2.17265313315661,269,
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN,7.306307652317954e-19,7.832361803284847e-16,1.1239149637448316,0.5763341086210997,2.0417214187084913,409,
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3,2.90622491938121e-18,2.5962275946472143e-15,1.1053365773140096,0.5672503393563137,2.0178185184161164,438,
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2,4.826481935057261e-18,3.695706167415274e-15,1.095929286431201,0.5596303286990671,2.00575539107897,473,
MEISSNER_NPC_HCP_WITH_H3K4ME2,3.1891133501011714e-17,2.136705944567785e-14,1.0672099868281106,0.5440246178659314,1.9597612697520457,493,
BROWNE_HCMV_INFECTION_48HR_DN,3.7491987150755574e-17,2.2328561236449985e-14,1.0672099868281106,0.5421300655093202,1.9437137242544618,478,
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,1.0571416169653766e-14,5.6662790669344186e-12,0.9865462835875821,0.5986430216195451,2.0420073284548836,271,
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN,1.638678418599856e-14,7.984833021541115e-12,0.9759946830643197,0.5277688222525676,1.889789291890881,466,
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,2.618922715165207e-14,1.1697854794404591e-11,0.9759946830643197,0.6356568947910263,2.126442924199096,205,
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP,4.169800162691649e-14,1.7192406824636338e-11,0.9653277542260832,0.6333389330738225,2.1120044721153497,203,
REACTOME_MUSCLE_CONTRACTION,4.8063993288416294e-14,1.840164314470795e-11,0.9653277542260832,0.6326557322882851,2.1097261926048754,203,
RIGGI_EWING_SARCOMA_PROGENITOR_UP,1.3389555687605673e-13,4.7845345657044265e-11,0.9436322252328375,0.5281305864985787,1.8792690340960534,437,
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3,2.27303973497575e-13,7.614683112168763e-11,0.9436322252328375,0.5514949918056697,1.9293804235393237,350,
PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2,2.508386415458577e-13,7.908794815798808e-11,0.932595211336209,0.5438989803978579,1.9135597329671186,372,
ZHOU_INFLAMMATORY_RESPONSE_FIMA_DN,7.285019787298997e-13,2.0551424242064538e-10,0.9214260034948982,0.5794320961738069,1.9840115870809099,277,
ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN,6.911111046946668e-13,2.0551424242064538e-10,0.9214260034948982,0.53729632011129,1.8914139280923368,376,
MIKKELSEN_NPC_ICP_WITH_H3K4ME3,1.2917764350400294e-12,3.4619608459072787e-10,0.9101197347744591,0.5179489159078183,1.8449575662770312,446,
KEGG_CALCIUM_SIGNALING_PATHWAY,1.8348896709715023e-12,4.683337445908216e-10,0.8986712320616942,0.6327179568471692,2.0880206078106514,178,
PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2_M,2.293329207416658e-12,5.587383887160585e-10,0.8986712320616942,0.552712028138291,1.91461768169866,314,
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,3.931843484495143e-12,9.162904816040855e-10,0.8870749883998732,0.7410494733883435,2.2177798537687066,87,
VERHAAK_GLIOBLASTOMA_PRONEURAL,6.6213536590310294e-12,1.4787689838502634e-9,0.8870749883998732,0.6296655512421103,2.07682451773048,177,
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP,7.52376340487344e-12,1.6130948740048655e-9,0.8753251320246591,0.5268939451405059,1.8597997056311242,382,
REACTOME_POTASSIUM_CHANNELS,8.207014270833105e-12,1.6919075573717478e-9,0.8753251320246591,0.7035616942911223,2.1669115806728447,103,
WP_CILIOPATHIES,9.18720965721424e-12,1.8238312504691972e-9,0.8753251320246591,0.6228229556277511,2.058870616341029,182,
PEREZ_TP63_TARGETS,1.0281661016667056e-11,1.9682036803334077e-9,0.8753251320246591,0.5302386231987231,1.8578706029227303,357,
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP,2.1285941853295733e-11,3.934229252885004e-9,0.8634153916066928,0.5698540053302376,1.9352012750613568,255,
ONDER_CDH1_TARGETS_2_UP,2.4322472269429804e-11,4.3456150454714585e-9,0.8634153916066928,0.5666249767485172,1.9218771583695273,256,
NABA_CORE_MATRISOME,2.6602422348611915e-11,4.599644638340641e-9,0.8634153916066928,0.5626723609965898,1.9248092947246076,275,
SMID_BREAST_CANCER_NORMAL_LIKE_UP,3.189386873677079e-11,5.342223013409107e-9,0.851339057116899,0.4924230450584477,1.7664420471218534,483,
PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_S2,3.3075123134428966e-11,5.3722018181981595e-9,0.851339057116899,0.5248274620892976,1.8420071726142586,363,
DAZARD_RESPONSE_TO_UV_NHEK_DN,4.2434287661338844e-11,6.6896406430816535e-9,0.851339057116899,0.5516964254780767,1.904327620662662,300,
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN,6.034965632691285e-11,8.985393275340358e-9,0.8390889356212738,0.6108191182456872,2.017912479414905,181,
MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3,5.918588884953438e-11,8.985393275340358e-9,0.8390889356212738,0.5876831943597974,1.9764068039319809,210,
SENESE_HDAC1_TARGETS_DN,7.419156576557934e-11,1.0747751148743386e-8,0.8390889356212738,0.5626646993309096,1.9173409845260736,266,
