pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_MUSCLE_CELL_DIFFERENTIATION,1.847838473985079e-12,7.775704298529213e-9,0.8986712320616942,0.4554473971431402,1.8150152991657682,439,
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,3.0823027502374515e-11,5.159003484984712e-8,0.851339057116899,0.4856906253456728,1.902817007101661,320,
GOBP_ACTIN_FILAMENT_ORGANIZATION,3.6779967811202793e-11,5.159003484984712e-8,0.851339057116899,0.43755564850403295,1.756552178454438,467,
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,1.6029738900029754e-10,1.3490628258265043e-7,0.826657301178302,0.6061733623091436,2.1466763594426763,136,
GOBP_MUSCLE_TISSUE_DEVELOPMENT,1.5672097010722484e-10,1.3490628258265043e-7,0.826657301178302,0.43475894501724166,1.743181067432334,453,
GOBP_CELL_SUBSTRATE_ADHESION,2.1865948153882602e-10,1.5335318305256333e-7,0.826657301178302,0.4585773144110288,1.8120755841953775,363,
GOBP_MYOFIBRIL_ASSEMBLY,7.918257889044491e-10,4.5995195234778895e-7,0.8012155746177786,0.6983654091094821,2.2785475728617413,75,
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,8.744333694824885e-10,4.5995195234778895e-7,0.8012155746177786,0.42332570555495347,1.691482790583899,434,
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS,2.54991087003665e-9,1.192224993457136e-6,0.7749390301364363,0.43528143518532425,1.7404546567600698,401,
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY,3.67651023600716e-9,1.547075507311813e-6,0.7749390301364363,0.42958807290709355,1.704877660429833,378,
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,4.278734956815617e-9,1.6368106089345561e-6,0.7614608014455848,0.5054548513095001,1.914162022621062,216,
GOBP_B_CELL_ACTIVATION,4.993228402468735e-9,1.7509587597990365e-6,0.7614608014455848,0.4664604008171569,1.806572449045039,292,
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,1.5104729170548818e-8,4.8892846422822635e-6,0.7337619883564803,0.4772920040804591,1.832155779504599,255,
GOBP_WOUND_HEALING,1.8648012594362612e-8,5.605059785505562e-6,0.7337619883564803,0.4040399536310092,1.6220740403691385,450,
GOBP_MUSCLE_CELL_DEVELOPMENT,2.230228285729009e-8,6.256533750898447e-6,0.7337619883564803,0.4969336742813595,1.8588160046841475,205,
GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION,3.1823384673957113e-8,8.36955016925072e-6,0.7195128263389107,0.46113331819390097,1.7866313873993453,272,
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,3.4113412487564574e-8,8.444072926333631e-6,0.7195128263389107,0.39473659484233603,1.5903232919030776,500,
GOBP_MUSCLE_ORGAN_DEVELOPMENT,4.1123659121373176e-8,9.613797643485463e-6,0.7195128263389107,0.4182591410373001,1.6574045510115785,371,
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,5.578963721605078e-8,1.1738139670257085e-5,0.7195128263389107,0.5096986554607903,1.8747623769634814,187,
GOBP_LYMPHOCYTE_DIFFERENTIATION,5.4622880454065935e-8,1.1738139670257085e-5,0.7195128263389107,0.40873342324088535,1.626822918125574,440,
GOBP_EPITHELIAL_CELL_DEVELOPMENT,6.758993112263223e-8,1.2928110462001656e-5,0.7049757151672383,0.48464662405907266,1.846127835383518,229,
GOBP_CELL_MATRIX_ADHESION,6.700195844562724e-8,1.2928110462001656e-5,0.7049757151672383,0.4757068203228498,1.8180310153906063,242,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,9.466258836041946e-8,1.6600998518653402e-5,0.7049757151672383,0.4905777678929842,1.8532180882684657,213,
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,9.468250105695856e-8,1.6600998518653402e-5,0.7049757151672383,0.4577702689225901,1.7588279292029831,262,
GOBP_MUSCLE_SYSTEM_PROCESS,1.3231390967741986e-7,2.227107727690331e-5,0.6901324587967956,0.3930660060398563,1.5835273235347362,478,
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,2.1843085675904244e-7,3.5352194047771175e-5,0.6901324587967956,0.4898600360366793,1.8262719232160787,201,
GOBP_HEART_MORPHOGENESIS,3.1322592971349525e-7,4.707338257979957e-5,0.674962860011025,0.44406338394139216,1.7173797249476526,276,
GOBP_REGULATION_OF_BODY_FLUID_LEVELS,3.1150391076545314e-7,4.707338257979957e-5,0.674962860011025,0.40509853559463593,1.6140974759581697,389,
GOBP_SPINDLE_ORGANIZATION,5.93694434128927e-7,8.614710961429396e-5,0.6594443980379349,0.4710299082405581,1.775037558241352,208,
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,6.5874179386469e-7,8.941888608331019e-5,0.6594443980379349,0.503536026264406,1.8571607325710606,177,
GOBP_HEMOSTASIS,6.579603264830893e-7,8.941888608331019e-5,0.6594443980379349,0.4444854531294019,1.7050624464664004,250,
GOBP_PLATELET_ACTIVATION,7.152576089996938e-7,9.405637558345974e-5,0.6594443980379349,0.5196255029519985,1.8537268029819869,142,
GOBP_ACTIN_FILAMENT_POLYMERIZATION,8.565819312548584e-7,1.0922717474910438e-4,0.6594443980379349,0.5102630630613765,1.8515592225300863,157,
GOBP_ENDOTHELIUM_DEVELOPMENT,8.957634395462203e-7,1.1086389863560279e-4,0.6594443980379349,0.5059058058631202,1.832106116384601,152,
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH,1.0060755213062897e-6,1.2095902267591048e-4,0.6435518361507222,0.5082431244758318,1.834834779901196,153,
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,1.161156736269705e-6,1.3572632072841442e-4,0.6435518361507222,0.39506554808560845,1.565642829284273,376,
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.3162260764824186e-6,1.4969403594156805e-4,0.6435518361507222,0.6205329063381567,2.01853892764971,78,
GOBP_CALCIUM_MEDIATED_SIGNALING,1.3951835542827782e-6,1.5449822095847188e-4,0.6435518361507222,0.4420619304735909,1.688665866632889,240,
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,1.7697973786257405e-6,1.8415013446681838e-4,0.6435518361507222,0.3805854025461729,1.5169897796199496,436,
GOBP_CILIUM_ORGANIZATION,1.794238477457118e-6,1.8415013446681838e-4,0.6435518361507222,0.3771336802026594,1.5115415703798225,456,
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,1.783068514578e-6,1.8415013446681838e-4,0.6435518361507222,0.36950876307463587,1.48294141091222,466,
GOBP_MUSCLE_CONTRACTION,1.8456781146266466e-6,1.84919369198784e-4,0.6435518361507222,0.3991323668161319,1.5784194440927868,368,
GOBP_GOLGI_VESICLE_TRANSPORT,1.897740732113138e-6,1.8571379071469964e-4,0.6435518361507222,0.4120497172468235,1.6093440624830935,312,
GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS,1.943988204575645e-6,1.8591596283759807e-4,0.6272567397185284,0.6862847600971109,2.03256092931043,46,
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,2.224752139790455e-6,2.0803904453862743e-4,0.6272567397185284,0.38303932447773203,1.5314697313985977,402,
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,2.4616305047925217e-6,2.2518567748188982e-4,0.6272567397185284,0.3721029551162621,1.4928161759026675,457,
GOBP_SPINDLE_ASSEMBLY,2.8035515745324627e-6,2.510073409709065e-4,0.6272567397185284,0.5092705960198346,1.8068287759185286,138,
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,2.8983009527545377e-6,2.5408438352481446e-4,0.6272567397185284,0.373821048710959,1.5059960303109747,478,
GOBP_ENDOTHELIAL_CELL_DIFFERENTIATION,2.965154156037981e-6,2.5464017731852704e-4,0.6272567397185284,0.5255041627506524,1.8454693922168204,129,
GOBP_IMMUNE_SYSTEM_DEVELOPMENT,3.5246141279221976e-6,2.966315250059321e-4,0.6272567397185284,0.4558185757686694,1.7258959886849932,210,
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,3.7958262254309868e-6,3.0716993762718443e-4,0.6272567397185284,0.5345376107684378,1.8487389857098129,119,
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,3.7594223731464763e-6,3.0716993762718443e-4,0.6272567397185284,0.5079999712110509,1.799009320769478,136,
GOBP_CARDIAC_SEPTUM_DEVELOPMENT,4.013821153061087e-6,3.18682253058133e-4,0.610526878385931,0.5332738148627995,1.8516800130822884,115,
GOBP_WNT_SIGNALING_PATHWAY,4.386776078257122e-6,3.418435877278883e-4,0.610526878385931,0.36954316681110666,1.4862659474917277,484,
GOBP_B_CELL_DIFFERENTIATION,5.217693689819241e-6,3.920724115492744e-4,0.610526878385931,0.4837940505571764,1.7396244423990008,149,
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT,5.2120240304197425e-6,3.920724115492744e-4,0.610526878385931,0.37811598056037,1.513863130355733,429,
GOBP_CELL_CELL_JUNCTION_ORGANIZATION,5.326447952202607e-6,3.9322268390997486e-4,0.610526878385931,0.44229158589028095,1.685500754361807,225,
GOBP_MITOTIC_SPINDLE_ORGANIZATION,5.5288247906645344e-6,4.011257710192476e-4,0.610526878385931,0.5027353656893327,1.7872032781610472,137,
GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY,6.5709587431848635e-6,4.468300681760478e-4,0.610526878385931,0.41519222053208293,1.588464169503711,257,
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,6.26857003435653e-6,4.468300681760478e-4,0.610526878385931,0.3899648834831527,1.5363661036937661,359,
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE,6.583522867612871e-6,4.468300681760478e-4,0.610526878385931,0.3849688760616859,1.5146000268463078,361,
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,6.475977117989608e-6,4.468300681760478e-4,0.610526878385931,0.37544340505627294,1.497507103076392,420,
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS,7.0844342941406875e-6,4.731952303133971e-4,0.610526878385931,0.5092306712345167,1.794765411669564,135,
GOBP_PROTEIN_POLYMERIZATION,7.26572939905711e-6,4.77721707988005e-4,0.610526878385931,0.41702039463214047,1.6164345792613455,284,
GOBP_CHROMOSOME_SEGREGATION,8.779054584607774e-6,5.683424875696848e-4,0.5933254763964051,0.36621265412079673,1.4579168848422888,437,
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,9.444620142225625e-6,6.021660842194762e-4,0.5933254763964051,0.6505556191146575,2.0257776491474395,59,
GOBP_CELL_CELL_JUNCTION_ASSEMBLY,9.805682321999925e-6,6.158553912085923e-4,0.5933254763964051,0.47494809502842883,1.7343938874285205,163,
GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION,1.0065316483478572e-5,6.228654670952622e-4,0.5933254763964051,0.4096940246991573,1.584233175701382,271,
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,1.2588082822790476e-5,7.676906162072801e-4,0.5933254763964051,0.39265713155558124,1.5288367604760331,310,
GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,1.4085792176693653e-5,8.467573354218127e-4,0.5933254763964051,0.495836036464523,1.735274013597962,130,
GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.6078712883311818e-5,9.529468142672694e-4,0.5756102610711286,0.7932904670637966,2.10488173775576,25,
GOBP_LEUKOCYTE_MIGRATION,1.641106415173787e-5,9.591355270904577e-4,0.5756102610711286,0.3715687057040305,1.4898436429768114,396,
GOBP_CARDIOCYTE_DIFFERENTIATION,1.674148124885463e-5,9.650431930846615e-4,0.5756102610711286,0.46044735259264025,1.6785006860732514,171,
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,1.7617893035427374e-5,0.0010018391066632215,0.5756102610711286,0.36427973344909215,1.4558413641033052,421,
GOBP_HEPATOCYTE_APOPTOTIC_PROCESS,1.9471087955004073e-5,0.0010924578415287618,0.5756102610711286,0.8155390238234983,2.060214173937469,20,
GOBP_HEART_PROCESS,2.1742524801543266e-5,0.0012038492679591324,0.5756102610711286,0.4039884836946775,1.5631795718626125,274,
GOBP_MESENCHYME_DEVELOPMENT,2.2115653471056568e-5,0.0012086061013792991,0.5756102610711286,0.3864338172078036,1.521405673316184,341,
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNOGLOBULINS,3.235784912464809e-5,0.0017423753139205345,0.557332238758646,0.5859746365152212,1.8806944230816236,69,
GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,3.271094339347011e-5,0.0017423753139205345,0.557332238758646,0.528670258948945,1.813247296383635,99,
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS,3.357814920505655e-5,0.0017662106481859746,0.557332238758646,0.5587053134447819,1.8287327094684616,81,
GOBP_REGULATION_OF_CELL_KILLING,3.6559289675054824e-5,0.0018992776660818607,0.557332238758646,0.4967677261342588,1.7228299201176833,113,
GOBP_SPROUTING_ANGIOGENESIS,3.921901602311247e-5,0.00195338077339084,0.557332238758646,0.42299277367982724,1.5856831239967464,206,
GOBP_SISTER_CHROMATID_SEGREGATION,3.887094102726968e-5,0.00195338077339084,0.557332238758646,0.4090174396606069,1.5633912516383281,238,
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,3.9578499598727845e-5,0.00195338077339084,0.557332238758646,0.39940852231365687,1.5345925934865492,262,
GOBP_MITOTIC_NUCLEAR_DIVISION,3.868055105262039e-5,0.00195338077339084,0.557332238758646,0.3878657625338866,1.5018467929833137,286,
GOBP_OSSIFICATION,3.992175534971774e-5,0.00195338077339084,0.557332238758646,0.3547905076366214,1.4219907402084409,456,
GOBP_HEART_GROWTH,4.100413586940628e-5,0.0019832805027409383,0.557332238758646,0.5030600947474425,1.740429561236239,104,
GOBP_MITOTIC_SPINDLE_ASSEMBLY,4.316950986215379e-5,0.0019962340384609136,0.557332238758646,0.5636633364876722,1.8335472223438496,78,
GOBP_PROTEIN_AUTOPHOSPHORYLATION,4.1775432078836725e-5,0.0019962340384609136,0.557332238758646,0.47303464242197035,1.6850067206883925,140,
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS,4.242543610265151e-5,0.0019962340384609136,0.557332238758646,0.45147793685723225,1.6459557372317728,170,
GOBP_RESPONSE_TO_PEPTIDE_HORMONE,4.282309395280086e-5,0.0019962340384609136,0.557332238758646,0.3565326735532671,1.432033168309317,452,
GOBP_ENDOSOMAL_TRANSPORT,4.372264924845448e-5,0.001999835956929309,0.557332238758646,0.3908999900978518,1.515146645658252,297,
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION,4.888945310693364e-5,0.0022121163298277073,0.557332238758646,0.36942538717830353,1.4603893634707845,366,
GOBP_CYTOKINESIS,5.50518490839251e-5,0.0024644487334591152,0.557332238758646,0.4234899771474213,1.569070166665914,194,
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,5.5704004729356894e-5,0.0024673942305382507,0.557332238758646,0.34619818362035115,1.3939428466787613,495,
GOBP_CARDIAC_MUSCLE_CONTRACTION,5.864707011687178e-5,0.002570696573456213,0.557332238758646,0.45773625260573464,1.657105983423894,154,
GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,6.0026699695072604e-5,0.002598704255254092,0.557332238758646,0.4220139385068363,1.5785733664170085,205,
GOBP_T_CELL_DIFFERENTIATION,6.0742188172928745e-5,0.002598704255254092,0.557332238758646,0.38079785318973136,1.5010396083703492,327,
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY,6.113871703188097e-5,0.002598704255254092,0.5384340963099162,0.36964432581664614,1.469301353353767,355,
GOBP_OSTEOBLAST_DIFFERENTIATION,6.202145501569695e-5,0.0026098628270605274,0.5384340963099162,0.397603704611441,1.5328531297531791,267,
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,6.280011271646001e-5,0.0026164641020877595,0.5384340963099162,0.5341478774046389,1.781539548147777,90,
GOBP_CAMP_MEDIATED_SIGNALING,6.792649450975578e-5,0.0028023008715397286,0.5384340963099162,0.7336612820032544,1.978287974690019,28,
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY,7.07663304795348e-5,0.0028911137733775,0.5384340963099162,0.376479373121654,1.4913280903460322,330,
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,7.280564882585889e-5,0.002945828560184752,0.5384340963099162,0.4666793446318881,1.6716420576732776,146,
