pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,5.189753974389341e-27,2.1838484724230348e-23,1.34992572002205,0.6114742932725097,2.198453140633805,472,
GOBP_SYNAPSE_ASSEMBLY,2.445377506948026e-21,5.1450742746186474e-18,1.1953444825884847,0.6509047496742589,2.236753079031207,275,
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY,3.68831204159056e-21,5.173472357004359e-18,1.1866509527928102,0.6299313623998273,2.191188674409885,318,
GOBP_FOREBRAIN_DEVELOPMENT,1.936991439333018e-19,2.037714994178335e-16,1.142191202168377,0.5810710705118856,2.06853865973139,410,
GOBP_MICROTUBULE_BASED_MOVEMENT,8.104002822565835e-19,6.820328775471407e-16,1.1239149637448316,0.5528552417875469,1.9949715650604558,492,
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,1.2197332376770833e-18,8.554395773575278e-16,1.114664477517292,0.7136690081882235,2.309724234238255,152,
GOBP_MUSCLE_SYSTEM_PROCESS,3.96296521549327e-18,2.382308232399383e-15,1.095929286431201,0.5574929632257684,2.0051819173509267,478,
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,1.2620218200429927e-17,6.638234773426142e-15,1.0864405425824981,0.5564218063322868,1.9911765779995667,446,
GOBP_COGNITION,4.0079507691138136e-17,1.6865456836430927e-14,1.0672099868281106,0.5927749489719526,2.067574691311541,330,
GOBP_MUSCLE_CELL_DIFFERENTIATION,3.812040921465076e-17,1.6865456836430927e-14,1.0672099868281106,0.5551557374786671,1.984198890763974,439,
GOBP_MUSCLE_CONTRACTION,3.2455437945142876e-16,1.2415680261196475e-13,1.0376961554875836,0.5729540069547329,2.0156945751841433,368,
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,1.1019816372806232e-15,3.864282274730719e-13,1.0175447973098848,0.5429029382259379,1.9454776591953464,457,
GOBP_MICROTUBULE_BASED_TRANSPORT,1.4481029843057536e-15,4.68739796766047e-13,1.0175447973098848,0.6235194818476062,2.1087388510875167,231,
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE,3.532980638273566e-15,1.0619130375610831e-12,1.0073179568744748,0.6055178352186474,2.0679356150594397,260,
GOBP_MUSCLE_TISSUE_DEVELOPMENT,3.975895928697215e-15,1.1153713378638588e-12,0.9969862175331805,0.5390899267961735,1.9317976416777487,453,
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,5.043156512249304e-15,1.248329564914416e-12,0.9969862175331805,0.6394799267979848,2.1392407772698827,208,
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,5.009303652382222e-15,1.248329564914416e-12,0.9969862175331805,0.5943779377251844,2.0462412097388407,282,
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY,1.5251073631312452e-14,3.565362102253489e-12,0.9759946830643197,0.6611285165223981,2.1619038031750706,172,
GOBP_TELENCEPHALON_DEVELOPMENT,3.460211042259164e-14,7.280284032913281e-12,0.9653277542260832,0.5884694586125945,2.0261208439825773,283,
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,3.31354613314992e-14,7.280284032913281e-12,0.9653277542260832,0.5573133391853249,1.9563834507417976,356,
GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION,4.192440823344846e-14,8.400852849826245e-12,0.9653277542260832,0.5718522505716874,1.9892058434019413,320,
GOBP_DEVELOPMENTAL_CELL_GROWTH,4.532316303844223e-14,8.669085002989314e-12,0.9653277542260832,0.6075666690806214,2.0555161921633913,235,
GOBP_CILIUM_ORGANIZATION,5.79171622429645e-14,1.059632255297368e-11,0.9545416307257243,0.5279027057740526,1.8915975542687433,456,
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,2.1924130427910603e-13,3.8440308683603257e-11,0.9436322252328375,0.5857488491028949,2.0105871645982045,272,
GOBP_SENSORY_SYSTEM_DEVELOPMENT,2.4446408902880924e-13,4.114819546532917e-11,0.932595211336209,0.5229283236786559,1.8690139176164509,439,
GOBP_MUSCLE_CELL_DEVELOPMENT,3.4499478034650345e-13,5.583607829608025e-11,0.932595211336209,0.6219497495798452,2.079105882047447,205,
GOBP_DENDRITE_DEVELOPMENT,4.999479981711117e-13,7.7917821344594e-11,0.9214260034948982,0.599438721113792,2.0311911481589773,239,
GOBP_MUSCLE_ORGAN_DEVELOPMENT,8.307926498967561e-13,1.2485626681305534e-10,0.9214260034948982,0.5379525685647981,1.8909861520435647,371,
GOBP_NEURON_MIGRATION,1.1670481782668768e-12,1.693427149705868e-10,0.9101197347744591,0.6227212601247933,2.071325916956356,196,
GOBP_PALLIUM_DEVELOPMENT,1.3217496262118972e-12,1.7381007584686448e-10,0.9101197347744591,0.6215290244701009,2.0644081995165546,193,
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE,1.275835000178222e-12,1.7381007584686448e-10,0.9101197347744591,0.5382751872573142,1.8907801121025052,361,
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,1.2939540800480525e-12,1.7381007584686448e-10,0.9101197347744591,0.5082901959066849,1.8346376229016124,500,
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,2.020067113413311e-12,2.575891640376731e-10,0.8986712320616942,0.5126577390213293,1.8360440945527559,452,
GOBP_PATTERN_SPECIFICATION_PROCESS,3.1601276204575874e-12,3.9111226549663315e-10,0.8986712320616942,0.5051601443661888,1.8180962552372406,481,
GOBP_LEARNING,3.6005752524513256e-12,4.328920189232908e-10,0.8986712320616942,0.6374964758958348,2.0749121240251167,162,
GOBP_LOCOMOTORY_BEHAVIOR,5.0109994861013536e-12,5.793192329154149e-10,0.8870749883998732,0.5999724894595257,2.015826958704231,215,
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS,5.093824053676415e-12,5.793192329154149e-10,0.8870749883998732,0.582372562367003,1.973382796619412,243,
GOBP_ACTION_POTENTIAL,5.304899749215802e-12,5.874478459131604e-10,0.8870749883998732,0.6225632754587105,2.0474473903602255,179,
GOBP_REGULATION_OF_AXONOGENESIS,6.927552647525259e-12,7.474651677124689e-10,0.8870749883998732,0.6559467283677013,2.1029128136508364,144,
GOBP_POSTSYNAPSE_ORGANIZATION,1.604211119110819e-11,1.6876300973045816e-9,0.8634153916066928,0.5809661450678644,1.9688613856235373,242,
GOBP_WNT_SIGNALING_PATHWAY,2.3469353196750255e-11,2.408757030534758e-9,0.8634153916066928,0.4935376809642049,1.7772771024264034,484,
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,3.122887549782286e-11,3.1288359070199663e-9,0.851339057116899,0.5651340288429357,1.9270276604886183,255,
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,3.27360194005104e-11,3.2035620845894832e-9,0.851339057116899,0.5473878751475361,1.899189948581931,310,
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,3.592783275101235e-11,3.436007277642272e-9,0.851339057116899,0.5775229639773698,1.9571926397760628,242,
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,3.827373565239817e-11,3.538405219715119e-9,0.851339057116899,0.6881381036145823,2.1293340266651257,108,
GOBP_AXON_EXTENSION,3.868028519650558e-11,3.538405219715119e-9,0.851339057116899,0.6809854507488114,2.112080445453635,113,
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,5.376401981807311e-11,4.813595646690461e-9,0.851339057116899,0.5603375551385795,1.9169342200242456,262,
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,7.850855749886283e-11,6.8825835407336415e-9,0.8390889356212738,0.6481598732198186,2.063652447562114,136,
GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,9.210105108101004e-11,7.909412713242658e-9,0.8390889356212738,0.6197608778328723,2.0188008219127656,164,
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,9.602010308222324e-11,8.081051875399906e-9,0.8390889356212738,0.6195901599902138,2.024873352073707,171,
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,1.2374371183400121e-10,1.0210069399950532e-8,0.826657301178302,0.53688020495617494,1.869475296684564,321,
GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS,1.2780405559839314e-10,1.0342297422269968e-8,0.826657301178302,0.5034212155107394,1.7847282879518416,401,
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,1.580519506014183e-10,1.2548728455297512e-8,0.826657301178302,0.49433790427748503,1.7704330214441566,452,
GOBP_REGULATION_OF_HEART_CONTRACTION,1.6706695882285858e-10,1.3018847457899794e-8,0.826657301178302,0.5753011172886416,1.9390824479048752,224,
