pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,135,4,2.2407851236525313e-5,26.873927032856,"HUWE1, UBE4A, CBL, RNF7",0.016716257022447882
JIANG_MELANOMA_TRM3_CD8,424,5,1.632469129678275e-4,10.611345305256277,"PHPT1, WNK1, PSMD4, PSMC3, EIF6",0.05272988798882536
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_23,19,2,2.399036874481565e-4,100.69541462334375,"CBL, ARHGEF12",0.05272988798882536
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,295,4,4.5321601961392414e-4,12.064562529180332,"HUWE1, UBE4A, RNF7, PSMC3",0.05272988798882536
PULVER_FOREY_PERTURB_ACCUMULATION_M_EG1,305,4,5.135721001665411e-4,11.661733028202304,"ADAT1, UBE4A, ZFHX3, ZNF366",0.05272988798882536
MCBRYAN_PUBERTAL_BREAST_5_6WK_DN,131,3,5.439523680684625e-4,20.321009757344942,"WNK1, ZFHX3, ZBTB20",0.05272988798882536
REACTOME_DNA_REPLICATION_PRE_INITIATION,145,3,7.304837166966312e-4,18.313115586176625,"KPNA6, PSMC3, H3C1",0.05272988798882536
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,36,2,8.722662807033817e-4,50.333023212360196,"PSMD4, PSMC3",0.05272988798882536
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,36,2,8.722662807033817e-4,50.333023212360196,"PSMD4, PSMC3",0.05272988798882536
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,36,2,8.722662807033817e-4,50.333023212360196,"PSMD4, PSMC3",0.05272988798882536
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,36,2,8.722662807033817e-4,50.333023212360196,"PSMD4, PSMC3",0.05272988798882536
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,39,2,0.0010235664125857905,46.249584161532525,"PSMD4, PSMC3",0.05272988798882536
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,40,2,0.0010766029694181617,45.03171631899523,"PSMD4, PSMC3",0.05272988798882536
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,40,2,0.0010766029694181617,45.03171631899523,"PSMD4, PSMC3",0.05272988798882536
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,373,4,0.0010845911523020399,9.501518867474793,"HUWE1, UBE4A, RNF7, PSMC3",0.05272988798882536
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,41,2,0.0011309359354171658,43.87630321406364,"PSMD4, PSMC3",0.05272988798882536
REACTOME_DNA_REPLICATION,180,3,0.0013616737215301612,14.6830243120816,"KPNA6, PSMC3, H3C1",0.05893145458324651
KEGG_PROTEASOME,46,2,0.0014219385824375834,38.887019088563136,"PSMD4, PSMC3",0.05893145458324651
REACTOME_HDMS_DEMETHYLATE_HISTONES,48,2,0.0015473064107594193,37.19500089673884,"KDM2A, H3C1",0.060752135917185625
MARTINEZ_RESPONSE_TO_TRABECTEDIN,50,2,0.0016777612748605207,35.64398417770092,"ZFHX3, COMMD1",0.061486633543080205
MCBRYAN_PUBERTAL_BREAST_6_7WK_UP,197,3,0.001761853531961843,13.392443961190647,"WNK1, UBE4A, ZBTB20",0.061486633543080205
REACTOME_PROTEASOME_ASSEMBLY,52,2,0.001813278737195395,34.21704875969154,"PSMD4, PSMC3",0.061486633543080205
REACTOME_SIGNALING_BY_INTERLEUKINS,458,4,0.0022913509495909984,7.711253246854451,"CBL, IL26, PSMC3, H3C1",0.07431946993021238
WP_PROTEASOME_DEGRADATION,62,2,0.002565955650249951,28.509306737915015,"PSMD4, PSMC3",0.07975845479526932
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,64,2,0.0027313402606218467,27.58870313360931,"KPNA6, H3C1",0.08031957674610853
