pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
CHEMELLO_SOLEUS_VS_EDL_MYOFIBERS_UP,20,2,4.017888725891303e-4,76.96423481201401,"CASQ2, ATP2A1",0.20504309564085244
KEGG_CELL_ADHESION_MOLECULES_CAMS,131,3,9.90674285863299e-4,16.399188968449835,"ITGAL, CD6, CLDN2",0.20504309564085244
WANG_RESPONSE_TO_BEXAROTENE_UP,34,2,0.0011705183598791922,43.281977945692724,"TBX20, CLDN2",0.20504309564085244
SHIPP_DLBCL_CURED_VS_FATAL_UP,39,2,0.0015387000243278829,37.42984638679331,"APLP1, ATP2A1",0.20504309564085244
REACTOME_ION_HOMEOSTASIS,54,2,0.0029291616342595724,26.625909655240463,"CASQ2, ATP2A1",0.20504309564085244
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP,195,3,0.0030768064136410932,10.92074479664001,"CDCA7, PAXBP1, SHOC1",0.20504309564085244
REACTOME_MUSCLE_CONTRACTION,203,3,0.003444139079241928,10.482469248044021,"CASQ2, MYH11, ATP2A1",0.20504309564085244
LIAN_LIPA_TARGETS_3M,64,2,0.004087381861506766,22.327568677502175,"LY9, NEU1",0.20504309564085244
KEGG_VIRAL_MYOCARDITIS,68,2,0.004600977126860722,20.9729399399459,"ITGAL, MYH11",0.20504309564085244
REACTOME_NEUTROPHIL_DEGRANULATION,477,4,0.005545448421926625,5.953694478582621,"ITGAL, FLG2, NEU1, TICAM2",0.20504309564085244
SMID_BREAST_CANCER_NORMAL_LIKE_UP,483,4,0.005792098452731675,5.878506902629796,"ITGAL, CD6, LY9, MYH11",0.20504309564085244
LIAN_LIPA_TARGETS_6M,80,2,0.006309759835591137,17.74267128469608,"LY9, NEU1",0.20504309564085244
REACTOME_PLATELET_HOMEOSTASIS,86,2,0.007256551732791719,16.473637121083176,"PDE11A, ATP2A1",0.20504309564085244
BOYLAN_MULTIPLE_MYELOMA_C_D_DN,275,3,0.007967878803296951,7.698130417340077,"ITGAL, GDA, EPCAM",0.20504309564085244
HUTTMANN_B_CLL_POOR_SURVIVAL_UP,283,3,0.008613665299392673,7.477151141258557,"ITGAL, CD6, NEU1",0.20504309564085244
LIU_PROSTATE_CANCER_UP,98,2,0.009329320671300715,14.411456546198345,"EPCAM, GLYATL1",0.20504309564085244
REN_ALVEOLAR_RHABDOMYOSARCOMA_UP,99,2,0.009512625247700959,14.262639388483137,"CASQ2, ATP2A1",0.20504309564085244
LEIN_CHOROID_PLEXUS_MARKERS,105,2,0.010645943630407327,13.430419159683407,"CLDN2, F5",0.20504309564085244
BORCZUK_MALIGNANT_MESOTHELIOMA_DN,106,2,0.010840365297404378,13.301051590996842,"CD6, ATP2A1",0.20504309564085244
REACTOME_DRUG_ADME,106,2,0.010840365297404378,13.301051590996842,"SLC22A2, GLYATL1",0.20504309564085244
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,116,2,0.0128700256097826,12.132204246845838,"ITGAL, CLDN2",0.20504309564085244
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN,119,2,0.013508772876448815,11.82051161777456,"CLDN2, LIAT1",0.20504309564085244
HOLLERN_EMT_BREAST_TUMOR_DN,123,2,0.014381482404087636,11.428963849964202,"EPCAM, ACOT1",0.20504309564085244
BOYLAN_MULTIPLE_MYELOMA_PCA1_UP,124,2,0.014603386168642029,11.335088667536235,"ITGAL, EPCAM",0.20504309564085244
MIKKELSEN_IPS_ICP_WITH_H3K4ME3_AND_H327ME3,124,2,0.014603386168642029,11.335088667536235,"PDE11A, OPCML",0.20504309564085244
REACTOME_CARDIAC_CONDUCTION,130,2,0.01596574451436324,10.802640364337764,"CASQ2, ATP2A1",0.20504309564085244
SANSOM_APC_TARGETS_UP,131,2,0.016197916145812823,10.718714403957696,"CDCA7, ACOT1",0.20504309564085244
KEGG_TIGHT_JUNCTION,132,2,0.016431535798317742,10.636079612080621,"MYH11, CLDN2",0.20504309564085244
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN,134,2,0.01690310048461629,10.47456615489122,"CD6, LY9",0.20504309564085244
MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3,136,2,0.017380401312923916,10.317873994503021,"PDE11A, OPCML",0.20504309564085244
LI_INDUCED_T_TO_NATURAL_KILLER_DN,138,2,0.01786340118793372,10.165790426664003,"CD6, CDCA7",0.20504309564085244
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP,140,2,0.018352063178736385,10.018115077802356,"GDA, EPCAM",0.20504309564085244
BIOCARTA_GRANULOCYTES_PATHWAY,15,1,0.021906597321459165,48.89827823674098,ITGAL,0.20504309564085244
SU_KIDNEY,15,1,0.021906597321459165,48.89827823674098,SLC22A2,0.20504309564085244
WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS,15,1,0.021906597321459165,48.89827823674098,ACOT1,0.20504309564085244
REACTOME_CELL_CELL_COMMUNICATION,155,2,0.022193823514404215,9.033612742482669,"KIRREL2, CLDN2",0.20504309564085244
ZHOU_INFLAMMATORY_RESPONSE_LPS_UP,407,3,0.02257776450298283,5.171090147587673,"TBX20, GLYATL1, NRAP",0.20504309564085244
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,157,2,0.02272914538143795,8.916742786732504,"PDE11A, NPSR1",0.20504309564085244
KEGG_PURINE_METABOLISM,159,2,0.023269786600699362,8.80285040924701,"GDA, PDE11A",0.20504309564085244
KEGG_OTHER_GLYCAN_DEGRADATION,16,1,0.023350054654581287,45.63761126461862,NEU1,0.20504309564085244
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,16,1,0.023350054654581287,45.63761126461862,TICAM2,0.20504309564085244
REACTOME_CGMP_EFFECTS,16,1,0.023350054654581287,45.63761126461862,PDE11A,0.20504309564085244
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX,16,1,0.023350054654581287,45.63761126461862,TICAM2,0.20504309564085244
RODRIGUES_NTN1_TARGETS_DN,160,2,0.023542090948058467,8.746985477171076,"GDA, CLDN2",0.20504309564085244
BIOCARTA_LAIR_PATHWAY,17,1,0.024791406486470602,42.784527364318116,ITGAL,0.20504309564085244
REACTOME_PURINE_CATABOLISM,17,1,0.024791406486470602,42.784527364318116,GDA,0.20504309564085244
WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE,17,1,0.024791406486470602,42.784527364318116,ITGAL,0.20504309564085244
WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,17,1,0.024791406486470602,42.784527364318116,NEU1,0.20504309564085244
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP,166,2,0.025203413374602524,8.426102756525642,"GDA, CDCA7",0.20504309564085244
FOSTER_TOLERANT_MACROPHAGE_UP,167,2,0.025484842510807397,8.374891170642773,"ITGAL, C3orf70",0.20504309564085244
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,18,1,0.026230655852240603,40.26710016117636,TICAM2,0.20504309564085244
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE,18,1,0.026230655852240603,40.26710016117636,SLC22A2,0.20504309564085244
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI,18,1,0.026230655852240603,40.26710016117636,ATP2A1,0.20504309564085244
LIN_NPAS4_TARGETS_UP,170,2,0.026336829726297455,8.22491438315516,"XKR6, C3orf70",0.20504309564085244
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP,173,2,0.027200276392614287,8.080199938721808,"CLDN2, F5",0.20504309564085244
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS,19,1,0.027667805782681576,38.02938690889744,SLC22A2,0.20504309564085244
REACTOME_RHO_GTPASES_ACTIVATE_CIT,19,1,0.027667805782681576,38.02938690889744,MYH11,0.20504309564085244
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,19,1,0.027667805782681576,38.02938690889744,MYH11,0.20504309564085244
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP,175,2,0.027782216846109913,7.986511974503718,"UBXN10, CLDN2",0.20504309564085244
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN,175,2,0.027782216846109913,7.986511974503718,"ITGAL, GDA",0.20504309564085244
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_DN,20,1,0.02910285930426504,36.02722227416577,ATP2A1,0.20504309564085244
FERRANDO_TAL1_NEIGHBORS,20,1,0.02910285930426504,36.02722227416577,CD6,0.20504309564085244
HUMMERICH_BENIGN_SKIN_TUMOR_DN,20,1,0.02910285930426504,36.02722227416577,ATP2A1,0.20504309564085244
HUMMERICH_MALIGNANT_SKIN_TUMOR_DN,20,1,0.02910285930426504,36.02722227416577,ATP2A1,0.20504309564085244
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PDE11A_PDE8B_TO_ACTH_CORTISOL_SIGNALING_PATHWAY,20,1,0.02910285930426504,36.02722227416577,PDE11A,0.20504309564085244
REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS,20,1,0.02910285930426504,36.02722227416577,NEU1,0.20504309564085244
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE,20,1,0.02910285930426504,36.02722227416577,MYH11,0.20504309564085244
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_TOP20_UP,20,1,0.02910285930426504,36.02722227416577,GDA,0.20504309564085244
WP_CALCIUM_MEDIATED_TCELL_APOPTOSIS_INVOLVED_IN_INCLUSION_BODY_MYOSITIS,20,1,0.02910285930426504,36.02722227416577,ATP2A1,0.20504309564085244
KYNG_DNA_DAMAGE_DN,182,2,0.02985822298118569,7.674999492394213,"ITGAL, CDCA7",0.20504309564085244
MEBARKI_HCC_PROGENITOR_FZD8CRD_DN,454,3,0.029865225055795707,4.628429336990641,"GDA, PDE11A, F5",0.20504309564085244
REACTOME_ION_CHANNEL_TRANSPORT,183,2,0.030159718782353597,7.632464638748708,"CASQ2, ATP2A1",0.20504309564085244
KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING,21,1,0.030535819439154177,34.22527398513295,CASQ2,0.20504309564085244
KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING,21,1,0.030535819439154177,34.22527398513295,CASQ2,0.20504309564085244
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN,21,1,0.030535819439154177,34.22527398513295,GLYATL1,0.20504309564085244
NUMATA_CSF3_SIGNALING_VIA_STAT3,21,1,0.030535819439154177,34.22527398513295,ITGAL,0.20504309564085244
REACTOME_CELLULAR_HEXOSE_TRANSPORT,21,1,0.030535819439154177,34.22527398513295,SLC5A4,0.20504309564085244
REACTOME_RHO_GTPASES_ACTIVATE_PAKS,21,1,0.030535819439154177,34.22527398513295,MYH11,0.20504309564085244
CAIRO_PML_TARGETS_BOUND_BY_MYC_UP,22,1,0.031966689205204624,32.59493972272284,CDCA7,0.20504309564085244
IVANOVA_HEMATOPOIESIS_STEM_CELL_SHORT_TERM,22,1,0.031966689205204624,32.59493972272284,UBXN10,0.20504309564085244
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,22,1,0.031966689205204624,32.59493972272284,ACOT1,0.20504309564085244
MARCINIAK_ER_STRESS_RESPONSE_VIA_CHOP,22,1,0.031966689205204624,32.59493972272284,CDCA7,0.20504309564085244
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,22,1,0.031966689205204624,32.59493972272284,F5,0.20504309564085244
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,22,1,0.031966689205204624,32.59493972272284,PDE11A,0.20504309564085244
WP_BLOOD_CLOTTING_CASCADE,22,1,0.031966689205204624,32.59493972272284,F5,0.20504309564085244
KASLER_HDAC7_TARGETS_1_UP,191,2,0.032615196545369665,7.308389562333739,"CD6, C3orf70",0.20504309564085244
BIOCARTA_INTRINSIC_PATHWAY,23,1,0.03339547161597489,31.112817586728564,F5,0.20504309564085244
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN,23,1,0.03339547161597489,31.112817586728564,CLDN2,0.20504309564085244
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1,23,1,0.03339547161597489,31.112817586728564,TICAM2,0.20504309564085244
REACTOME_NEPHRIN_FAMILY_INTERACTIONS,23,1,0.03339547161597489,31.112817586728564,KIRREL2,0.20504309564085244
ROY_WOUND_BLOOD_VESSEL_DN,23,1,0.03339547161597489,31.112817586728564,F5,0.20504309564085244
WENG_POR_TARGETS_LIVER_DN,23,1,0.03339547161597489,31.112817586728564,ACOT1,0.20504309564085244
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,194,2,0.03355567130353681,7.193823958716273,"ITGAL, EPCAM",0.20504309564085244
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,24,1,0.034822169680730264,29.75957557054958,MYH11,0.20504309564085244
WANG_NFKB_TARGETS,24,1,0.034822169680730264,29.75957557054958,ATP2A1,0.20504309564085244
WANG_TNF_TARGETS,24,1,0.034822169680730264,29.75957557054958,CD6,0.20504309564085244
WENG_POR_DOSAGE,24,1,0.034822169680730264,29.75957557054958,ACOT1,0.20504309564085244
FISCHER_G1_S_CELL_CYCLE,199,2,0.035146536813509655,7.010635302717229,"CDCA7, OPCML",0.20504309564085244
WELCSH_BRCA1_TARGETS_UP,200,2,0.03546818465332694,6.975107805729449,"EPCAM, NEU1",0.20504309564085244
LA_MEN1_TARGETS,25,1,0.03624678640444878,28.519103667106044,ACOT1,0.20504309564085244
NABA_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,25,1,0.03624678640444878,28.519103667106044,FLG2,0.20504309564085244
WENG_POR_TARGETS_GLOBAL_DN,25,1,0.03624678640444878,28.519103667106044,ACOT1,0.20504309564085244
CHEN_ETV5_TARGETS_TESTIS,26,1,0.03766932478782781,27.377869469237893,CDCA7,0.20675586672650517
PID_INTEGRIN_CS_PATHWAY,26,1,0.03766932478782781,27.377869469237893,ITGAL,0.20675586672650517
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,26,1,0.03766932478782781,27.377869469237893,TICAM2,0.20675586672650517
REACTOME_CARDIOGENESIS,27,1,0.039089787827291,26.324422477636887,TBX20,0.20675586672650517
WP_7OXOC_AND_7BETAHC_PATHWAYS,27,1,0.039089787827291,26.324422477636887,ACOT1,0.20675586672650517
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP,212,2,0.039416431514575634,6.575169695285164,"EPCAM, MYH11",0.20675586672650517
DAIRKEE_CANCER_PRONE_RESPONSE_E2,28,1,0.04050817851499222,25.3490085625235,ATP2A1,0.20675586672650517
LOPES_METHYLATED_IN_COLON_CANCER_UP,28,1,0.04050817851499222,25.3490085625235,OPCML,0.20675586672650517
MOREIRA_RESPONSE_TO_TSA_UP,28,1,0.04050817851499222,25.3490085625235,CD6,0.20675586672650517
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS,28,1,0.04050817851499222,25.3490085625235,ATP2A1,0.20675586672650517
