pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION,67,3,7.51899319920637e-5,40.68679088461033,"HUWE1, ZFHX3, KDM2A",0.0315099907511236
GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION,200,4,1.0329224541332824e-4,17.941557054610616,"WNK1, HUWE1, GNL3L, COMMD1",0.0315099907511236
GOBP_NEGATIVE_REGULATION_OF_SODIUM_ION_TRANSPORT,17,2,1.9109734449276986e-4,114.12537830845264,"WNK1, COMMD1",0.0315099907511236
GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,248,4,2.3524046806990944e-4,14.400148137099594,"WNK1, HUWE1, GNL3L, COMMD1",0.0315099907511236
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,471,5,2.650225151120558e-4,9.53334402332968,"HUWE1, RNF7, PSMD4, PSMC3, COMMD1",0.0315099907511236
GOBP_PROTEIN_POLYUBIQUITINATION,265,4,3.024959112107866e-4,13.458259987329619,"HUWE1, UBE4A, CBL, RNF7",0.0315099907511236
GOBP_POSITIVE_REGULATION_OF_VIRAL_LIFE_CYCLE,25,2,4.189266253596072e-4,74.41938975742343,"KPNA6, CLEC4G",0.035428506883611786
GOBP_MATURATION_OF_LSU_RRNA,26,2,4.5348488811023085e-4,71.31735826142264,"RPL35, EIF6",0.035428506883611786
GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,330,4,6.892026187106788e-4,10.762780685871878,"PHPT1, HUWE1, COMMD1, FUT11",0.04786129296601936
GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS,166,3,0.0010793628139522682,15.94798865049092,"PHPT1, ZBTB20, ZBED6",0.06746017587201676
GOBP_INTRACELLULAR_GLUCOSE_HOMEOSTASIS,174,3,0.0012356094139724485,15.19978919439738,"PHPT1, ZBTB20, ZBED6",0.06779595379119581
GOBP_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,44,2,0.0013016823127909596,40.74018181366183,"WNK1, COMMD1",0.06779595379119581
GOBP_VIRAL_PROCESS,410,4,0.0015338409953337229,8.630093721820655,"KPNA6, CBL, PSMC3, CLEC4G",0.07374235554489053
GOBP_PROTEIN_MONOUBIQUITINATION,54,2,0.0019538344453100646,32.899877573564034,"HUWE1, CBL",0.078315826133703
GOBP_REGULATION_OF_GLYCOLYTIC_PROCESS,56,2,0.002099404131583843,31.68027459687511,"ZBTB20, EIF6",0.078315826133703
GOBP_CIRCADIAN_RHYTHM,211,3,0.0021412355295271873,12.488015751434002,"HUWE1, ZFHX3, KDM2A",0.078315826133703
