pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT,49,3,5.4390534599829404e-5,45.69694979126511,"CASQ2, JPH2, ATP2A1",0.020995703800149985
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,172,4,1.28732137376852e-4,16.85104407294976,"CASQ2, JPH2, NPSR1, ATP2A1",0.020995703800149985
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,72,3,1.7180612369414142e-4,30.452587663246433,"JPH2, NPSR1, ATP2A1",0.020995703800149985
GOBP_MUSCLE_CONTRACTION,368,5,2.235656662799636e-4,9.83573071333773,"CASQ2, MYH11, JPH2, TBX20, ATP2A1",0.020995703800149985
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,16,2,2.5473732462836905e-4,98.96080020340119,"JPH2, ATP2A1",0.020995703800149985
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,83,3,2.616037140012583e-4,26.260387611387408,"CASQ2, JPH2, NPSR1",0.020995703800149985
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,86,3,2.9045440039733177e-4,25.309910682260025,"CASQ2, JPH2, ATP2A1",0.020995703800149985
GOBP_MAINTENANCE_OF_LOCATION,221,4,3.3476068186492653e-4,13.034954870464489,"CASQ2, JPH2, NPSR1, ATP2A1",0.021173613127956604
GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,105,3,5.214001850894858e-4,20.588587220814173,"CASQ2, JPH2, ATP2A1",0.0251777721645104
GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT,250,4,5.323977957909597e-4,11.49256338030124,"CASQ2, JPH2, NPSR1, ATP2A1",0.0251777721645104
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,255,4,5.733485946396842e-4,11.262656143102898,"MYH11, JPH2, TBX20, NRAP",0.0251777721645104
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,110,3,5.971013161543969e-4,19.624814815356963,"JPH2, NPSR1, ATP2A1",0.0251777721645104
GOBP_MUSCLE_SYSTEM_PROCESS,478,5,7.33091403461678e-4,7.533996097042881,"CASQ2, MYH11, JPH2, TBX20, ATP2A1",0.02853417308858531
GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,132,3,0.0010126387329941447,16.271783293940103,"JPH2, NPSR1, ATP2A1",0.03486537434910617
GOBP_SEQUESTERING_OF_CALCIUM_ION,138,3,0.0011509107521881004,15.54698656430285,"CASQ2, JPH2, NPSR1",0.03486537434910617
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING,34,2,0.0011705183598791922,43.281977945692724,"CASQ2, JPH2",0.03486537434910617
GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,35,2,0.0012402702337626702,41.969681829119104,"JPH2, NPSR1",0.03486537434910617
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,35,2,0.0012402702337626702,41.969681829119104,"JPH2, ATP2A1",0.03486537434910617
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,321,4,0.0013441127206634182,8.907593717488894,"CASQ2, JPH2, NPSR1, ATP2A1",0.03505598817459453
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_SARCOPLASMIC_RETICULUM,37,2,0.0013856121808140131,39.57005456800865,"CASQ2, JPH2",0.03505598817459453
GOBP_CALCIUM_ION_HOMEOSTASIS,330,4,0.0014871066871794659,8.660331862175227,"CASQ2, JPH2, NPSR1, ATP2A1",0.03583218970060999
GOBP_CARDIAC_MUSCLE_CONTRACTION,154,3,0.0015761448119718646,13.89579399219708,"CASQ2, JPH2, ATP2A1",0.03625133067535288
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,348,4,0.0018043247183320641,8.204622511180427,"CASQ2, JPH2, NPSR1, ATP2A1",0.03804745166065784
GOBP_POSITIVE_REGULATION_OF_TRANSPORTER_ACTIVITY,43,2,0.0018679301202673007,33.77583223698251,"JPH2, ATP2A1",0.03804745166065784
GOBP_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS,44,2,0.0019550073975832093,32.97107908983019,"CLDN2, NPSR1",0.03804745166065784
GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM,44,2,0.0019550073975832093,32.97107908983019,"CASQ2, JPH2",0.03804745166065784
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,47,2,0.0022275959329851685,30.771420430841154,"ITGAL, CD6",0.04174679785520353
GOBP_REGULATION_OF_MUSCLE_CONTRACTION,179,3,0.0024171128562797107,11.91682558072114,"CASQ2, JPH2, ATP2A1",0.04368068233134049
GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,192,3,0.002945582435663486,11.094663664520708,"JPH2, NPSR1, ATP2A1",0.05022142081620624
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL,193,3,0.002988932036681152,11.036080466957484,"CASQ2, JPH2, NPSR1",0.05022142081620624
GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,195,3,0.0030768064136410932,10.92074479664001,"JPH2, NPSR1, ATP2A1",0.05022142081620624
GOBP_STRIATED_MUSCLE_CONTRACTION,202,3,0.003396825218883562,10.535326600755186,"CASQ2, JPH2, ATP2A1",0.053712298773596324
GOBP_CALCIUM_ION_TRANSPORT,445,4,0.004348116254228553,6.389248205595703,"CASQ2, JPH2, NPSR1, ATP2A1",0.06330771002711758
GOBP_REGULATION_OF_HEART_CONTRACTION,224,3,0.00453231309455543,9.482963011341491,"CASQ2, JPH2, ATP2A1",0.06330771002711758
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,452,4,0.004593430393330525,6.288654009999619,"CASQ2, JPH2, NPSR1, ATP2A1",0.06330771002711758
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,452,4,0.004593430393330525,6.288654009999619,"CASQ2, JPH2, NPSR1, ATP2A1",0.06330771002711758
GOBP_MUSCLE_TISSUE_DEVELOPMENT,453,4,0.0046292199031686765,6.274539456935753,"MYH11, JPH2, TBX20, NRAP",0.06330771002711758
GOBP_MYOFIBRIL_ASSEMBLY,75,2,0.005567484549681999,18.959553333406173,"MYH11, NRAP",0.07413545216155504
GOBP_PHAGOCYTOSIS,244,3,0.005742122526160586,8.692995616007819,"ITGAL, XKR6, TICAM2",0.07450035892916043
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS,262,3,0.006981493660861254,8.086337252345107,"CASQ2, JPH2, ATP2A1",0.08831589480989487
GOBP_STRIATED_MUSCLE_CELL_PROLIFERATION,88,2,0.007585559157878608,16.089975624311236,"PAXBP1, TBX20",0.09361690082650186
GOBP_HEART_PROCESS,274,3,0.007889244183995803,7.726670176202811,"CASQ2, JPH2, ATP2A1",0.09437545845383757
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION,91,2,0.008091500308978969,15.54681439983756,"CASQ2, ATP2A1",0.09437545845383757
