pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
REACTOME_INTERLEUKIN_10_SIGNALING,45,3,0.003549087965922304,10.541544549225915,"IL1A, CD80, CCL3",0.6422107786923913
BIOCARTA_ERYTH_PATHWAY,15,2,0.0045369743650286645,22.65844144481475,"IL1A, CCL3",0.6422107786923913
SCHEIDEREIT_IKK_INTERACTING_PROTEINS,53,3,0.0056302836138170855,8.853673017669744,"TRAF3IP2, DOK1, CSN3",0.6422107786923913
SMIRNOV_RESPONSE_TO_IR_2HR_UP,53,3,0.0056302836138170855,8.853673017669744,"CLK1, CD83, CCL3",0.6422107786923913
BROWN_MYELOID_CELL_DEVELOPMENT_UP,166,5,0.005661864539464333,4.59730841539563,"CD80, GSN, OLR1, RPE, LILRA4",0.6422107786923913
WIERENGA_STAT5A_TARGETS_GROUP2,54,3,0.005931908941659298,8.67992153461777,"CD83, OLR1, CCL3",0.6422107786923913
LI_INDUCED_T_TO_NATURAL_KILLER_UP,315,7,0.006023366631887811,3.3731255575284043,"DAPK2, KLK8, ENDOD1, NEURL3, PRELID2, PLSCR1, CCL3",0.6422107786923913
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP,172,5,0.006558528693587378,4.4316750432723016,"CLK1, CD83, IL1A, ZNF436, NEURL3",0.6422107786923913
FARMER_BREAST_CANCER_CLUSTER_5,19,2,0.007257884779993514,17.325846830437534,"TUBD1, SMARCD2",0.6422107786923913
RICKMAN_HEAD_AND_NECK_CANCER_C,112,4,0.007264506266785577,5.473713993707635,"CYP27B1, MMP13, SPRR2G, OLR1",0.6422107786923913
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_DN,113,4,0.007491661363655475,5.423402580459359,"TRAF3IP2, IL1A, KLK8, SPRR2G",0.6422107786923913
THALER_BONE60,60,3,0.007943509780229273,7.7654400391407075,"IBSP, MMP13, SP7",0.6422107786923913
WP_AMPK_REGULATION_OF_MAMMARY_MILK_PROTEIN_SYNTHESIS,20,2,0.008028409875363365,16.363017194936784,"CSN1S1, CSN3",0.6422107786923913
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP,255,6,0.008210609549818003,3.5707869671922965,"DAPK2, COMP, SMARCD2, CSRP1, AGPAT1, LILRA4",0.6422107786923913
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP,339,7,0.008833173236349542,3.1279809718669966,"IL1A, CD274, BCL2L14, MMP13, NEURL3, KIF6, LAMA2",0.6422107786923913
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN,63,3,0.00908203955593794,7.376785400646879,"AGPAT1, LILRA4, CCL3",0.6422107786923913
REACTOME_NUCLEOTIDE_SALVAGE,23,2,0.0105484582076303,14.024716584912566,"GMPR2, TK2",0.6422107786923913
INGRAM_SHH_TARGETS_UP,126,4,0.010878932104171518,4.844408937897595,"DOCK5, NGLY1, PLSCR1, SLC48A1",0.6422107786923913
WP_OREXIN_RECEPTOR_PATHWAY,200,5,0.0120760755882672,3.7934910743788155,"MMP13, CYP11B1, ALPP, SP7, LAMA2",0.6422107786923913
NABA_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,25,2,0.012397199326460157,12.804733620452083,"NGLY1, LAMA2",0.6422107786923913
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP,202,5,0.012561787134528296,3.7548483176513296,"BTN3A1, IL1A, CD274, PLSCR1, CCL3",0.6422107786923913
CASTELLANO_NRAS_TARGETS_UP,72,3,0.013045841222642485,6.413597810795704,"MMP13, PLSCR1, ANXA8L1",0.6422107786923913
FONTAINE_THYROID_TUMOR_UNCERTAIN_MALIGNANCY_DN,26,2,0.013370704121313621,12.270991065416553,"ODAM, CD274",0.6422107786923913
REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS,26,2,0.013370704121313621,12.270991065416553,"CSN1S1, CSN3",0.6422107786923913
UNTERMAN_PROGRESSIVE_VS_STABLE_IPF_MONOCYTE_DN,26,2,0.013370704121313621,12.270991065416553,"CD83, CCL3",0.6422107786923913
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_UP,373,7,0.014316685782151305,2.8357275446754584,"HAMP, DOK1, CD80, CYP11B1, ALPP, LRRC15, SYCP2",0.6422107786923913
LEIN_OLIGODENDROCYTE_MARKERS,76,3,0.015077007727225466,6.061748460240828,"GSN, CSRP1, SLC48A1",0.6422107786923913
REACTOME_ECM_PROTEOGLYCANS,76,3,0.015077007727225466,6.061748460240828,"IBSP, COMP, LAMA2",0.6422107786923913
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN,29,2,0.016481978867277577,10.906982291303148,"KLK8, LRRC15",0.6422107786923913
BOYLAN_MULTIPLE_MYELOMA_D_DN,82,3,0.018439912817625387,5.60078127096418,"GSN, CSRP1, LILRA4",0.6422107786923913
ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP,223,5,0.018477288678331007,3.391907746507789,"CD83, IL1A, MMP13, OLR1, LAMA2",0.6422107786923913
TSAI_RESPONSE_TO_IONIZING_RADIATION,149,4,0.019010327480098024,4.074362746726118,"CLK1, CD83, CD80, CCL3",0.6422107786923913
KEGG_ECM_RECEPTOR_INTERACTION,84,3,0.01964572076067046,5.462301415271434,"IBSP, COMP, LAMA2",0.6422107786923913
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN,152,4,0.020285967185734673,3.9915669456078153,"TNS2, KLK8, CSRP1, ANXA8L1",0.6422107786923913
WP_PROSTAGLANDIN_SIGNALING,33,2,0.02105794414217798,9.498973200445441,"IL1A, CCL3",0.6422107786923913
PETRETTO_HEART_MASS_QTL_CIS_UP,34,2,0.022275238821392235,9.201971278469205,"DHDDS, TOR1B",0.6422107786923913
REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,34,2,0.022275238821392235,9.201971278469205,"CYP27B1, CYP11B1",0.6422107786923913
WP_ALLOGRAFT_REJECTION,89,3,0.02284647740264036,5.1442808156062885,"C8B, IL1A, CD80",0.6422107786923913
