pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
REACTOME_INTERLEUKIN_10_SIGNALING,45,6,2.9630367880438632e-5,11.408237835955738,"TNFRSF1B, IL1A, CD80, IL1RN, CCL3L3, CCL3",0.0740166589653357
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP,61,5,0.001365624958570934,6.61036435451113,"CCL8, SLC40A1, MUC17, UBA7, TAP2",0.8185099755298757
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN,334,12,0.002052670485131612,2.7713332521410674,"ATOSB, EPHA3, SMOX, MMP24OS, LMO7, IER3, SLC40A1, SIDT2, SNAPC4, MB21D2",0.8185099755298757
MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP,41,4,0.002185467871476553,7.996243069454831,"TNK2, SMARCA1, EDN3, CCL3",0.8185099755298757
DAZARD_UV_RESPONSE_CLUSTER_G28,20,3,0.002304443186041431,13.040449641581004,"CCN2, IER3, PHLDA2",0.8185099755298757
WOTTON_RUNX_TARGETS_UP,21,3,0.002661910243658611,12.315766044289772,"RNF19B, CDK18, SLC40A1",0.8185099755298757
WP_THERMOGENESIS,108,6,0.0034235461082756666,4.357191595734451,"SMARCD2, ACSL3, PRKAB2, CREB3L4, SLC25A20, AKT1S1",0.8185099755298757
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP,23,3,0.003474806363729213,11.083803914922628,"CCL8, CXCL13, CCL3",0.8185099755298757
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP,109,6,0.003582752290349157,4.314813600816616,"TNFRSF1B, CCN2, LMO7, IER3, SLC40A1, SLC48A1",0.8185099755298757
REACTOME_METAL_ION_SLC_TRANSPORTERS,24,3,0.0039319884808757975,10.555820139807802,"SLC40A1, SLC39A6, SLC30A5",0.8185099755298757
MARZEC_IL2_SIGNALING_UP,115,6,0.004655937387937979,4.0768747667727165,"TNFRSF1B, CCND3, IL1A, IER3, PHLDA2, CCL3",0.8185099755298757
BURTON_ADIPOGENESIS_11,51,4,0.004854585165200818,6.293819483178086,"ATF1, LMO7, ZSCAN26, MARCKS",0.8185099755298757
DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY,26,3,0.004951805261396972,9.637587479736924,"EPHA3, NTRK3, NTRK1",0.8185099755298757
