pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
GOBP_BIOMINERAL_TISSUE_DEVELOPMENT,181,9,4.637978055492593e-6,7.824707678263831,"IBSP, COMP, ODAM, CYP27B1, MMP13, KLK4, SP7, AMTN, CCL3",0.00559803951297956
GOBP_BONE_MINERALIZATION,127,5,0.0018022064085523415,6.071038123769691,"IBSP, COMP, CYP27B1, MMP13, CCL3",0.6197220751445116
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION,37,3,0.0020225797057878926,13.023708506624512,"CD83, IL1A, CD80",0.6197220751445116
GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,85,4,0.00273026606640308,7.301695326901729,"CD83, LOXL3, CD274, CD80",0.6197220751445116
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY,16,2,0.0051619745812487424,21.039618131657917,"TRAF3IP2, GSN",0.6197220751445116
GOBP_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT,103,4,0.005421871524979384,5.9722543601680655,"COMP, CYP27B1, AMTN, CCL3",0.6197220751445116
GOBP_ECTOPIC_GERM_CELL_PROGRAMMED_CELL_DEATH,18,2,0.006522956941619752,18.409030151235662,"IL1A, SYCP2",0.6197220751445116
GOBP_EOSINOPHIL_CHEMOTAXIS,21,2,0.008834018534650922,15.50153803381036,"DAPK2, CCL3",0.6197220751445116
GOBP_GROWTH_PLATE_CARTILAGE_DEVELOPMENT,21,2,0.008834018534650922,15.50153803381036,"COMP, MMP13",0.6197220751445116
GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION,21,2,0.008834018534650922,15.50153803381036,"CYP27B1, IL20",0.6197220751445116
GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,64,3,0.009481603097200881,7.255729037482058,"CD83, LOXL3, CD80",0.6197220751445116
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,345,7,0.009664896121721563,3.0721344242044286,"SMARCD2, CD83, LOXL3, CD80, LRRC17, IL20, CCL3",0.6197220751445116
GOBP_PODOSOME_ASSEMBLY,22,2,0.009674202361349624,14.726206777836287,"DOCK5, GSN",0.6197220751445116
GOBP_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,123,4,0.010023737753338523,4.966794795357846,"CD83, LOXL3, CD274, CD80",0.6197220751445116
GOBP_IRON_ION_TRANSMEMBRANE_TRANSPORT,23,2,0.0105484582076303,14.024716584912566,"HAMP, SLC48A1",0.6197220751445116
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,352,7,0.010705923243473523,3.009435208356229,"IBSP, COMP, LOXL3, MMP13, GSN, KLK4, LAMA2",0.6197220751445116
GOBP_INTERLEUKIN_2_PRODUCTION,67,3,0.010741155192603002,6.915258015176259,"CD83, IL1A, CD80",0.6197220751445116
GOBP_HOST_MEDIATED_SUPPRESSION_OF_SYMBIONT_INVASION,24,2,0.011456288126849864,13.386998220333307,"GSN, LRRC15",0.6197220751445116
GOBP_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,24,2,0.011456288126849864,13.386998220333307,"LOXL3, LAMA2",0.6197220751445116
GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,69,3,0.011632019175964882,6.705472839151483,"LOXL3, CD274, CD80",0.6197220751445116
GOBP_EOSINOPHIL_MIGRATION,25,2,0.012397199326460157,12.804733620452083,"DAPK2, CCL3",0.6197220751445116
GOBP_PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT,25,2,0.012397199326460157,12.804733620452083,"IL1A, SYCP2",0.6197220751445116
GOBP_ODONTOGENESIS,131,4,0.012406216837383681,4.6532814174581345,"ODAM, KLK4, SP7, AMTN",0.6197220751445116
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,134,4,0.013385090625440852,4.5456619211949265,"CD83, LOXL3, CD274, CD80",0.6197220751445116
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,74,3,0.014040462590045658,6.232717511040618,"MMP13, GSN, KLK4",0.6197220751445116
GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,74,3,0.014040462590045658,6.232717511040618,"LRRC17, IL20, CCL3",0.6197220751445116
GOBP_AMELOGENESIS,27,2,0.014376319887362324,11.77994791043787,"KLK4, AMTN",0.6197220751445116
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CONTRACTION,27,2,0.014376319887362324,11.77994791043787,"COMP, DOCK5",0.6197220751445116
GOBP_PLATELET_AGGREGATION,78,3,0.016155665604474744,5.899897758506879,"COMP, TMX1, CSRP1",0.6530310598878722
GOBP_PLATELET_ACTIVATION,142,4,0.01623109510906062,4.2815522391202006,"COMP, TMX1, CSRP1, PLSCR1",0.6530310598878722
GOBP_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION,82,3,0.018439912817625387,5.60078127096418,"CD83, LOXL3, CD80",0.6578472194000219
GOBP_REGULATION_OF_BONE_MINERALIZATION,82,3,0.018439912817625387,5.60078127096418,"COMP, CYP27B1, CCL3",0.6578472194000219
