pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
GOBP_IRON_ION_TRANSMEMBRANE_TRANSPORT,23,4,2.312213953246638e-4,15.576507784562232,"SLC40A1, SCARA5, MMGT1, SLC48A1",0.30153674290052773
GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT,44,5,3.004850452421801e-4,9.4946137491867,"ATP2C1, RAB11FIP3, BLZF1, ACSL3, SYS1",0.30153674290052773
GOBP_TRANSITION_METAL_ION_TRANSPORT,102,7,4.637196935308687e-4,5.465673800276434,"ATP2C1, SLC40A1, SLC39A6, SLC30A5, SCARA5, MMGT1, SLC48A1",0.31022847497215117
GOBP_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY,39,4,0.0018128720637457002,8.453465399762258,"TUBD1, POR, PDCL, IFT172",0.7906414613232131
GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT,68,5,0.0022164533550765664,5.875163519162913,"ATP2C1, RAB11FIP3, BLZF1, ACSL3, SYS1",0.7906414613232131
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,69,5,0.0023636516033578867,5.783263414480038,"ATP2C1, RAB11FIP3, BLZF1, ACSL3, SYS1",0.7906414613232131
GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES,23,3,0.003474806363729213,11.083803914922628,"CLDN11, CLDN12, CLDN23",0.9093604696158022
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS,24,3,0.0039319884808757975,10.555820139807802,"PRKD2, HRG, CXCL13",0.9093604696158022
GOBP_IRON_ION_TRANSPORT,55,4,0.006353346124638712,5.799782829894193,"SLC40A1, SCARA5, MMGT1, SLC48A1",0.9093604696158022
GOBP_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY,94,5,0.008797167450035085,4.156941327508668,"TUBD1, GLIS2, POR, PDCL, IFT172",0.9093604696158022
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,134,6,0.009617112001170686,3.4705644811435032,"CCL8, HRG, CXCL13, REG1B, CCL3L3, CCL3",0.9093604696158022
GOBP_ENDOTHELIAL_CELL_CHEMOTAXIS,33,3,0.009696627099425955,7.387917421254609,"PRKD2, HRG, CXCL13",0.9093604696158022
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,184,7,0.012478783598005607,2.9293639109376497,"CCL8, HRG, SEMG2, CXCL13, REG1B, CCL3L3, CCL3",0.9093604696158022
