pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
HALLMARK_COAGULATION,138,6,3.7774578291035576e-4,6.749474044763691,"C8B, COMP, KLK8, GSN, CSRP1, OLR1",0.009443644572758893
HALLMARK_TNFA_SIGNALING_VIA_NFKB,199,4,0.04719812671324789,3.0270312410383466,"CD83, IL1A, CD80, OLR1",0.2994681454176182
HALLMARK_COMPLEMENT,200,4,0.04791490326681891,3.0115350095055193,"MMP13, CSRP1, OLR1, PLSCR1",0.2994681454176182
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,4,0.04791490326681891,3.0115350095055193,"COMP, SLIT2, LRRC15, LAMA2",0.2994681454176182
HALLMARK_MITOTIC_SPINDLE,198,3,0.15181508650455797,2.264481917000498,"TUBD1, CEP72, GSN",0.48444683677779626
HALLMARK_INTERFERON_GAMMA_RESPONSE,199,3,0.1534163665013637,2.2528893917522725,"CD274, TOR1B, PLSCR1",0.48444683677779626
HALLMARK_KRAS_SIGNALING_DN,200,3,0.1550229877688948,2.24141455711418,"MAST3, CD80, KLK8",0.48444683677779626
HALLMARK_MYOGENESIS,200,3,0.1550229877688948,2.24141455711418,"DAPK2, GSN, LAMA2",0.48444683677779626
HALLMARK_ANGIOGENESIS,36,1,0.21718662541146694,4.195721233087656,OLR1,0.5817389594688571
HALLMARK_DNA_REPAIR,150,2,0.2703296864018352,1.9856268140838524,"GMPR2, TK2",0.5817389594688571
HALLMARK_APOPTOSIS,160,2,0.2953436465810335,1.8596321406314276,"IL1A, GSN",0.5817389594688571
HALLMARK_IL2_STAT5_SIGNALING,199,2,0.3908937950786763,1.4904741415058687,"CD83, PLSCR1",0.5817389594688571
HALLMARK_APICAL_JUNCTION,200,2,0.39327632848584604,1.4829207921078367,"CD274, SLIT2",0.5817389594688571
HALLMARK_GLYCOLYSIS,200,2,0.39327632848584604,1.4829207921078367,"PGAM1, RPE",0.5817389594688571
HALLMARK_INFLAMMATORY_RESPONSE,200,2,0.39327632848584604,1.4829207921078367,"IL1A, OLR1",0.5817389594688571
HALLMARK_P53_PATHWAY,200,2,0.39327632848584604,1.4829207921078367,"IL1A, KLK8",0.5817389594688571
HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,1,0.3955824924388228,2.01032605485272,PLSCR1,0.5817389594688571
HALLMARK_PROTEIN_SECRETION,96,1,0.4796742226075984,1.5441891118303739,TMX1,0.6078730860779354
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,1,0.4832060680541298,1.5280773707678361,PLSCR1,0.6078730860779354
HALLMARK_ANDROGEN_RESPONSE,100,1,0.4936587711174193,1.481695085840766,NGLY1,0.6078730860779354
HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,1,0.5106133923054658,1.410337724269384,ATF1,0.6078730860779354
HALLMARK_ALLOGRAFT_REJECTION,200,1,0.7439195125790327,0.7358492878625451,CD80,0.7439195125790327
HALLMARK_ESTROGEN_RESPONSE_EARLY,200,1,0.7439195125790327,0.7358492878625451,ENDOD1,0.7439195125790327
HALLMARK_G2M_CHECKPOINT,200,1,0.7439195125790327,0.7358492878625451,CBX1,0.7439195125790327
HALLMARK_HEME_METABOLISM,200,1,0.7439195125790327,0.7358492878625451,ENDOD1,0.7439195125790327
