pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
HALLMARK_UV_RESPONSE_UP,157,6,0.01962770124564877,2.9407562235355162,"CDC5L, YKT6, CCND3, NTRK3, CNP, RXRB",0.8047357510715996
HALLMARK_TNFA_SIGNALING_VIA_NFKB,199,6,0.05252966007280005,2.299114141406558,"IL1A, RNF19B, CD80, IER3, PHLDA2, MARCKS",0.8589761163208359
HALLMARK_XENOBIOTIC_METABOLISM,200,5,0.13243804004661894,1.8937681608923596,"SMOX, HRG, POR, TDO2, NDRG2",0.8589761163208359
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,3,0.14158070430566133,2.3552206646171214,"OGFR, CNP, UBA7",0.8589761163208359
HALLMARK_ADIPOGENESIS,200,4,0.2808410768606716,1.5053187199241016,"GPD2, POR, REEP5, CYP4B1",0.8589761163208359
HALLMARK_ALLOGRAFT_REJECTION,200,4,0.2808410768606716,1.5053187199241016,"CCND3, CD80, CXCL13, TAP2",0.8589761163208359
HALLMARK_APICAL_JUNCTION,200,4,0.2808410768606716,1.5053187199241016,"CLDN11, RRAS, NEXN, NF2",0.8589761163208359
HALLMARK_HEME_METABOLISM,200,4,0.2808410768606716,1.5053187199241016,"SMOX, EZH1, CCND3, SIDT2",0.8589761163208359
HALLMARK_INFLAMMATORY_RESPONSE,200,4,0.2808410768606716,1.5053187199241016,"ATP2C1, TNFRSF1B, MEP1A, IL1A",0.8589761163208359
HALLMARK_P53_PATHWAY,200,4,0.2808410768606716,1.5053187199241016,"CCND3, IL1A, RNF19B, IER3",0.8589761163208359
HALLMARK_COAGULATION,138,3,0.28220826422823564,1.6387603385817353,"MEP1A, HRG, GNB2",0.8589761163208359
HALLMARK_IL6_JAK_STAT3_SIGNALING,87,2,0.32538297066420707,1.7344408104743514,"TNFRSF1B, CXCL13",0.8589761163208359
HALLMARK_HEDGEHOG_SIGNALING,36,1,0.3847721809578879,2.1052380181231496,PML,0.8589761163208359
HALLMARK_ANDROGEN_RESPONSE,100,2,0.3881391686973015,1.504021357784426,"CCND3, ACSL3",0.8589761163208359
HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,2,0.4116039463690814,1.4308859823910915,"ATF1, AKT1S1",0.8589761163208359
HALLMARK_MITOTIC_SPINDLE,198,3,0.4961447800948279,1.133339917386198,"TUBD1, ARHGEF3, MARCKS",0.8589761163208359
HALLMARK_IL2_STAT5_SIGNALING,199,3,0.499485674441314,1.1275378972277301,"TNFRSF1B, CCND3, BATF3",0.8589761163208359
HALLMARK_E2F_TARGETS,200,3,0.5028152876024405,1.121794780826832,"CSE1L, PSIP1, MXD3",0.8589761163208359
HALLMARK_ESTROGEN_RESPONSE_EARLY,200,3,0.5028152876024405,1.121794780826832,"SLC39A6, NPY1R, THSD4",0.8589761163208359
HALLMARK_G2M_CHECKPOINT,200,3,0.5028152876024405,1.121794780826832,"CBX1, PML, MARCKS",0.8589761163208359
HALLMARK_GLYCOLYSIS,200,3,0.5028152876024405,1.121794780826832,"IER3, BPNT1, RPE",0.8589761163208359
HALLMARK_HYPOXIA,200,3,0.5028152876024405,1.121794780826832,"CCN2, IER3, TMEM45A",0.8589761163208359
HALLMARK_MTORC1_SIGNALING,200,3,0.5028152876024405,1.121794780826832,"ATP6V1D, YKT6, ACSL3",0.8589761163208359
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,3,0.5028152876024405,1.121794780826832,"ATP6V1D, POR, SLC25A20",0.8589761163208359
HALLMARK_MYC_TARGETS_V2,58,1,0.542860368830212,1.2921952026046963,MAP3K6,0.8902910048815477
HALLMARK_UV_RESPONSE_DN,143,2,0.5728442071271629,1.0445652177772446,"ATP2C1, SPOP",0.8912335289530189
HALLMARK_DNA_REPAIR,150,2,0.5988262909581423,0.9950386757534029,"SNAPC4, CLP1",0.8912335289530189
HALLMARK_FATTY_ACID_METABOLISM,158,2,0.6270421077517638,0.9438793905411327,"GPD2, TDO2",0.8912335289530189
HALLMARK_APOPTOSIS,160,2,0.6338506161722739,0.931899051592442,"IL1A, IER3",0.8912335289530189
HALLMARK_PROTEIN_SECRETION,96,1,0.726386585633148,0.7748043080323305,YKT6,0.8912335289530189
HALLMARK_INTERFERON_GAMMA_RESPONSE,199,2,0.7477747996400821,0.7469031574587807,"OGFR, PML",0.8912335289530189
HALLMARK_COMPLEMENT,200,2,0.7502491381455129,0.7431179526774941,"GPD2, GNB2",0.8912335289530189
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,2,0.7502491381455129,0.7431179526774941,"CCN2, LAMA2",0.8912335289530189
HALLMARK_KRAS_SIGNALING_DN,200,2,0.7502491381455129,0.7431179526774941,"MAST3, CD80",0.8912335289530189
HALLMARK_BILE_ACID_METABOLISM,111,1,0.7765884276926825,0.6689743511774551,NUDT12,0.8912335289530189
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,1,0.782546513227041,0.6570054869848273,SLC30A5,0.8912335289530189
HALLMARK_SPERMATOGENESIS,135,1,0.8384870420790806,0.5489284294974318,NF2,0.9291342898714137
HALLMARK_ESTROGEN_RESPONSE_LATE,200,1,0.9329631437456087,0.36921143944587403,NPY1R,0.9329631437456087
HALLMARK_KRAS_SIGNALING_UP,200,1,0.9329631437456087,0.36921143944587403,TNFRSF1B,0.9329631437456087
HALLMARK_MYC_TARGETS_V1,200,1,0.9329631437456087,0.36921143944587403,HNRNPC,0.9329631437456087
HALLMARK_MYOGENESIS,200,1,0.9329631437456087,0.36921143944587403,LAMA2,0.9329631437456087
