pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_TRANSLATION,6.042601415763161e-22,3.2261448958759516e-18,1.2125445676906186,-0.5227897388954779,-2.5558028435581384,292,
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,1.11300900384868e-19,2.3064946671405197e-16,1.142191202168377,-0.6705785977568649,-2.867792268974975,113,
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,1.2960262224052366e-19,2.3064946671405197e-16,1.142191202168377,-0.6092708008172678,-2.6842132430383456,159,
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,7.544847212573632e-18,1.0070484816982655e-14,1.0864405425824981,-0.7116148357275066,-2.826941079668771,81,
KEGG_RIBOSOME,9.436455546804694e-18,1.0076247232878052e-14,1.0864405425824981,-0.7006861543767228,-2.8202405641539205,88,
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,2.3964389028751526e-17,2.1324312170750733e-14,1.0768681926198325,-0.5398249620561844,-2.4975768167260783,205,
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,5.3204948549583265e-17,4.0580174329460717e-14,1.0672099868281106,-0.678905074227463,-2.7738517561125513,93,
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,1.2725371588486118e-16,8.229043252123475e-14,1.047626488498816,-0.6326589484094907,-2.7027119335656393,116,
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,1.3871771730494715e-16,8.229043252123475e-14,1.047626488498816,-0.6329249375170913,-2.6975059849187986,119,
REACTOME_SELENOAMINO_ACID_METABOLISM,3.06454976252205e-16,1.6361631182105224e-13,1.0376961554875836,-0.628299828921183,-2.6860116350907846,118,
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,1.8382584166956458e-15,8.178718072281711e-13,1.0073179568744748,-0.6734889673156298,-2.7107727093926037,88,
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1.7543571077480312e-15,8.178718072281711e-13,1.0175447973098848,-0.6413113597251222,-2.671054749933229,102,
REACTOME_INFLUENZA_INFECTION,2.555934647871343e-15,1.0497026988450077e-12,1.0073179568744748,-0.5660981808069316,-2.4834680980549835,157,
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13,7.884305562000469e-15,3.0067362425371786e-12,0.9865462835875821,-0.53946660970018,-2.461416212635476,177,
HSIAO_HOUSEKEEPING_GENES,4.1443053189300533e-13,1.475096406517837e-10,0.932595211336209,-0.40263437466775437,-1.9897233310136884,394,
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP,4.907495372573656e-13,1.637569862135672e-10,0.9214260034948982,0.5832751218493943,2.1771923189197424,201,
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,1.1551692033661525e-12,3.627910809865817e-10,0.9101197347744591,-0.5330198479086692,-2.338353721653738,157,
