pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP,1.5002440614681857e-12,8.006802556055707e-9,0.9101197347744591,0.5861110059777266,2.171969662740287,200,
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3,2.828889363700298e-10,7.548891267034245e-7,0.8140358378479079,-0.35093274067777597,-1.7484642589333907,438,
SANA_TNF_SIGNALING_UP,2.243412922058255e-9,3.0798922363164995e-6,0.7749390301364363,0.6706713956606003,2.2473466072879966,82,
ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP,3.462498298275997e-9,3.0798922363164995e-6,0.7749390301364363,0.5304973002735891,1.972083525401761,221,
DOUGLAS_BMI1_TARGETS_DN,2.3398068250302494e-9,3.0798922363164995e-6,0.7749390301364363,0.48974657175159675,1.8608474783222917,310,
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN,3.1254231957650784e-9,3.0798922363164995e-6,0.7749390301364363,0.4827380966680046,1.8371671917004673,335,
SHEN_SMARCA2_TARGETS_UP,4.313039981043302e-9,3.2883849112611578e-6,0.7614608014455848,0.45864616570322,1.7727998603635846,428,
SMID_BREAST_CANCER_NORMAL_LIKE_UP,1.4393547823095476e-8,9.60229559148257e-6,0.7477396631498854,-0.32856925224326405,-1.6345352839383758,483,
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP,1.8494770315883597e-8,1.0967398797318973e-5,0.7337619883564803,0.5678283500777334,2.0232906809804962,142,
BERENJENO_TRANSFORMED_BY_RHOA_DN,2.576760633777468e-8,1.3752171502470348e-5,0.7337619883564803,0.4542951810062561,1.7495526005417208,399,
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP,3.208484437062089e-8,1.5566983127818517e-5,0.7195128263389107,0.4706313117507789,1.7918225347460928,338,
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION,3.703477181491493e-8,1.6471214764683416e-5,0.7195128263389107,0.5863294745954655,2.0682287834980144,122,
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE,4.82054390598017e-8,1.8254383690162923e-5,0.7195128263389107,0.6529636073204321,2.174639673757009,78,
PHONG_TNF_RESPONSE_NOT_VIA_P38,5.0444481904858486e-8,1.8254383690162923e-5,0.7195128263389107,0.46397870842873157,1.76639820375742,339,
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN,5.130518181608466e-8,1.8254383690162923e-5,0.7195128263389107,0.43903505426362277,1.6998151189157096,453,
