pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_CYTOPLASMIC_TRANSLATION,9.968201179324143e-15,4.162720812485762e-11,0.9865462835875821,-0.5558603011974121,-2.4731906424527716,168,
GOBP_OXIDATIVE_PHOSPHORYLATION,2.2880835530967038e-14,4.7775184588659174e-11,0.9759946830643197,-0.5586676345106252,-2.4024585782262826,149,
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,2.634280778607704e-13,3.6669188438219237e-10,0.932595211336209,-0.6750756810526322,-2.6665801257726067,76,
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,4.0840372163695574e-12,4.263734853889818e-9,0.8870749883998732,-0.4041225801320812,-1.9817742434286667,342,
GOBP_AEROBIC_RESPIRATION,7.747184891314554e-12,5.631886360243224e-9,0.8753251320246591,-0.4859375936822694,-2.2252797049541475,195,
GOBP_CELLULAR_RESPIRATION,8.091790747475897e-12,5.631886360243224e-9,0.8753251320246591,-0.4498224332948319,-2.083010789279193,235,
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,2.1875022119661526e-11,1.3050013195958077e-8,0.8634153916066928,-0.5884685018858672,-2.4497632568495047,100,
GOBP_ELECTRON_TRANSPORT_CHAIN,1.540379170451879e-10,8.040779269758808e-8,0.826657301178302,-0.532995089669253,-2.26613162379931,125,
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,3.484488837429508e-9,1.6168028205672918e-6,0.7749390301364363,-0.33791779006998635,-1.7028734879919716,475,
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,5.731582281337749e-9,2.393508760686644e-6,0.7614608014455848,-0.6592430998501867,-2.4262066865574954,52,
GOBP_ATP_BIOSYNTHETIC_PROCESS,1.054578877184104e-7,4.003564901018926e-5,0.7049757151672383,-0.5183362550724614,-2.159215241636398,103,
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,1.7285656783736996e-7,6.0154085607404744e-5,0.6901324587967956,-0.31323679539136323,-1.5838219953193,481,
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,7.291278875161075e-7,2.34218312174405e-4,0.6594443980379349,-0.45487542466894393,-1.9478094963482855,128,
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,1.0720638634615198e-6,3.197813352725219e-4,0.6435518361507222,-0.3792482553769435,-1.7504078469770716,227,
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,1.2327800006502537e-5,0.0029603609693555377,0.5933254763964051,-0.37663506232165594,-1.706586362712962,181,
GOBP_PURINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,1.1020139519597518e-5,0.0029603609693555377,0.5933254763964051,-0.3747549017520286,-1.700136759344889,190,
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,1.2760176592049731e-5,0.0029603609693555377,0.5933254763964051,0.41319612084051505,1.6115096732498542,341,
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,1.2036593313595644e-5,0.0029603609693555377,0.5933254763964051,-0.2969537275396777,-1.4943099750962074,453,
