pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,1.8658559285445718e-13,7.77502165424523e-10,0.9436322252328375,-0.5336610357776438,-2.40197269961977,171,
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,9.83131204692614e-10,2.0483538649770615e-6,0.7881868108002371,-0.40073493672558474,-1.9103345099868634,278,
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,3.004855531880974e-7,3.130308250337005e-4,0.674962860011025,0.6465350585458596,2.0804598252404074,68,
GOBP_GOLGI_VESICLE_TRANSPORT,2.450763175004505e-7,3.130308250337005e-4,0.674962860011025,0.46154848276730126,1.7625399725294897,309,
GOBP_DETECTION_OF_LIGHT_STIMULUS,1.5210350285105662e-6,0.0010543125650353579,0.6435518361507222,-0.5503852121884769,-2.1867881027604503,73,
GOBP_DEFENSE_RESPONSE_TO_VIRUS,1.7711034209857223e-6,0.0010543125650353579,0.6435518361507222,0.4504385866779596,1.7233865685398762,318,
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,1.4067918550697885e-6,0.0010543125650353579,0.6435518361507222,-0.30487203938820134,-1.525919874498602,463,
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,2.358396923002744e-6,0.0012284299972690543,0.6272567397185284,0.4625619876314543,1.7464614302650165,257,
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,3.1118955314470473e-6,0.0012967268679539845,0.6272567397185284,0.4326795812422839,1.6654017708238849,354,
GOBP_CILIUM_ORGANIZATION,3.0116225315315824e-6,0.0012967268679539845,0.6272567397185284,0.41739353258971296,1.62018300129801,454,
GOBP_RESPONSE_TO_VIRUS,4.6203479637091166e-6,0.0017502718149796262,0.610526878385931,0.4156616458351417,1.6124725981726595,420,
GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT,6.372337327939e-6,0.002212794137126818,0.610526878385931,0.5465694519480455,1.8816668065797773,111,
GOBP_PROTEIN_LOCALIZATION_TO_SITE_OF_DOUBLE_STRAND_BREAK,8.028778463827266e-6,0.0025735322968283244,0.5933254763964051,0.837526350916886,2.0733616358977915,16,
GOBP_ENDOSOMAL_TRANSPORT,1.1034458164967994e-5,0.0028737866983388517,0.5933254763964051,0.43987409357311047,1.6802404773045276,297,
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,1.101398479221708e-5,0.0028737866983388517,0.5933254763964051,0.4098680047379387,1.5896014204990452,421,
GOBP_MUSCLE_CONTRACTION,1.1000442921617175e-5,0.0028737866983388517,0.5933254763964051,-0.3205406306669897,-1.5776884853876385,361,
GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT,1.2000201301783108e-5,0.0029414611073253064,0.5933254763964051,0.6738211777234453,2.010748029167591,43,
GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE,1.2973135338503175e-5,0.003003280830863485,0.5933254763964051,0.49611432788605714,1.7818741114457104,156,
GOBP_IRON_ION_TRANSMEMBRANE_TRANSPORT,1.4989862350693727e-5,0.0032003896987899626,0.5933254763964051,0.7737017803983745,2.0524482060839797,23,
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,1.5360641702855592e-5,0.0032003896987899626,0.5756102610711286,0.46556875120156593,1.7443388477266508,230,
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,2.382400722272121e-5,0.004727363718908537,0.5756102610711286,-0.5493623608431423,-2.0057509490389087,52,
GOBP_NEGATIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,2.5472428713465084e-5,0.004824709565864046,0.5756102610711286,0.721760053719747,2.004414705515101,30,
