pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_INTERFERON_ALPHA_RESPONSE,4.512072479795021e-9,2.2560362398975103e-7,0.7614608014455848,0.6220822781563872,2.133480374841805,97,
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.3828910611893448e-7,2.383590354399052e-6,0.6901324587967956,0.5124567097386394,1.9162003066754052,199,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.430154212639431e-7,2.383590354399052e-6,0.6901324587967956,-0.4097230020653943,-1.8746773536105996,200,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,6.542456044076081e-6,8.178070055095101e-5,0.610526878385931,0.4814464838652832,1.800245528058291,199,
HALLMARK_DNA_REPAIR,6.388924820131895e-5,6.388924820131895e-4,0.5384340963099162,-0.3784508998907194,-1.6585001702747222,149,
HALLMARK_MYC_TARGETS_V1,1.307807667327896e-4,0.0010898397227732469,0.5188480777437918,-0.35067657974204564,-1.6041939388911202,199,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.007547108984189228,0.047169431151182675,0.40701791892395395,0.38282306488680495,1.4315582705524534,200,
HALLMARK_INFLAMMATORY_RESPONSE,0.006692346983727474,0.047169431151182675,0.40701791892395395,0.38121035601432895,1.4254382608729055,199,
HALLMARK_MYOGENESIS,0.00866838233290383,0.048157679627243495,0.3807304007227924,0.37885362637962705,1.4167146442258105,200,
HALLMARK_HEME_METABOLISM,0.04120573642837916,0.2060286821418958,0.3217759180753611,-0.2677884954994098,-1.2250167424951037,199,
