pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_INTERFERON_ALPHA_RESPONSE,3.2100486214797677e-13,1.6050243107398837e-11,0.932595211336209,0.7039201232683416,2.429935055518717,97,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,2.890798561895861e-12,7.226996404739652e-11,0.8986712320616942,0.5854772145259413,2.180540740314547,199,
HALLMARK_INTERFERON_GAMMA_RESPONSE,2.262210382557511e-10,3.770350637595852e-9,0.826657301178302,0.5603814421905979,2.0870745000763455,199,
HALLMARK_INFLAMMATORY_RESPONSE,4.181754839233057e-5,5.227193549041322e-4,0.557332238758646,0.46263712877509083,1.7230373484185102,199,
HALLMARK_ANDROGEN_RESPONSE,6.922594353106137e-4,0.006672710454624526,0.47727081536286214,0.49644179658623466,1.7233189987283841,100,
HALLMARK_FATTY_ACID_METABOLISM,8.007252545549431e-4,0.006672710454624526,0.47727081536286214,0.4494647581102059,1.6391369623667256,158,
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0016740691230021,0.011957636592872144,0.45505986738722953,0.4999024410155197,1.7064745073156897,87,
HALLMARK_XENOBIOTIC_METABOLISM,0.004271661217747273,0.026697882610920456,0.40701791892395395,0.4042363461723716,1.5062841582145299,200,
HALLMARK_UV_RESPONSE_UP,0.009570030581496712,0.05316683656387062,0.3807304007227924,0.39954199000103485,1.456251071341875,157,
HALLMARK_MITOTIC_SPINDLE,0.012353705938320908,0.06176852969160454,0.3807304007227924,0.37107526697973203,1.3798157313767827,198,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.026481445933497487,0.12037020878862495,0.35248785758361917,0.36610062568991797,1.364181073796874,200,
HALLMARK_IL2_STAT5_SIGNALING,0.03229020589362982,0.13454252455679092,0.3217759180753611,0.3644766415957329,1.3574502067275676,199,
HALLMARK_BILE_ACID_METABOLISM,0.05185185185185185,0.19480519480519481,0.21925034670375515,0.3832346115804871,1.3494791176792615,110,
HALLMARK_ADIPOGENESIS,0.05454545454545454,0.19480519480519481,0.20429475651688608,0.34661237052401994,1.2915630365877275,200,
HALLMARK_MYC_TARGETS_V1,0.05909090909090909,0.19696969696969696,0.19578900214894943,0.34571250077519616,1.2875653802970306,199,
HALLMARK_PROTEIN_SECRETION,0.08121827411167512,0.2335858585858586,0.17520404755855126,0.3815990774513448,1.3200116840820808,96,
HALLMARK_UV_RESPONSE_DN,0.08372641509433962,0.2335858585858586,0.16565669520548273,0.3532072650980268,1.274856395945969,143,
HALLMARK_E2F_TARGETS,0.08409090909090909,0.2335858585858586,0.1619789488834018,0.33923232922876345,1.2640631855840436,200,
