pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_CYTOPLASMIC_TRANSLATION,1.1754491461374538e-15,3.2160288638320735e-12,1.0175447973098848,-0.6815415506829735,-1.8860193646606842,107,
GOBP_TRANSLATION,3.137819963707093e-15,4.2925377103513035e-12,1.0073179568744748,-0.5300579297240331,-1.5333758739268724,377,
GOBP_DNA_DAMAGE_RESPONSE,6.364696652922748e-13,5.804603347465546e-10,0.9214260034948982,-0.5027449110892417,-1.4588826722166743,448,
GOBP_DNA_METABOLIC_PROCESS,1.6496685394758751e-12,1.1283732810014986e-9,0.9101197347744591,-0.487488314679923,-1.4157438815158618,479,
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,2.1068965718474288e-10,1.1528938041149132e-7,0.826657301178302,-0.5301992716392174,-1.5160126835777452,244,
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,2.933882020409298e-10,1.33785020130664e-7,0.8140358378479079,-0.5611101816889067,-1.5913619962396561,184,
GOBP_DNA_REPAIR,5.263543000119616e-10,1.8272008494706396e-7,0.8012155746177786,-0.5052684013383192,-1.4554772831696543,305,
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS,5.342692542311812e-10,1.8272008494706396e-7,0.8012155746177786,-0.504163385668069,-1.4514518571525026,302,
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,1.5033344106128619e-9,3.264382368783805e-7,0.7881868108002371,-0.5257068113724277,-1.4991656356864027,231,
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS,1.10563127307012e-9,3.264382368783805e-7,0.7881868108002371,-0.5034716044097762,-1.4509816532134832,313,
GOBP_MAPK_CASCADE,1.4237936703554165e-9,3.264382368783805e-7,0.7881868108002371,-0.4933448936607433,-1.4256834166586518,357,
GOBP_MONOATOMIC_CATION_TRANSPORT,1.5510588740566324e-9,3.264382368783805e-7,0.7881868108002371,-0.4729948566404289,-1.3733238298097608,472,
GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS,1.3124367137815628e-9,3.264382368783805e-7,0.7881868108002371,-0.47204054069494106,-1.3702715812616066,462,
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,2.158235507384323e-9,4.217808820145362e-7,0.7749390301364363,-0.4678735917168668,-1.3606003178018313,499,
GOBP_CELLULAR_RESPIRATION,2.6378354239121395e-9,4.811411813215743e-7,0.7749390301364363,-0.5764875163836078,-1.6148515939585502,136,
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,3.0215161772445634e-9,5.166792663088203e-7,0.7749390301364363,-0.5229739986636734,-1.4938704184861316,238,
GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,3.2453301739105726e-9,5.223072562246663e-7,0.7749390301364363,-0.46827015470961436,-1.3596264806095089,465,
GOBP_PROTEIN_CATABOLIC_PROCESS,3.823688380617458e-9,5.812006338538537e-7,0.7614608014455848,-0.4679074957386904,-1.3596214719739173,489,
GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT,4.4020486942431556e-9,6.338950119710144e-7,0.7614608014455848,-0.4781805969485101,-1.3846923568354919,393,
GOBP_CHROMATIN_ORGANIZATION,5.108935339659147e-9,6.989023544653714e-7,0.7614608014455848,-0.47273546835993063,-1.3715074257720363,437,
GOBP_AEROBIC_RESPIRATION,5.815823299672699e-9,7.232769339956593e-7,0.7614608014455848,-0.5851798732323521,-1.630112947731008,120,
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,5.623035572148289e-9,7.232769339956593e-7,0.7614608014455848,-0.4635053304631001,-1.3477174342184175,497,
GOBP_HEMOPOIESIS,6.201398943917021e-9,7.376968482850856e-7,0.7614608014455848,-0.4689227939299871,-1.3615132620941377,468,
GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,8.460095345081634e-9,9.644508693393064e-7,0.7477396631498854,-0.480629558581615,-1.3903872163725042,377,
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,1.9599689505026418e-8,2.1444424892251117e-6,0.7337619883564803,-0.5067533698095573,-1.4506923378053844,252,
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,2.037847394731466e-8,2.1444424892251117e-6,0.7337619883564803,-0.45837258843288453,-1.3310535057400377,474,
GOBP_REGULATION_OF_MOLECULAR_FUNCTION,2.7392663281341885e-8,2.7757898791759774e-6,0.7337619883564803,-0.46781941907655067,-1.3574590255884629,433,
GOBP_CHROMATIN_REMODELING,2.9479662480959513e-8,2.8805841624251863e-6,0.7337619883564803,-0.480808090968598,-1.3890290080943237,353,
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,3.313191996500005e-8,3.1167986476498164e-6,0.7195128263389107,-0.5141033774894792,-1.4652859401866767,223,
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,3.417542376809009e-8,3.1167986476498164e-6,0.7195128263389107,-0.498986096820047,-1.4336976782809732,276,
GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,3.678418587017287e-8,3.2465010497029993e-6,0.7195128263389107,-0.4679085873099968,-1.3569394541985471,422,
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION,3.9392951089482064e-8,3.3680973181507166e-6,0.7195128263389107,-0.47909542080281103,-1.383914217076085,361,
GOBP_POSITIVE_REGULATION_OF_LOCOMOTION,4.408873457351969e-8,3.655356902822723e-6,0.7195128263389107,-0.4880582786489343,-1.4061145650291427,311,
GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS,4.5653997136673056e-8,3.673804004880514e-6,0.7195128263389107,-0.48367254175195507,-1.3931901435027252,309,
