pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_LYMPHOCYTE_ACTIVATION,1.6938021609708594e-14,4.8036229285133575e-11,0.9759946830643197,-0.5104967667624661,-1.4881408573202632,421,
GOBP_CIRCULATORY_SYSTEM_PROCESS,3.4229735166440417e-13,4.853776446601251e-10,0.932595211336209,-0.5313562777938486,-1.5364212670526916,305,
GOBP_REGULATION_OF_CELL_CELL_ADHESION,2.363022333718565e-12,1.6753828346064626e-9,0.8986712320616942,-0.5448597736964411,-1.5637851919492862,247,
GOBP_REGULATION_OF_CELL_ADHESION,1.7982834726251076e-12,1.6753828346064626e-9,0.9101197347744591,-0.5027448433203455,-1.4642742260120025,395,
GOBP_T_CELL_ACTIVATION,2.957486310974836e-12,1.6774862355849272e-9,0.8986712320616942,-0.5289290225978511,-1.5284965042207634,300,
GOBP_METAL_ION_TRANSPORT,7.744627778788173e-12,3.6606273967738765e-9,0.8753251320246591,-0.49196135872552976,-1.4361362304917455,447,
GOBP_REGULATION_OF_SYSTEM_PROCESS,1.2911179372489762e-11,5.230872100054424e-9,0.8753251320246591,-0.5170178614299079,-1.4944979627836996,302,
GOBP_MUSCLE_CONTRACTION,1.9668269203185134e-11,6.1976901622481154e-9,0.8634153916066928,-0.563663811697446,-1.6054598463951897,196,
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,1.773766708959416e-11,6.1976901622481154e-9,0.8634153916066928,-0.5532659721078146,-1.5814743896985384,209,
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,5.215603470204174e-11,1.4791451441499039e-8,0.851339057116899,-0.4748167341753851,-1.3883491522100955,495,
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,5.898000160725004e-11,1.520611677801465e-8,0.8390889356212738,-0.5723316728582414,-1.6244157524422416,176,
GOBP_REGULATION_OF_CELL_ACTIVATION,1.1266450289175451e-10,2.6626377516751317e-8,0.8390889356212738,-0.510575366152411,-1.4765601535907376,306,
GOBP_INTRACELLULAR_MONOATOMIC_ION_HOMEOSTASIS,3.8396322601290787e-10,8.376305453635437e-8,0.8140358378479079,-0.5207174701968599,-1.4949720506583715,255,
GOBP_MONOATOMIC_ION_HOMEOSTASIS,4.155452347543176e-10,8.417759184023176e-8,0.8140358378479079,-0.5090912779811365,-1.4707750278628948,298,
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,6.055039286242139e-10,1.1448060943855138e-7,0.8012155746177786,-0.5221402076588898,-1.4989884351578648,254,
GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT,7.954635635739311e-10,1.409959166434793e-7,0.8012155746177786,-0.47320551211232587,-1.3823073039363798,464,
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,1.2488042174784229e-9,2.0832992710404748e-7,0.7881868108002371,-0.471340158169877,-1.376160653098042,454,
GOBP_MUSCLE_SYSTEM_PROCESS,1.4078855276166237e-9,2.218201864622636e-7,0.7881868108002371,-0.5217451559729601,-1.4973355241276287,241,
GOBP_HEART_PROCESS,2.0623157243301664e-9,2.924363697100176e-7,0.7749390301364363,-0.5755701630001034,-1.6225500284378493,137,
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,2.0623157243301664e-9,2.924363697100176e-7,0.7749390301364363,-0.48915331729442063,-1.4197270759722778,350,
GOBP_VASCULATURE_DEVELOPMENT,2.701782175693934e-9,3.648692500127617e-7,0.7749390301364363,-0.47668507032430674,-1.3888977794067547,399,
GOBP_REGULATION_OF_HEART_CONTRACTION,3.0534895966142685e-9,3.9362256799991207e-7,0.7749390301364363,-0.5964358512717013,-1.6705734481011363,113,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,3.630902027901613e-9,4.47706006570825e-7,0.7749390301364363,-0.4718111628682363,-1.376956950790616,444,
GOBP_REGULATION_OF_T_CELL_ACTIVATION,4.337786359328325e-9,4.801619268028304e-7,0.7614608014455848,-0.5428895488014425,-1.5441511666284826,188,
GOBP_CYTOKINE_PRODUCTION,4.4020486942431556e-9,4.801619268028304e-7,0.7614608014455848,-0.47745120959201004,-1.38830206435577,373,
GOBP_HEMOPOIESIS,4.4020486942431556e-9,4.801619268028304e-7,0.7614608014455848,-0.4646770790774176,-1.3581050221292854,486,
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION,4.9161479184974716e-9,5.163776109947715e-7,0.7614608014455848,-0.5113616998597501,-1.4680143234635825,251,
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,5.108935339659147e-9,5.17462165116905e-7,0.7614608014455848,-0.5846853468969881,-1.6426762191112256,124,
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM,6.072873703216018e-9,5.614489872553546e-7,0.7614608014455848,-0.5710997394621565,-1.6095439389157606,135,
GOBP_INORGANIC_ION_HOMEOSTASIS,6.072873703216018e-9,5.614489872553546e-7,0.7614608014455848,-0.5108237187393091,-1.4668051196880614,256,
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,6.137136320492239e-9,5.614489872553546e-7,0.7614608014455848,-0.4628302625574425,-1.3530881927100151,491,
GOBP_REGULATION_OF_IMMUNE_RESPONSE,6.910187692070099e-9,6.124153842097125e-7,0.7614608014455848,-0.4618131855018031,-1.3489121191350573,465,
GOBP_TUBE_MORPHOGENESIS,8.847573266982969e-9,7.603550843989e-7,0.7477396631498854,-0.46805965679773454,-1.366008370582578,444,
GOBP_MAPK_CASCADE,1.3109844444630511e-8,1.093515260146239e-6,0.7477396631498854,-0.47361269857503335,-1.3792151063204356,392,
GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,1.4407808346492273e-8,1.1674441277329168e-6,0.7477396631498854,-0.5136289357061659,-1.4727688524974556,233,
GOBP_REGULATION_OF_BLOOD_CIRCULATION,1.544618180227641e-8,1.216815877534886e-6,0.7337619883564803,-0.5643521603354911,-1.591346200088186,139,
GOBP_BEHAVIOR,1.6224962994390884e-8,1.243621487894393e-6,0.7337619883564803,-0.4819633336135907,-1.3996637466575697,362,
GOBP_CALCIUM_ION_TRANSPORT,1.7522933371155196e-8,1.3077641852788458e-6,0.7337619883564803,-0.5177755942170943,-1.4827329890260914,224,
GOBP_LYMPHOCYTE_DIFFERENTIATION,2.0897663802185026e-8,1.5196352446922239e-6,0.7337619883564803,-0.5165844935091962,-1.4783077306508057,219,
GOBP_CELLULAR_HOMEOSTASIS,2.3234020042209622e-8,1.6472920209926622e-6,0.7337619883564803,-0.4686936958779549,-1.365613638757259,399,
GOBP_BLOOD_VESSEL_MORPHOGENESIS,2.6089569843853022e-8,1.7616671446944563e-6,0.7337619883564803,-0.4786914406570851,-1.3868975018136838,331,
GOBP_IMMUNE_EFFECTOR_PROCESS,2.5570378751095906e-8,1.7616671446944563e-6,0.7337619883564803,-0.47515786349681066,-1.3808848482011842,369,
GOBP_MONONUCLEAR_CELL_DIFFERENTIATION,4.304522655443871e-8,2.7744605115542766e-6,0.7195128263389107,-0.4991823774227995,-1.4341782125333111,260,
