pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_OXIDATIVE_PHOSPHORYLATION,9.805085768442664e-8,4.706441168852478e-6,0.7049757151672383,-0.583179367892069,-1.5967734035945376,103,
HALLMARK_DNA_REPAIR,9.668723351886469e-7,2.3204936044527523e-5,0.6435518361507222,-0.6008089414852493,-1.6124419857610337,74,
HALLMARK_MYC_TARGETS_V1,2.7785436783502774e-5,4.445669885360444e-4,0.5756102610711286,-0.534080030079152,-1.4618873949912183,102,
HALLMARK_APOPTOSIS,1.2129988799053178e-4,0.0014555986558863815,0.5384340963099162,-0.5506114405403992,-1.4777226889681736,74,
HALLMARK_UV_RESPONSE_UP,0.00993898386945648,0.08549009840847592,0.3807304007227924,-0.49603360592570733,-1.3238482517441739,66,
HALLMARK_APICAL_JUNCTION,0.01068626230105949,0.08549009840847592,0.3807304007227924,-0.4726630482171332,-1.2838412046333394,87,
HALLMARK_NOTCH_SIGNALING,0.01977451455669689,0.11864708734018134,0.35248785758361917,-0.5939910067655323,-1.441721952844495,20,
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.018173806191245024,0.11864708734018134,0.35248785758361917,-0.5070417833082385,-1.3406931565001579,53,
HALLMARK_HEME_METABOLISM,0.027972027972027972,0.14918414918414918,0.27128855468895297,-0.4462458501096906,-1.2268197974375639,111,
HALLMARK_GLYCOLYSIS,0.03896103896103896,0.187012987012987,0.22798720285044224,-0.4479237542481217,-1.2249893096884132,100,
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.04295704295704296,0.187448914721642,0.21654283673534816,-0.4425118095799106,-1.211876474032527,104,
HALLMARK_IL2_STAT5_SIGNALING,0.055944055944055944,0.21393990624759857,0.1882041463084906,-0.4477805504768002,-1.2178561650858635,88,
HALLMARK_E2F_TARGETS,0.057942057942057944,0.21393990624759857,0.1847064712077387,-0.4360315740332689,-1.1965461463657605,107,
HALLMARK_MYC_TARGETS_V2,0.07492507492507493,0.23376623376623376,0.1608014010700223,-0.5185365450112522,-1.295076557504267,27,
HALLMARK_P53_PATHWAY,0.07592407592407592,0.23376623376623376,0.1596467019199062,-0.44011725235906535,-1.1982281717887753,89,
HALLMARK_MITOTIC_SPINDLE,0.07792207792207792,0.23376623376623376,0.15740289930528326,-0.4359686834420999,-1.1888124938103088,95,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.08691308691308691,0.24540165716636306,0.14826150047510658,-0.5150006119381905,-1.286245349606033,27,
