pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ALLOGRAFT_REJECTION,7.62028100848861e-7,3.7339376941594186e-5,0.6594443980379349,-0.5821924688224347,-1.6113839462313244,91,
HALLMARK_COMPLEMENT,4.597051889789854e-6,1.1262777129985143e-4,0.610526878385931,-0.5650108873178253,-1.56713965217076,95,
HALLMARK_MYOGENESIS,7.8501347280943e-6,1.2821886722554022e-4,0.5933254763964051,-0.5672932044521597,-1.566780730518058,86,
HALLMARK_HYPOXIA,0.0017763867653013783,0.021760737874941885,0.45505986738722953,-0.48826768006239657,-1.3611848232732322,104,
HALLMARK_APICAL_SURFACE,0.0038124359752713995,0.031134893798049762,0.4317076958033464,-0.6802457516654057,-1.632812760643363,16,
HALLMARK_PEROXISOME,0.0033853287788208936,0.031134893798049762,0.4317076958033464,-0.5469636586062141,-1.4503062773210094,44,
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.005242514989499094,0.03211040431068195,0.40701791892395395,-0.5610945105278019,-1.4715908235253836,38,
HALLMARK_APICAL_JUNCTION,0.005093793689796638,0.03211040431068195,0.40701791892395395,-0.4785265856988714,-1.3272628968736186,95,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.007846610895282524,0.04064537981435897,0.3807304007227924,-0.48794164650707555,-1.3314131736528063,73,
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.008294975472318156,0.04064537981435897,0.3807304007227924,-0.47330148886136886,-1.3144347723584346,97,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.011732453506532415,0.04478565890217672,0.3807304007227924,-0.5194911847240541,-1.3802935457294436,46,
HALLMARK_UV_RESPONSE_UP,0.01188190950465913,0.04478565890217672,0.3807304007227924,-0.4922290734656825,-1.3351039334730723,63,
HALLMARK_KRAS_SIGNALING_UP,0.01008843947817958,0.04478565890217672,0.3807304007227924,-0.478085274361053,-1.3191903059862244,85,
HALLMARK_IL2_STAT5_SIGNALING,0.013077558310652432,0.04577145408728351,0.3807304007227924,-0.4748862538249084,-1.3015608886805357,78,
HALLMARK_APOPTOSIS,0.019976127955916932,0.06525535132266198,0.35248785758361917,-0.48346619643358063,-1.3174041811309156,71,
HALLMARK_KRAS_SIGNALING_DN,0.022679616164455463,0.06945632450364486,0.35248785758361917,-0.45378612121687656,-1.2625985222741878,100,
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.02691193628530812,0.07756969870471163,0.35248785758361917,-0.5499815662495239,-1.4118857051143032,28,
HALLMARK_ESTROGEN_RESPONSE_LATE,0.04095904095904096,0.1114996114996115,0.22205604614524838,-0.44507010873058206,-1.2319353390555334,93,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.04995004995004995,0.12147112147112146,0.19991523130966152,-0.5170293069006445,-1.3420038780623165,33,
HALLMARK_INFLAMMATORY_RESPONSE,0.04995004995004995,0.12147112147112146,0.19991523130966152,-0.4601631678008644,-1.2530885509232683,69,
HALLMARK_XENOBIOTIC_METABOLISM,0.06293706293706294,0.12147112147112146,0.17669426893849804,-0.45096229344055194,-1.2335679440830694,75,
HALLMARK_SPERMATOGENESIS,0.06293706293706294,0.12147112147112146,0.17669426893849804,-0.44859289904646205,-1.2302162501569953,79,
HALLMARK_FATTY_ACID_METABOLISM,0.06693306693306693,0.12147112147112146,0.17093233537005617,-0.45140889116941985,-1.226542258252843,67,
HALLMARK_MTORC1_SIGNALING,0.059940059940059943,0.12147112147112146,0.18138312849840757,-0.44052167251934576,-1.2166563294997172,86,
HALLMARK_HEME_METABOLISM,0.052947052947052944,0.12147112147112146,0.19381330272531053,-0.43705434695310147,-1.2160446228208124,100,
HALLMARK_GLYCOLYSIS,0.058941058941058944,0.12147112147112146,0.18302393838448722,-0.43352766352801925,-1.2109451543947318,106,
HALLMARK_ADIPOGENESIS,0.06593406593406594,0.12147112147112146,0.1723243449009459,-0.4361159899220955,-1.206906501132089,89,
HALLMARK_HEDGEHOG_SIGNALING,0.07910750507099391,0.13503737641668676,0.15740289930528326,-0.5639485379549585,-1.3536613302833993,16,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.07992007992007992,0.13503737641668676,0.1552419662288392,-0.4241955027696493,-1.1862943074848564,108,
HALLMARK_DNA_REPAIR,0.0979020979020979,0.1599067599067599,0.13880510939113969,-0.4405259087818838,-1.202033076057732,73,
HALLMARK_ANGIOGENESIS,0.11788617886178862,0.1863362182008917,0.12625398784911535,-0.5477005911598021,-1.2985495842573187,15,
HALLMARK_MITOTIC_SPINDLE,0.13386613386613386,0.20498251748251747,0.11623414877971643,-0.4240440847634759,-1.1636712646932728,80,
HALLMARK_E2F_TARGETS,0.15184815184815184,0.2254714981987709,0.10797236031734525,-0.409334535185603,-1.1353487083009126,95,
HALLMARK_MYC_TARGETS_V2,0.15963855421686746,0.2300673281360737,0.10512513159700079,-0.5031999503593109,-1.2406662722991317,20,
HALLMARK_COAGULATION,0.16783216783216784,0.23115773115773117,0.10171390228231093,-0.42700240558803276,-1.1560038084804283,61,
HALLMARK_P53_PATHWAY,0.16983016983016982,0.23115773115773117,0.10099058745592349,-0.4125283026178948,-1.1382976363072264,85,
HALLMARK_G2M_CHECKPOINT,0.17582417582417584,0.23284823284823286,0.09889030075206362,-0.40606861378980486,-1.1239808416605537,93,
HALLMARK_UV_RESPONSE_DN,0.1928071928071928,0.2486198012513802,0.09344492194109945,-0.423235108694098,-1.1403270283405926,58,
