Gene_Target,Perturbation,Axis_Score,direction,logFC,adj.P.Val
MRPS18A,5248_MRPS18A_P1P2_ENSG00000096080,-0.10952904,UP,0.0109535441549277,0.0185738662350176
MRPL38,5220_MRPL38_P1P2_ENSG00000204316,-0.086638235,UP,0.0101564264032558,0.0168276050206054
PPAT,6611_PPAT_P1P2_ENSG00000128059,-0.07150273,UP,0.00831533453755994,0.0356681089545314
PRPF38B,6795_PRPF38B_P1P2_ENSG00000134186,-0.062552415,DOWN,-0.00861949144131147,0.0271375227919344
NDUFS1,5565_NDUFS1_P1P2_ENSG00000023228,-0.0580959,UP,0.00754447824590669,0.0232720554268509
SLC31A1,8035_SLC31A1_P1P2_ENSG00000136868,-0.05742058,UP,0.00973518360483571,0.0168276050206054
COPE,1773_COPE_P1P2_ENSG00000105669,-0.03601118,UP,0.0121763005316926,0.0135305375987697
PTPMT1,6922_PTPMT1_P1P2_ENSG00000110536,-0.03429647,UP,0.00715231685086589,0.0305553566787438
TSEN54,9339_TSEN54_P1P2_ENSG00000182173,-0.03320176,DOWN,-0.0119167246154906,0.0293895390973787
DCXR,2084_DCXR_P1P2_ENSG00000169738,-0.032816187,UP,0.0102102150217812,0.0225860429968128
TMEM115,8986_TMEM115_P1P2_ENSG00000126062,-0.031199813,UP,0.0107801519652448,0.0407015069593055
SLC38A2,8064_SLC38A2_P1P2_ENSG00000134294,-0.029839192,DOWN,-0.0186691683279749,0.00443486633530252
SLC38A2,8064_SLC38A2_P1P2_ENSG00000134294,-0.029839192,DOWN,-0.0128885278736259,0.0373035320481167
FOXF2,3158_FOXF2_P1P2_ENSG00000137273,-0.026629904,DOWN,-0.0150769585428755,0.0108489065150277
SLC16A1,7967_SLC16A1_P1_ENSG00000155380,-0.02525969,UP,0.0197266894919388,0.026462372826106
EXOC2,2779_EXOC2_P1P2_ENSG00000112685,-0.023164114,DOWN,-0.0108942868252922,0.0271375227919344
DOCK11,2322_DOCK11_P1P2_ENSG00000147251,-0.02223005,DOWN,-0.0143664091009085,0.0147406083425061
ANKRD16,331_ANKRD16_P1P2_ENSG00000134461,-0.021726409,UP,0.0109838802672308,0.0428521873655949
B4GALT1,734_B4GALT1_P1P2_ENSG00000086062,-0.021586081,UP,0.011487490006725,0.0498048494535535
ABCB10,20_ABCB10_P1P2_ENSG00000135776,-0.021311367,UP,0.00868760160129969,0.028107572242297
ZBTB7A,10009_ZBTB7A_P2_ENSG00000178951,-0.02070441,UP,0.00881405588874752,0.0263588338420056
S100A1,7622_S100A1_P1_ENSG00000160678,-0.020633847,UP,0.0119798309188864,0.0301385191209631
RDH10,7213_RDH10_P1P2_ENSG00000121039,-0.019538296,UP,0.0143155940337035,0.0426538051063771
RFT1,7255_RFT1_P1P2_ENSG00000163933,-0.019052861,UP,0.00893529603944196,0.0309898482440457
PDCD4,6155_PDCD4_P2_ENSG00000150593,-0.01812624,DOWN,-0.0115226789592798,0.0207718775876049
SLC25A39,8004_SLC25A39_P2_ENSG00000013306,-0.018111859,UP,0.00921741145464772,0.0284579978775374
WDR26,9812_WDR26_P1P2_ENSG00000162923,-0.018085392,DOWN,-0.00725904018420138,0.0313455110578305
NFAT5,5621_NFAT5_P1P2_ENSG00000102908,-0.016137434,DOWN,-0.00877076932933806,0.0144882793136808
C6orf47,1111_C6orf47_P1P2_ENSG00000204439,-0.016070476,UP,0.00770784753929134,0.0467426252540438
HERC4,3694_HERC4_P1P2_ENSG00000148634,-0.015970912,DOWN,-0.0115221072204959,0.0168276050206054
ATP6V0B,674_ATP6V0B_P1P2_ENSG00000117410,-0.015790721,UP,0.00869615675981511,0.0206572897466305
KLF8,4424_KLF8_P1P2_ENSG00000102349,-0.014694572,DOWN,-0.023926155512387,0.00404876508589167
MARCKSL1,4850_MARCKSL1_P1P2_ENSG00000175130,-0.014549743,UP,0.00808942428709859,0.0389450818687503
RAB7A,7039_RAB7A_P1P2_ENSG00000075785,-0.013874899,UP,0.00889378821096465,0.0362680746209791
TOMM34,9165_TOMM34_P1P2_ENSG00000025772,-0.013787849,UP,0.00838388006496099,0.0462128364115417
NAPA,5462_NAPA_P1P2_ENSG00000105402,-0.012855864,UP,0.0131435609979715,0.00634212559022695
EZR,2805_EZR_P1_ENSG00000092820,-0.012339227,UP,0.0218303984981641,0.0145900964540037
FADS3,2818_FADS3_P1P2_ENSG00000221968,-0.012318723,UP,0.0133796366908505,0.00443486633530252
TBL1XR1,8734_TBL1XR1_P1P2_ENSG00000177565,-0.012128129,DOWN,-0.00833677679386855,0.0479403906948764
SRGAP2,8407_SRGAP2_P1P2_ENSG00000266028,-0.012085826,DOWN,-0.0101159213137231,0.0275989791043356
CGGBP1,1541_CGGBP1_P2_ENSG00000163320,-0.01151543,DOWN,-0.0093159861799731,0.0462128364115417
GALNT10,3267_GALNT10_P1P2_ENSG00000164574,-0.011245576,UP,0.00992545016719961,0.0356681089545314
FADS1,2815_FADS1_P1P2_ENSG00000149485,-0.010961795,UP,0.0126399696777929,0.0419841763326442
FADS1,2815_FADS1_P1P2_ENSG00000149485,-0.010961795,UP,0.016738801724427,0.0453344261165584
ZEB2,10062_ZEB2_P1_ENSG00000169554,-0.010558623,DOWN,-0.011157051875192,0.0272909533345406
NMNAT3,5718_NMNAT3_P1P2_ENSG00000163864,-0.0103029115,UP,0.0133787955354959,0.0311892027676313
HSD17B1,3951_HSD17B1_P1P2_ENSG00000108786,-0.010300841,UP,0.00772007258719281,0.0429207193289368
