Gene_Target,Perturbation,Oxidative_Score,Inflammatory_Score,Senescence_Score,direction,logFC
PES1,6219_PES1_P1P2_ENSG00000100029,0.15294862,0.043377534,0.03826887,UP,0.00978137770775801
STK24,8517_STK24_P1P2_ENSG00000102572,0.13300978,0.094200924,0.031934243,UP,0.0130042633213559
MED22,4945_MED22_P1P2_ENSG00000148297,0.10590918,0.12052627,0.052841973,UP,0.00905680706109971
NOC4L,5731_NOC4L_P1P2_ENSG00000184967,0.10178377,0.07551067,0.0077551682,UP,0.00800295232525076
BCKDHA,791_BCKDHA_P1_ENSG00000248098,0.074656695,0.009059121,-0.011753408,UP,0.00753650618401456
PTEN,6905_PTEN_P1P2_ENSG00000171862,0.05405954,0.028998468,0.035488572,DOWN,-0.0100662193425765
DNAJB4,2282_DNAJB4_P1P2_ENSG00000162616,0.04994919,0.005788099,-0.019195795,DOWN,-0.0196765190937693
DNAJB4,2282_DNAJB4_P1P2_ENSG00000162616,0.04994919,0.005788099,-0.019195795,DOWN,-0.0171922127570378
TPM1,9203_TPM1_P1_ENSG00000140416,0.04764357,0.0070921304,0.032535054,DOWN,-0.0107591867181991
ATG2B,620_ATG2B_P1P2_ENSG00000066739,0.04401219,0.008373225,-0.0064429985,DOWN,-0.0105357018296564
FANCL,2967_FANCL_P1P2_ENSG00000115392,0.040491506,0.026032517,-0.008443984,DOWN,-0.012176208916047
RAB11B,7004_RAB11B_P1P2_ENSG00000185236,0.03835662,0.0017029598,0.007877181,UP,0.0102157654870722
SFXN4,7849_SFXN4_P1P2_ENSG00000183605,0.037218086,0.015941942,0.029100688,UP,0.0111942707340821
FLCN,3106_FLCN_P1P2_ENSG00000154803,0.035835568,0.014206841,0.069971986,DOWN,-0.0158116656126934
ZNF689,10555_ZNF689_P1P2_ENSG00000156853,0.035319068,0.0013779526,-0.03826079,UP,0.0103303392637926
MEST,4981_MEST_P2_ENSG00000106484,0.03451939,-0.019410819,-0.024137737,DOWN,-0.0224318564860959
DNAJA1,2275_DNAJA1_P2_ENSG00000086061,0.03281209,-0.007932811,0.009001762,DOWN,-0.01878487315197
SRA1,8395_SRA1_P1P2_ENSG00000213523,0.030721247,0.026624106,0.02880147,UP,0.010010910673954
SRA1,8395_SRA1_P1P2_ENSG00000213523,0.030721247,0.026624106,0.02880147,UP,0.0097930056924053
S100A1,7623_S100A1_P2_ENSG00000160678,0.029769965,0.12962602,0.03912329,UP,0.0119798309188864
DHCR7,2185_DHCR7_P1P2_ENSG00000172893,0.027683135,-0.0064381263,0.015196746,UP,0.0231665813521379
GGT1,3359_GGT1_P1_ENSG00000286070,0.027436297,0.009967785,-0.007682708,UP,0.0113632365537931
UHRF1,9583_UHRF1_P1P2_ENSG00000276043,0.027198391,0.09662055,0.06259013,DOWN,-0.0168075518781442
MED28,4951_MED28_P1P2_ENSG00000118579,0.027039286,0.122499295,0.038466413,DOWN,-0.00715845794122717
TMEM214,9042_TMEM214_P1P2_ENSG00000119777,0.02568109,0.041424267,0.010226865,UP,0.00973782002812309
ARL6IP6,517_ARL6IP6_P1P2_ENSG00000177917,0.025375102,0.012937825,0.03609944,DOWN,-0.00961558195690517
SLC9A3R1,8114_SLC9A3R1_P1P2_ENSG00000109062,0.023464503,0.0027319114,0.0061999736,UP,0.0178321245746454
MAN2A1,4786_MAN2A1_P1P2_ENSG00000112893,0.022493383,0.0038695512,0.007960533,UP,0.0154942635422018
SNX6,8258_SNX6_P1P2_ENSG00000129515,0.021781614,Inf,Inf,DOWN,-0.00890860033875996
LHX2,4568_LHX2_P1P2_ENSG00000106689,0.021777086,0.037468586,-0.027002564,UP,0.0248553873956604
FBXW9,3040_FBXW9_P1P2_ENSG00000132004,0.02154963,-0.024799276,-0.010332084,UP,0.0079035883122042
HBZ,3655_HBZ_P1P2_ENSG00000130656,0.021519583,-0.025491256,0.028200494,UP,0.021465095926682
SP5,8310_SP5_P1P2_ENSG00000204335,0.021370457,0.007134406,-0.02190382,UP,0.0219845554183557
RBPJ,7191_RBPJ_P1P2_ENSG00000168214,0.02116265,0.0042282697,0.022564547,DOWN,-0.00778453100570468
MAPK1,4828_MAPK1_P1P2_ENSG00000100030,0.02072475,-0.004381195,0.021594713,DOWN,-0.00953165795236447
PFKL,6245_PFKL_P2_ENSG00000141959,0.020413844,0.0056278654,0.008803843,UP,0.0173403936704166
