perturbation_id,target_gene,age_UP_enrichment,age_DOWN_enrichment,mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
9601_UPF2_P1P2_ENSG00000151461,UPF2,0.25467904686957427,-0.1503860160716865,0.40506506294126077,False,False,False
3750_HIST1H2AD_P1P2_ENSG00000196866,HIST1H2AD,0.16731149743882673,-0.18524287709427636,0.3525543745331031,False,False,False
5173_MPP5_P1P2_ENSG00000072415,MPP5,0.09919024596715373,-0.23239180506728088,0.3315820510344346,False,False,False
10554_ZNF688_P1P2_ENSG00000229809,ZNF688,0.17835546578835437,-0.15136247315988494,0.3297179389482393,False,False,False
11182_non-targeting_non-targeting_non-targeting,non-targeting,0.1380259754135581,-0.18770394751044958,0.3257299229240077,False,False,False
762_BARHL1_P1P2_ENSG00000125492,BARHL1,0.13846362476396726,-0.1829478708087489,0.3214114955727162,False,False,False
9330_TRUB2_P1P2_ENSG00000167112,TRUB2,0.14366199498244264,-0.16930404183487585,0.3129660368173185,False,False,False
2302_DNAJC6_P1P2_ENSG00000116675,DNAJC6,0.07230254925609882,-0.23998425712041474,0.31228680637651357,False,False,False
2268_DMXL2_P1P2_ENSG00000104093,DMXL2,0.08023982362525707,-0.22164745581448644,0.3018872794397435,False,False,False
1485_CENPL_P1P2_ENSG00000120334,CENPL,0.17255507087659316,-0.12920951813171214,0.3017645890083053,False,False,False
9600_UPF1_P1P2_ENSG00000005007,UPF1,0.21167023840588792,-0.08951022705948584,0.30118046546537375,False,False,False
8984_TMEM107_P1P2_ENSG00000179029,TMEM107,0.126158075657861,-0.1678127859416749,0.2939708615995359,False,False,False
10446_ZNF558_P1P2_ENSG00000167785,ZNF558,0.10775009194745741,-0.185209664268147,0.29295975621560444,False,False,False
7545_RPUSD3_P1P2_ENSG00000156990,RPUSD3,0.15942764505610335,-0.12999666211097408,0.28942430716707745,False,False,False
9864_WIPI1_P1P2_ENSG00000070540,WIPI1,0.11392649545604909,-0.17460813016770824,0.2885346256237573,False,False,False
1692_CMC4_P1P2_ENSG00000182712,CMC4,0.11990153916961685,-0.1662584256788287,0.2861599648484455,False,False,False
2575_EIF5AL1_P1P2_ENSG00000253626,EIF5AL1,0.12963872354327494,-0.1559292367526491,0.285567960295924,False,False,False
3283_GAPVD1_P1P2_ENSG00000165219,GAPVD1,0.13093728875200078,-0.15396303744580075,0.28490032619780153,False,False,False
249_ALAD_P1P2_ENSG00000148218,ALAD,0.16442876486312666,-0.12035497868566873,0.2847837435487954,False,False,False
1220_CBFB_P1P2_ENSG00000067955,CBFB,0.04522993028430773,-0.2387653464014734,0.2839952766857811,False,False,False
