target_gene,perturbation_id,age_direction,ARE_enrichment,n_ARE_genes
PPIC,6623_PPIC_P1P2_ENSG00000168938,DOWN,0.19644426597163292,128
CIB1,1611_CIB1_P1P2_ENSG00000185043,UP,0.15722170869196267,128
IFRD1,4048_IFRD1_P2_ENSG00000006652,DOWN,0.15631440174566613,128
MEST,4982_MEST_P1_ENSG00000106484,DOWN,0.13617843829555099,128
NR3C1,5796_NR3C1_P1P2_ENSG00000113580,DOWN,0.13609225360649777,128
HBZ,3655_HBZ_P1P2_ENSG00000130656,UP,0.11657663050066674,128
DOCK11,2322_DOCK11_P1P2_ENSG00000147251,DOWN,0.1133546490483695,128
FHL3,3080_FHL3_P1P2_ENSG00000183386,UP,0.10348602860952842,128
ASB13,564_ASB13_P1P2_ENSG00000196372,UP,0.101279321735968,128
PDCD4,6156_PDCD4_P1_ENSG00000150593,DOWN,0.0984248090677658,128
VGLL4,9724_VGLL4_P1P2_ENSG00000144560,UP,0.09809901200145472,128
ME1,4923_ME1_P1P2_ENSG00000065833,DOWN,0.09304158079767244,128
DDAH2,2086_DDAH2_P1P2_ENSG00000213722,DOWN,0.09185014850284882,128
HERC4,3694_HERC4_P1P2_ENSG00000148634,DOWN,0.09171945084252636,128
PTEN,6905_PTEN_P1P2_ENSG00000171862,DOWN,0.0915205630985574,128
MARCKSL1,4850_MARCKSL1_P1P2_ENSG00000175130,UP,0.09090495817674869,128
CGGBP1,1540_CGGBP1_P1_ENSG00000163320,DOWN,0.09070417626378956,128
MBOAT1,4883_MBOAT1_P1P2_ENSG00000172197,DOWN,0.08770570675233362,128
CHCHD5,1552_CHCHD5_P1P2_ENSG00000125611,UP,0.08634001091041338,128
SLC13A3,7964_SLC13A3_P1P2_ENSG00000158296,UP,0.08437196932961571,128
POM121,6567_POM121_P1P2_ENSG00000196313,UP,0.08327335131531095,128
ZC3H11A,10018_ZC3H11A_P1P2_ENSG00000058673,DOWN,0.081312886410474,128
CHDH,1567_CHDH_P1P2_ENSG00000016391,UP,0.07933158564674506,128
KRAS,4466_KRAS_P1P2_ENSG00000133703,DOWN,0.07891013304642987,128
GNA13,3429_GNA13_P1P2_ENSG00000120063,DOWN,0.07856255303673172,128
PTGES2,6909_PTGES2_P1P2_ENSG00000148334,UP,0.07492196023760456,128
MANBAL,4791_MANBAL_P1P2_ENSG00000101363,UP,0.07466245908594982,128
MRPL38,5220_MRPL38_P1P2_ENSG00000204316,UP,0.073489968481028,128
SH3GLB1,7885_SH3GLB1_P1P2_ENSG00000097033,DOWN,0.07332517577888228,128
SHISA5,7894_SHISA5_P1P2_ENSG00000164054,UP,0.07220761607467571,128
S100A1,7623_S100A1_P2_ENSG00000160678,UP,0.0709574645411565,128
EZR,2805_EZR_P1_ENSG00000092820,UP,0.0709385228512547,128
AGPAT4,196_AGPAT4_P1P2_ENSG00000026652,DOWN,0.06905571887501516,128
ZNF541,10432_ZNF541_P1P2_ENSG00000118156,UP,0.0679362650018184,128
FRYL,3204_FRYL_P1P2_ENSG00000075539,DOWN,0.06619931203782277,128
CLK1,1658_CLK1_P1P2_ENSG00000013441,DOWN,0.0660875560674021,128
ARHGAP21,463_ARHGAP21_P1P2_ENSG00000107863,DOWN,0.06578638319796339,128
CST3,1913_CST3_P1P2_ENSG00000101439,UP,0.06463851678991393,128
FGD6,3068_FGD6_P1P2_ENSG00000180263,DOWN,0.0639566159534489,128
MFSD11,5025_MFSD11_P1P2_ENSG00000092931,DOWN,0.06360998302824585,128
SERPINF1,7805_SERPINF1_P1P2_ENSG00000132386,UP,0.06115703418596193,128
SLC25A39,8004_SLC25A39_P2_ENSG00000013306,UP,0.05815288216753546,128
COPG2,1776_COPG2_P1P2_ENSG00000158623,UP,0.05806385622499697,128
CGGBP1,1541_CGGBP1_P2_ENSG00000163320,DOWN,0.057851709298096736,128
SLC19A1,7972_SLC19A1_P1P2_ENSG00000173638,UP,0.057685022426960844,128
ATG2B,620_ATG2B_P1P2_ENSG00000066739,DOWN,0.0565257910049703,128
SMG1,8165_SMG1_P1P2_ENSG00000157106,DOWN,0.04938098557400897,128
FXR2,3231_FXR2_P1P2_ENSG00000129245,UP,0.04925597042065705,128
ZBTB7A,10009_ZBTB7A_P2_ENSG00000178951,UP,0.04777851860831616,128
ECHDC3,2465_ECHDC3_P1P2_ENSG00000134463,UP,0.047170490362468176,128
TMEM62,9087_TMEM62_P1P2_ENSG00000137842,UP,0.04640335192144503,128
QSOX1,6990_QSOX1_P1P2_ENSG00000116260,UP,0.04568735604315675,128
IFRD1,4049_IFRD1_P1_ENSG00000006652,DOWN,0.04433491938416778,128
ZEB2,10061_ZEB2_P2_ENSG00000169554,DOWN,0.04271351072857316,128
TTC7A,9392_TTC7A_P1P2_ENSG00000068724,UP,0.04261311977209359,128
UBL4A,9533_UBL4A_P1P2_ENSG00000102178,UP,0.04132319068978058,128
FAM133B,2852_FAM133B_P1P2_ENSG00000234545,DOWN,0.04045566129227785,128
CTDSP1,1930_CTDSP1_P1P2_ENSG00000144579,UP,0.03959570857073585,128
BEST1,819_BEST1_P2_ENSG00000167995,UP,0.03746098011880228,128
