Category,Gene,ARE_Effect,Enrichment,Top_ARE_Targets
Age-UP,CIB1,Activates,0.157,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,HBZ,Activates,0.117,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,FHL3,Activates,0.103,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,ASB13,Activates,0.101,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,VGLL4,Activates,0.098,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,MARCKSL1,Activates,0.091,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,SLC25A39,Suppresses,-0.144,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,APLP2,Suppresses,-0.127,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,PAQR4,Suppresses,-0.127,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,SP5,Suppresses,-0.122,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,BEST1,Suppresses,-0.117,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-UP,MAN2A1,Suppresses,-0.110,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,PPIC,Activates,0.196,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,IFRD1,Activates,0.156,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,MEST,Activates,0.136,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,NR3C1,Activates,0.136,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,DOCK11,Activates,0.113,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,PDCD4,Activates,0.098,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,WDR26,Suppresses,-0.144,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,TPM1,Suppresses,-0.134,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,ANGPT1,Suppresses,-0.110,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,ZBTB46,Suppresses,-0.108,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,TSEN54,Suppresses,-0.096,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
Age-DOWN,DNAJA1,Suppresses,-0.093,"NQO1, HMOX1, GCLC, GCLM, TXNRD1"
