Gene,PRG4_Direction,PRG4_LFC,PRG4_pval,Aging_Role,Mimetic_Score,Interpretation
PMAIP1,UP,1.23,1.27e-07,Antagonist (reverses aging),-0.337,PRG4 boosts anti-aging pathway
NUF2,UP,1.03,3.50e-06,Antagonist (reverses aging),-0.299,PRG4 boosts anti-aging pathway
RBBP6,UP,0.81,1.70e-07,Antagonist (reverses aging),-0.374,PRG4 boosts anti-aging pathway
PLK4,UP,0.95,1.03e-05,Antagonist (reverses aging),-0.333,PRG4 boosts anti-aging pathway
BORA,UP,0.99,5.96e-05,Antagonist (reverses aging),-0.285,PRG4 boosts anti-aging pathway
HSPA1B,UP,0.95,6.76e-05,Antagonist (reverses aging),-0.303,PRG4 boosts anti-aging pathway
RGS20,UP,0.73,9.11e-05,Antagonist (reverses aging),-0.301,PRG4 boosts anti-aging pathway
MED29,UP,0.38,2.87e-06,Antagonist (reverses aging),-0.362,PRG4 boosts anti-aging pathway
RPAP2,UP,0.56,2.17e-04,Antagonist (reverses aging),-0.347,PRG4 boosts anti-aging pathway
JMJD1C,UP,0.53,2.20e-04,Antagonist (reverses aging),-0.295,PRG4 boosts anti-aging pathway
BMP1,DOWN,-0.78,4.79e-18,Mimetic (promotes aging),0.270,PRG4 suppresses pro-aging pathway
MARCKSL1,DOWN,-0.73,6.30e-12,Mimetic (promotes aging),0.239,PRG4 suppresses pro-aging pathway
CTSH,DOWN,-0.60,7.59e-12,Mimetic (promotes aging),0.238,PRG4 suppresses pro-aging pathway
NUDT8,DOWN,-1.25,3.72e-04,Mimetic (promotes aging),0.207,PRG4 suppresses pro-aging pathway
PDIA4,DOWN,-0.76,2.69e-06,Mimetic (promotes aging),0.201,PRG4 suppresses pro-aging pathway
TLCD3A,DOWN,-0.65,7.48e-07,Mimetic (promotes aging),0.197,PRG4 suppresses pro-aging pathway
CDK5,DOWN,-0.63,2.71e-04,Mimetic (promotes aging),0.253,PRG4 suppresses pro-aging pathway
MICALL1,DOWN,-0.44,1.36e-05,Mimetic (promotes aging),0.209,PRG4 suppresses pro-aging pathway
JUND,DOWN,-0.84,5.28e-03,Mimetic (promotes aging),0.236,PRG4 suppresses pro-aging pathway
PAK4,DOWN,-0.57,6.09e-04,Mimetic (promotes aging),0.194,PRG4 suppresses pro-aging pathway
