target_gene,mimetic_score,is_ARE
PABPC1,-0.43712206802721076,False
RBM25,-0.3547095510204081,False
PRPF40A,-0.33811232653061235,False
MTOR,-0.3210266122448979,False
PGK1,-0.309984,False
S100A1,-0.2987251156462585,False
HSPA8,-0.28309420408163277,False
CNOT1,-0.2802161632653061,False
HEXIM1,-0.2769876462585035,False
RPS25,-0.27511880272108846,False
C9orf78,-0.27372527891156456,False
PPP2CB,-0.2617381224489796,True
KPNA6,-0.25399053061224497,False
RBM39,-0.2520367891156462,False
DHX36,-0.25091940136054425,False
DICER1,-0.24746677551020405,False
DNMT1,-0.24443700680272107,False
PSMA3,-0.24416130612244888,False
GAPDH,-0.2431225034013605,False
DGCR8,-0.2428489795918367,False
ALDOA,-0.23691461224489802,False
VPS25,-0.23475374149659867,False
CLNS1A,-0.23231303401360545,False
RBBP6,-0.22844092517006792,False
SNRNP70,-0.2283316462585033,False
PRKCA,-0.22658895238095245,False
WDR70,-0.22559771428571435,False
IPO11,-0.22373692517006818,False
PKM,-0.22310606802721097,False
PTPN1,-0.22263912925170068,False
CDC5L,-0.21741561904761902,False
TTC4,-0.2172149115646258,False
MRPL19,-0.21554405442176877,False
DHX29,-0.21522231292517005,False
ZMAT2,-0.21457338775510193,False
ZNF207,-0.21225730612244897,False
TPR,-0.21170525170068025,False
PSMD14,-0.21134019047619046,False
PTPMT1,-0.21053540136054424,False
UBR4,-0.20983934693877548,False
PI4KA,-0.2084748843537416,False
PSMB6,-0.20795722448979598,False
EIF5A,-0.20557376870748298,False
PSMA6,-0.20520631292517003,False
PPIE,-0.20372157823129247,False
PCF11,-0.2034653605442177,False
EIF2S1,-0.20339493877551026,False
SEH1L,-0.20001251700680284,False
PSME1,-0.2000106122448979,True
ARID5B,-0.1999965170068027,False
PCID2,-0.19950672108843542,False
PSMB2,-0.19799912925170077,False
GEMIN4,-0.1979616870748298,False
INTS3,-0.19787080272108848,False
EXOC5,-0.19744979591836734,False
WDR26,-0.1967568979591838,False
FBXO5,-0.19650873469387767,False
POGZ,-0.19391891156462587,False
DHX16,-0.19377676190476195,False
USF2,-0.19291842176870747,False
PSMA1,-0.1928264489795918,False
MED12,-0.1924082721088434,False
PPP1R2,-0.19213420408163273,False
LIN54,-0.19157785034013608,False
PEX19,-0.19156636734693885,False
MRPS18B,-0.19123907482993205,False
NUP133,-0.19113284353741505,False
SNW1,-0.19094737414965984,False
BUD13,-0.19075820408163272,False
U2AF1,-0.19075602721088436,False
SRSF7,-0.18979047619047623,False
C12orf60,-0.1884417959183673,False
MYC,-0.18774791836734697,False
TMX2,-0.187569850340136,False
NXF1,-0.18575858503401355,False
EIF2B3,-0.1849413877551021,False
PSMD11,-0.18418699319727883,False
MARS,-0.1841762176870748,False
POLR3D,-0.1840464761904762,False
WAC,-0.18397648979591844,False
PPP4C,-0.18355450340136045,False
ARGLU1,-0.18234122448979584,False
NUP93,-0.18151248979591839,False
IST1,-0.18117453061224492,False
CYREN,-0.17990639455782315,False
SNRPC,-0.17912576870748298,False
RARS,-0.179009306122449,False
PUM1,-0.17850514285714297,False
TRMT6,-0.17819385034013602,False
HARS,-0.1781025306122449,False
GEMIN6,-0.17799357823129247,False
PSMD1,-0.1779415510204082,False
PSMA4,-0.17634579591836738,False
SFPQ,-0.17627907482993188,False
HMBOX1,-0.17593414965986398,False
MED1,-0.17499874829931972,False
NUF2,-0.1746353197278912,False
TAF6L,-0.1744796734693877,False
