category,gene,effect,enrichment
Age-UP,PES1,Activates,0.10286168401135291
Age-UP,TMEM214,Activates,0.0864938505203406
Age-UP,NAPA,Activates,0.08260662251655626
Age-UP,NOC4L,Activates,0.07101608325449384
Age-UP,ABCB10,Activates,0.07016688741721851
Age-UP,NOC2L,Activates,0.05902289498580898
Age-UP,PTPMT1,Suppresses,-0.09507360454115427
Age-UP,S100A1,Suppresses,-0.08568855250709562
Age-UP,MRPL38,Suppresses,-0.07895856196783342
Age-UP,MRPS18A,Suppresses,-0.041092904446546785
Age-UP,GTF2F2,Suppresses,-0.029161778618732308
Age-UP,RFT1,Suppresses,-0.010509744560075758
Age-DOWN,WDR26,Activates,0.1168227057710501
Age-DOWN,ARL6IP6,Activates,0.08139716177861878
Age-DOWN,EXOC2,Activates,0.07727379375591294
Age-DOWN,FAM133B,Activates,0.04654380321665085
Age-DOWN,SMG1,Activates,0.025472847682119132
Age-DOWN,UHRF1,Activates,0.01434853358561959
Age-DOWN,PTEN,Suppresses,-0.1928476821192054
Age-DOWN,FAM102B,Suppresses,-0.048328476821192144
Age-DOWN,MED28,Suppresses,-0.04552658467360452
Age-DOWN,TSEN54,Suppresses,-0.032731125827814476
Age-DOWN,PRPF38B,Suppresses,0.005237464522232767
Age-DOWN,DNAJA1,Suppresses,0.010998675496688728
