gene,direction,lfc,pval,role
U2AF1,UP,2.02182164185532,1.2885735714849e-07,Antagonist
FBXO5,UP,1.06284769502705,4.7992845149059e-07,Antagonist
NUF2,UP,1.03243609998322,3.49612167763236e-06,Antagonist
RBBP6,UP,0.810243153292553,1.7028631736029e-07,Antagonist
PSMA1,UP,1.01444194896984,0.0001592075762811,Antagonist
BUB1,UP,0.874005220512604,9.13341823604876e-05,Antagonist
CTCF,UP,0.549653343525115,1.62234506829809e-06,Antagonist
NXF1,UP,0.67048657027121,0.0001118912829533,Antagonist
HSPA8,UP,0.527802648956144,2.16418225349328e-05,Antagonist
CCNA2,UP,0.772765600273022,0.0007044984591131,Antagonist
CADM4,DOWN,-0.834604526309898,4.77857079947085e-08,Mimetic
GUK1,DOWN,-0.751300467904418,7.541781876790831e-09,Mimetic
COTL1,DOWN,-0.732457766000555,5.91189679751102e-08,Mimetic
BRK1,DOWN,-0.739813732527104,1.65726402336875e-07,Mimetic
TP53I13,DOWN,-0.780687457210934,9.34476277970313e-07,Mimetic
HSP90B1,DOWN,-0.618741100264109,1.01870157735455e-07,Mimetic
TMEM258,DOWN,-0.82328062181682,0.0004029929413101,Mimetic
UQCRQ,DOWN,-0.604540993800547,2.39914626612064e-05,Mimetic
C19orf53,DOWN,-0.778161959463946,0.000371719753838,Mimetic
MRPL28,DOWN,-0.716154874422305,0.0003390007611022,Mimetic
