"Method","Tissue","Features_FDR05","Features_P001","Type"
"Original DE (individual stages)","Extramacular",1,NA,"Genes"
"Original DE (individual stages)","Extramacular",0,NA,"Genes"
"Original DE (individual stages)","Extramacular",3,NA,"Genes"
"Original DE (individual stages)","Extramacular",1,NA,"Genes"
"Original DE (individual stages)","Macular",0,NA,"Genes"
"Original DE (individual stages)","Macular",0,NA,"Genes"
"Original DE (individual stages)","Macular",1,NA,"Genes"
"Original DE (individual stages)","Macular",2,NA,"Genes"
"Improved DE: Combined Early","Macular",0,198,"Genes"
"Improved DE: Combined Early","Extramacular",0,215,"Genes"
"Improved DE: Combined Intermediate","Macular",1,147,"Genes"
"Improved DE: Combined Intermediate","Extramacular",0,284,"Genes"
"Improved DE: All Dry AMD","Macular",0,120,"Genes"
"Improved DE: All Dry AMD","Extramacular",1,172,"Genes"
"Improved DE: Combined Early","Meta-analysis",0,115,"Genes"
"Improved DE: Combined Intermediate","Meta-analysis",2,85,"Genes"
"Improved DE: All Dry AMD","Meta-analysis",0,63,"Genes"
"Differential Variability (F-test)","Macular",57,1228,"Genes"
"Differential Variability (F-test)","Extramacular",257,1965,"Genes"
"Age Main Effect","Macular",19,1203,"Genes"
"Age × Disease Interaction","Macular",0,288,"Genes"
"Age Main Effect","Extramacular",592,2238,"Genes"
"Age × Disease Interaction","Extramacular",0,222,"Genes"
"Disease Variance (Age-Adjusted)","Macular",52,1193,"Genes"
"Disease Variance (Age-Adjusted)","Extramacular",285,2024,"Genes"
"Age Variance","Macular",7,568,"Genes"
"Age Variance","Extramacular",0,769,"Genes"
