"model","n_de_genes","stage","tissue"
"No_covariates",0,"MD1","Macular"
"Age",0,"MD1","Macular"
"Sex",0,"MD1","Macular"
"Age_Sex",0,"MD1","Macular"
"No_covariates",0,"MD2","Macular"
"Age",0,"MD2","Macular"
"Sex",0,"MD2","Macular"
"Age_Sex",0,"MD2","Macular"
"Age_Sex_RIN",1,"MD2","Macular"
"No_covariates",2,"dry_AMD","Macular"
"Age",2,"dry_AMD","Macular"
"Sex",0,"dry_AMD","Macular"
"Age_Sex",1,"dry_AMD","Macular"
"Age_Sex_RIN",0,"dry_AMD","Macular"
"No_covariates",0,"GA","Macular"
"Age",0,"GA","Macular"
"Sex",0,"GA","Macular"
"Age_Sex",0,"GA","Macular"
"No_covariates",0,"MD1","Extramacular"
"Age",0,"MD1","Extramacular"
"Sex",0,"MD1","Extramacular"
"Age_Sex",0,"MD1","Extramacular"
"Age_Sex_RIN",0,"MD1","Extramacular"
"No_covariates",3,"MD2","Extramacular"
"Age",0,"MD2","Extramacular"
"Sex",3,"MD2","Extramacular"
"Age_Sex",0,"MD2","Extramacular"
"No_covariates",1,"dry_AMD","Extramacular"
"Age",0,"dry_AMD","Extramacular"
"Sex",0,"dry_AMD","Extramacular"
"Age_Sex",0,"dry_AMD","Extramacular"
"Age_Sex_RIN",0,"dry_AMD","Extramacular"
"No_covariates",0,"GA","Extramacular"
"Age",0,"GA","Extramacular"
"Sex",1,"GA","Extramacular"
"Age_Sex",1,"GA","Extramacular"
