"gene_symbol","mean_control","mean_amd","var_control","var_amd","var_fc","f_pvalue","f_fdr","cv_control","cv_amd"
"RPE65",9.96840818229195,10.8341865219054,4.87022288577013,0.893868957046873,-2.44585284490767,3.55967676554094e-05,0.0162163052652421,0.221385188722542,0.0872650977064591
"CTNNA1",7.18844289959779,7.10156193443136,0.177109175120186,0.467935179560853,1.40166159674062,0.00482643915500791,0.160307625653527,0.0585444381483791,0.0963249757360693
"BEST1",11.7114899903117,12.3783432012975,1.6227963887457,0.547971499785833,-1.56631012109761,0.0056121668154457,0.168707521448907,0.108772679651659,0.0598020994385396
"TIMP3",11.9443062999014,12.44515832754,0.737690746860323,0.305852075018033,-1.27018403127107,0.0229145752223639,0.277497722087095,0.0719078327638721,0.0444380767448852
"COL8A1",10.7133590727776,11.2090292615492,0.339243176799797,0.151380656274425,-1.16414318506307,0.036316074745163,0.330292605268785,0.0543663102370401,0.0347110019672896
"EFEMP1",12.9948390679358,12.7953395462208,0.396046611217822,0.178103750753275,-1.15295597659319,0.0380705353179391,0.336834688829414,0.0484286331779388,0.0329825844957506
"ABCA1",2.45944621343024,2.5192090096385,0.35779956864987,0.179006480895842,-0.999143859319851,0.0708340841533752,0.420715261522292,0.243210544760301,0.167946131307828
"CFH",10.8321659171279,10.9862468175151,0.380098228803165,0.218849081302756,-0.79643977030604,0.147921376308957,0.546585542960694,0.0569157652338304,0.0425816977273654
"C2",2.32124036493818,2.11429991355755,0.30391342129501,0.184447296592437,-0.720456491110536,0.190161948897072,0.596849108534024,0.237495091775848,0.203127792895986
"FLT1",6.19025891727639,6.60154220589109,0.321053950953931,0.496852374512737,0.629997013326381,0.203533513689266,0.609265094145531,0.0915335117686775,0.106774664341373
"GPX1",12.9820120977771,13.1593943122865,0.184397425181615,0.115007975777288,-0.681092419551287,0.215420218980025,0.621850072358105,0.0330777060380216,0.0257708086539352
"CFH",9.93920610687392,10.1490709792223,0.447917292210139,0.280842502604989,-0.673474295449922,0.22058430273514,0.626565667128276,0.0673359783110509,0.0522161785317345
"VEGFA",5.56750035552235,5.80118670877891,0.398263399708153,0.255001432075307,-0.643221175784539,0.24202251001798,0.646014096817377,0.113350872375168,0.0870471169408604
"C9",1.86462786940232,1.73000502121022,0.154596289852193,0.099167523224538,-0.640575399497276,0.243972172666151,0.647522343489844,0.210866276644313,0.182027547850452
"HMOX1",10.0128024841582,10.0567578720896,1.71915540663873,1.17522566278199,-0.548763000605969,0.318725334707448,0.706320244014332,0.130948906487197,0.107795987624279
"NFE2L2",8.80932082690416,8.64236118134724,0.142044400155707,0.100290964445453,-0.50216047911606,0.362192500923944,0.736219986600263,0.0427828372398091,0.0366436259429095
"CFB",7.14015462052717,7.00323008126133,1.01141728689726,1.33669701141007,0.402292718977475,0.41192289330859,0.769388120160913,0.140850213209952,0.165088960059145
"LIPC",2.52039276253703,2.60871848320708,0.235906033416602,0.310370291047752,0.395772035688902,0.419278317003851,0.774063895765395,0.192708614056572,0.213556448596634
"VEGFA",5.66849628923375,6.25418762940471,0.476829883140728,0.361297304205575,-0.400291188323684,0.470165306827692,0.802769395534373,0.121818651935508,0.0961084083402268
"C2",9.16967292067066,9.19085480713933,0.218729836479853,0.16744470953766,-0.38547183018281,0.487328774514401,0.812077304561783,0.0510035167211312,0.0445225225544226
"KDR",3.12828921300649,3.27261441111865,0.323218449404394,0.407142052775922,0.333018228440208,0.493836932574931,0.81607309523707,0.181736029394368,0.194974587320359
"ABCA1",3.03032437059124,3.16129652519532,0.272615195053684,0.210490699059642,-0.37311478309756,0.501907737303936,0.820503079324616,0.17230019446251,0.145127957748792
"VEGFA",5.04101298221061,5.35921886924497,0.43979545809719,0.341502391626146,-0.364940303385709,0.511684927566131,0.826738808605912,0.131555033020857,0.109042374430481
"CFH",5.30205697340903,5.37939394977183,0.496959937561429,0.395906630959136,-0.327972225639804,0.557213244457089,0.850960741339466,0.13295853392246,0.116966893829286
"C2",5.82940942689749,5.85266984105132,0.281917495223661,0.228563356563847,-0.302684000601087,0.589544368584264,0.864608589336829,0.0910828016192427,0.0816862958357914
"KDR",5.59815793812209,5.38156930489463,0.307171698530196,0.362278708308111,0.238050023608426,0.61836559954868,0.875642642583298,0.0990023207498938,0.11184392176197
"C3",10.1711007214401,10.1890476814666,0.955071586058597,1.1076151384515,0.213774389075368,0.652160831427293,0.889550716295701,0.0960837544424599,0.10329060095809
"SOD2",9.08316750961155,9.39877457117418,1.04890815072809,1.15931118709083,0.14437814544348,0.752276257704072,0.925518771486179,0.112753844547481,0.114558873379112
"APOE",11.6591716800864,11.7184688068979,0.126205465462087,0.139426053828072,0.143714354991367,0.753240653217962,0.925650994993531,0.0304699223114639,0.031864056426579
"CTNNA1",8.57222715582265,8.63120919385107,0.075467503093189,0.0670356718445307,-0.170945654348253,0.771453262050649,0.932749840183761,0.0320469179944773,0.0299972394723224
"CFI",8.97862171430405,9.22408974946752,0.324021326694573,0.350485310749568,0.113260755309312,0.798534689118163,0.94204759894817,0.0633982215564984,0.0641817188002469
"CETP",5.18250774537779,5.1494895473994,0.82076216213762,0.879850200550365,0.100291936996492,0.818013608069203,0.948140048365627,0.174810944703065,0.182154583362681
"VEGFA",7.95819931513639,8.41523285795659,0.473119839065313,0.505595272862789,0.0957742677404414,0.824818980327563,0.950158104335256,0.0864312339241019,0.0844958371153438
"HTRA1",11.5296760125808,11.6732447807739,0.480130102010917,0.460795034396209,-0.0593032240157544,0.938260733501617,0.984937781918971,0.0600983192286115,0.0581516799324695
"NFE2L2",3.16445307268065,2.95819631786622,0.171026881041258,0.164212622342285,-0.0586665077169442,0.939239703446958,0.985132459486448,0.130687301626771,0.136985982602557
"C2",4.39174993017006,4.33730252677196,0.514864897651846,0.520385385920771,0.015383731334181,0.947336420536823,0.987486162815187,0.163383780111614,0.166319331401493
"SOD2",3.10166293815531,3.28295367126984,1.01710721732557,0.983453675133085,-0.0485441837539322,0.954677973738668,0.989053913682046,0.325153645354307,0.302073110404272
"ABCA1",6.37636109494477,6.64363771793866,0.291859294324644,0.29102148768497,-0.00415227599160657,0.977307310930743,0.994322677732422,0.084725432142177,0.0812000919092066
"CFI",5.02542245761063,5.15861390428046,0.505220850158099,0.496728805618653,-0.0244586230717124,0.991543633625965,0.997504330233458,0.141438606878957,0.13662386412527
