"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS",1.04712841541294e-10,4.11730892940367e-07,0.839088935621274,-0.451799627095438,-2.0632658543605,209,"RPE65, PDE6C, RLBP1, ARL6, SFRP5"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",4.00235883398615e-10,7.86863746761677e-07,0.814035837847908,0.481179288261801,1.74659746332321,371,"RPS6, ZNF622, XRN2, RPS3A, XRCC5"
"GOBP_DETECTION_OF_LIGHT_STIMULUS",2.46362786640475e-09,3.22899492356783e-06,0.774939030136436,-0.632105136449634,-2.38433101336067,66,"RPE65, PDE6C, TTR, SLC24A4, OPN4"
"GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",6.14363606065158e-09,6.0391942476205e-06,0.761460801445585,0.463612805722827,1.68669527472093,408,"PSMC6, TRIP12, CDC16, WWP2, PSEN1"
"GOBP_RIBOSOME_BIOGENESIS",1.22010160596446e-08,9.59487902930451e-06,0.747739663149885,0.504628880164789,1.80199444416238,258,"RPS6, ZNF622, XRN2, RPS3A, XRCC5"
"GOBP_CYTOPLASMIC_TRANSLATION",3.82931345989945e-08,2.50947675405411e-05,0.719512826338911,0.553778323881351,1.90760724689044,157,"RPS6, RPS3A, DRG1, RPL22, EIF3F"
"GOBP_RNA_SPLICING",1.17572257877145e-07,5.87829838889708e-05,0.704975715167238,0.457060167189094,1.65661221936494,365,"DHX15, PPP1R8, RBM38, TAF15, HNRNPA1L2"
"GOBP_PHOTOTRANSDUCTION",1.19599153385495e-07,5.87829838889708e-05,0.690132458796796,-0.669248552116615,-2.35340647677861,47,"PDE6C, TTR, SLC24A4, OPN4, RRH"
"GOBP_GOLGI_VESICLE_TRANSPORT",1.63051056876297e-07,6.76167394013702e-05,0.690132458796796,0.474481028826603,1.70544983181381,282,"SEC13, RABGGTB, RAB1A, IER3IP1, COPB1"
"GOBP_DETECTION_OF_ABIOTIC_STIMULUS",1.71965257887513e-07,6.76167394013702e-05,0.690132458796796,-0.455821150009401,-1.92525750454508,137,"RPE65, PDE6C, TTR, SLC24A4, OPN4"
"GOBP_TRANSLATIONAL_INITIATION",7.60273216417846e-07,0.000271763116995906,0.659444398037935,0.565494241600887,1.88631412164414,113,"EIF4G2, RPS3A, COPS5, BANK1, EIF3F"
"GOBP_RRNA_PROCESSING",9.35202880801298e-07,0.000306434810609225,0.659444398037935,0.516876254929236,1.80275288164623,181,"RPS6, XRN2, EXOSC7, PRKDC, PA2G4"
"GOBP_RRNA_METABOLIC_PROCESS",2.13583589782235e-06,0.000646008211556729,0.627256739718528,0.480604004833644,1.69762661018851,215,"RPS6, XRN2, EXOSC7, PRKDC, PA2G4"
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS",3.45104076566964e-06,0.000969249449329502,0.627256739718528,0.575521525968817,1.86614371354841,91,"RPS6, RPS3A, XRCC5, PRKDC, NPM1"
"GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",3.74338804695745e-06,0.000981266786709113,0.627256739718528,0.470346453416301,1.67115246052838,251,"DHX15, HNRNPA1L2, DDX5, HNRNPK, SON"
"GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS",5.89916015689705e-06,0.00144971860855745,0.610526878385931,0.466556402384952,1.65679020393574,242,"CAPRIN1, RBM38, CDK9, TAF15, DDX5"
"GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS",6.49413981701012e-06,0.00150205633885199,0.610526878385931,0.470758144894576,1.66164152328376,213,"PSMC6, PSEN1, TLK2, PSMC2, DAB2IP"
"GOBP_PROTEIN_POLYUBIQUITINATION",8.64703488074893e-06,0.00188889673061693,0.593325476396405,0.464342659262476,1.64870956378609,245,"TRIP12, CDC16, WWP2, GPS2, TOPORS"
"GOBP_REGULATION_OF_TRANSLATION",1.34475843914226e-05,0.00278294220142493,0.593325476396405,0.434433116521218,1.56615646217741,306,"CAPRIN1, EIF4G2, MTPN, BANK1, PRKDC"
"GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",1.83375447637925e-05,0.00348412643513134,0.575610261071129,0.497252274415253,1.71289124420573,157,"PSEN1, TLK2, CEBPA, RPL11, SUMO2"
