"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_PROTEIN_FOLDING",1.88844710499923e-06,0.00742537401685696,0.643551836150722,-0.451683280708352,-1.80631352835033,199,"HSPH1, BAG1, BAG3, CHORDC1, HSPA4"
"GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING",2.89758764821598e-05,0.0569665731639263,0.575610261071129,-0.566374168480679,-1.9428952299789,67,"HSPH1, BAG1, CHORDC1, DNAJB1, DNAJC7"
"GOBP_PROTEIN_REFOLDING",0.000182912049905293,0.20478256976726,0.518848077743792,-0.68393622798279,-1.96746586608259,27,"CRYAB, HSPA6, DNAJA1, SNRNP70, DNAJB2"
"GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN",0.000255860803140681,0.20478256976726,0.49849310876659,-0.434716902713215,-1.67328067036351,150,"HSPH1, BAG3, HSPA4, DNAJB1, SERPINH1"
"GOBP_DE_NOVO_PROTEIN_FOLDING",0.000260405098890208,0.20478256976726,0.49849310876659,-0.651687374287868,-1.94922797044625,32,"HSPH1, BAG1, DNAJB1, DNAJC7, HSPA6"
"GOBP_DE_NOVO_POST_TRANSLATIONAL_PROTEIN_FOLDING",0.000393130703998316,0.251347121557712,0.49849310876659,-0.666484541250626,-1.91726294284753,27,"HSPH1, BAG1, DNAJB1, DNAJC7, HSPA6"
"GOBP_TYPE_B_PANCREATIC_CELL_DIFFERENTIATION",0.000447464356791451,0.251347121557712,0.49849310876659,-0.641739445262825,-1.87125901795877,29,"BMP5, PAX6, BMP6, AKT1, BAD"
"GOBP_PROTEIN_POLYUBIQUITINATION",0.000858047238901372,0.421730217920024,0.477270815362862,0.362881081783544,1.52632041026222,245,"HDAC6, IRF2BP1, RFFL, LRSAM1, UBE2Q2"
"GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT",0.00124777425958737,0.54513870985528,0.45505986738723,-0.678182604696566,-1.83305525532465,22,"TCF21, ADIPOQ, GREM1, WNT9B, NPHS2"
"GOBP_DOUBLE_STRAND_BREAK_REPAIR",0.00172876482625666,0.679750329684118,0.45505986738723,0.341189497567039,1.43793525344747,250,"MAGEF1, BLM, UHRF1, ATR, ERCC6"
"GOBP_KERATINOCYTE_MIGRATION",0.00240759977125317,0.774288446099625,0.431707695803346,0.656056771089973,1.78916280825366,19,"MAP4K4, IQSEC1, FGF7, KRT16, PTEN"
"GOBP_ENAMEL_MINERALIZATION",0.00255330225943087,0.774288446099625,0.431707695803346,-0.681792263015686,-1.79223467970538,19,"AMELX, MMP20, TBX1, DMP1, ENAM"
"GOBP_NEURON_RECOGNITION",0.00268210239358691,0.774288446099625,0.431707695803346,0.533566871462528,1.73357322642433,45,"ROBO3, EPHA3, IGSF9, CNTN2, CNTN4"
"GOBP_TYPE_B_PANCREATIC_CELL_DEVELOPMENT",0.0027568764611889,0.774288446099625,0.431707695803346,-0.658630779926534,-1.78020875808674,22,"BMP5, BMP6, AKT1, BAD, GSK3B"
"GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT",0.00323426486003369,0.847808628643499,0.431707695803346,-0.49457059049579,-1.62479077724737,58,"TCF21, ADIPOQ, GREM1, WNT9B, BASP1"
"GOBP_AMELOGENESIS",0.00470907625910833,0.865743275878081,0.407017918923954,-0.621016182621341,-1.72096542860591,24,"AMELX, MMP20, TBX1, DMP1, ENAM"
"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN",0.00471159313189241,0.865743275878081,0.407017918923954,-0.695312213532273,-1.77188599284779,17,"COX7A2, COX6B1, COX5B, COX5A, COX7C"
"GOBP_ENTEROENDOCRINE_CELL_DIFFERENTIATION",0.00482013241500188,0.865743275878081,0.407017918923954,-0.58325071865074,-1.77708089446518,35,"BMP5, PAX6, BMP6, AKT1, RBM4"
