"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00025411132756365,0.0127055663781825,0.49849310876659,-0.410496202380497,-1.62968491073793,179,"NDUFB8, NDUFV1, UQCRC1, COX7A2, ISCU"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00446371158408764,0.111592789602191,0.407017918923954,0.354028253423723,1.46806484795432,191,"SERPING1, TOR1B, SOCS1, OAS2, C1R"
"HALLMARK_HEME_METABOLISM",0.0105949846607873,0.176583077679788,0.380730400722792,0.34797823649989,1.42775092759098,184,"GYPE, FN3K, NNT, PSMD9, OSBP2"
"HALLMARK_ANDROGEN_RESPONSE",0.0290714196125209,0.363392745156511,0.352487857583619,0.379542833963334,1.40866766563946,96,"ACTN1, LMAN1, NDRG1, APPBP2, HERC3"
"HALLMARK_MITOTIC_SPINDLE",0.0437307211476833,0.437307211476833,0.321775918075361,0.306415749085791,1.27076490841396,193,"HDAC6, VCL, PIF1, CEP250, RACGAP1"
"HALLMARK_KRAS_SIGNALING_DN",0.0646258503401361,0.450496204264768,0.231126709673834,-0.314359153204115,-1.25736780196463,186,"EDAR, TEX15, IFNG, IDUA, HTR1D"
"HALLMARK_BILE_ACID_METABOLISM",0.0666666666666667,0.450496204264768,0.234392647294686,-0.351560573281346,-1.29978844457863,112,"PEX16, PEX7, OPTN, IDH2, PEX1"
"HALLMARK_COAGULATION",0.0795053003533569,0.450496204264768,0.211400189384923,-0.32985116669184,-1.25559755041371,136,"OLR1, TFPI2, F13B, THBD, ISCU"
"HALLMARK_UV_RESPONSE_DN",0.0810893167676583,0.450496204264768,0.287805130535564,0.325514640214417,1.27305843509031,134,"ATRN, PEX14, CDC42BPA, RUNX1, DYRK1A"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0995575221238938,0.480153649167734,0.211400189384923,0.330294975411142,1.21882772515832,90,"CNP, SAMD9, TDRD7, IFIT2, OAS1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.105633802816901,0.480153649167734,0.181383128498408,-0.332379298544432,-1.22184796243026,105,"BAG3, FUS, IMP3, ZBTB17, HSPA9"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.124721603563474,0.519673348181143,0.188204146308491,0.328239330681271,1.20343491822886,87,"PIK3R5, SOCS1, EBI3, CSF2RB, PIM1"
"HALLMARK_UV_RESPONSE_UP",0.137323943661972,0.528169014084507,0.157402899305283,-0.306476838440348,-1.18268154182264,152,"DNAJB1, DNAJA1, FKBP4, FMO1, MMP14"
"HALLMARK_DNA_REPAIR",0.208480565371025,0.620629370629371,0.125033367555272,-0.295207449900753,-1.12372423804567,136,"TAF13, GTF2B, UMPS, POLR2G, MPG"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.212224108658744,0.620629370629371,0.120985142145252,-0.276198052260543,-1.10736212408183,194,"OLR1, CD69, DUSP5, RIPK2, SERPINE1"
"HALLMARK_ANGIOGENESIS",0.217472118959108,0.620629370629371,0.12563992130984,-0.389880700326002,-1.19223152679061,36,"OLR1, THBD, PRG2, PDGFA, APOH"
"HALLMARK_MTORC1_SIGNALING",0.223168654173765,0.620629370629371,0.11776578836269,-0.276654245089157,-1.10822230227687,190,"HSPA4, SERPINH1, HSPE1, GPI, HSPD1"
"HALLMARK_FATTY_ACID_METABOLISM",0.234154929577465,0.620629370629371,0.116739204791222,-0.285537301949711,-1.10187672985765,152,"HSPH1, MCEE, FABP2, CPT2, ACADS"
"HALLMARK_GLYCOLYSIS",0.243567753001715,0.620629370629371,0.112378519110475,-0.273642651092405,-1.09518960299381,192,"FAM162A, B3GALT6, KIF20A, IDUA, FKBP4"
"HALLMARK_SPERMATOGENESIS",0.248251748251748,0.620629370629371,0.112378519110475,-0.291314706335026,-1.10100062219779,127,"ELOVL3, ZNRF4, MEP1B, AKAP4, TNP1"
"HALLMARK_G2M_CHECKPOINT",0.268585131894484,0.639488409272582,0.128788713061714,0.262898386271012,1.07684468750729,179,"TNPO2, TROAP, PRMT5, RACGAP1, PTTG1"
"HALLMARK_TGF_BETA_SIGNALING",0.296380090497738,0.673591114767585,0.11776578836269,0.320602368528063,1.07750016053796,54,"SMURF2, TRIM33, RHOA, SMURF1, SKI"
"HALLMARK_XENOBIOTIC_METABOLISM",0.326876513317191,0.710601115906938,0.115734447701689,0.251644875831942,1.04426591812203,194,"SLC6A6, NQO1, ALDH2, TAT, GSTM4"
"HALLMARK_P53_PATHWAY",0.370748299319728,0.772392290249433,0.0865399737444125,-0.259873858899425,-1.04019581294328,188,"FAM162A, ISCU, TRAF4, DNTTIP2, TM4SF1"
"HALLMARK_HEDGEHOG_SIGNALING",0.45374449339207,0.890960585319802,0.0897104652742981,0.326778818476607,1.00807435985872,35,"VLDLR, L1CAM, ACHE, PML, NF1"
"HALLMARK_IL2_STAT5_SIGNALING",0.466183574879227,0.890960585319802,0.0934449219410994,0.240800704452503,0.992749741063239,188,"PDCD2L, SOCS1, APLP1, NDRG1, PLAGL1"
"HALLMARK_ALLOGRAFT_REJECTION",0.517826825127334,0.890960585319802,0.0689567351672811,-0.244304450086028,-0.979490957867829,194,"IFNG, GALNT1, RIPK2, CRTAM, TRAT1"
"HALLMARK_PEROXISOME",0.533482142857143,0.890960585319802,0.0815265143256594,0.257216316111909,0.966097807275052,101,"CTBP1, CNBP, PEX14, ACOT8, EHHADH"
"HALLMARK_NOTCH_SIGNALING",0.540441176470588,0.890960585319802,0.0707899094502623,-0.313301852595453,-0.936170731542327,32,"WNT2, JAG1, NOTCH1, NOTCH3, KAT2A"
"HALLMARK_PROTEIN_SECRETION",0.587443946188341,0.890960585319802,0.0766746872490091,0.253805544568175,0.942189268946009,94,"LMAN1, AP1G1, GLA, PPT1, PAM"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.629692832764505,0.890960585319802,0.0597317976364411,-0.234118354017559,-0.938339034744961,193,"BAG1, IMPA2, TFPI2, CALCR, KIF20A"
"HALLMARK_APOPTOSIS",0.634315424610052,0.890960585319802,0.0601186142531851,-0.239299350555941,-0.931553207283061,158,"PMAIP1, CD69, DNAJA1, DIABLO, GCH1"
"HALLMARK_ADIPOGENESIS",0.637469586374696,0.890960585319802,0.0766746872490091,0.228055964743511,0.935711148146207,184,"GPHN, RNF11, MAP4K3, PTCD3, PHYH"
"HALLMARK_INFLAMMATORY_RESPONSE",0.658031088082902,0.890960585319802,0.0582216241124161,-0.232112016046092,-0.929490046245023,197,"OLR1, CD69, KCNA3, RIPK2, SERPINE1"
"HALLMARK_PANCREAS_BETA_CELLS",0.66120218579235,0.890960585319802,0.0605092988656667,-0.283982701642923,-0.8918468124874,40,"PAX6, SEC11A, PAK3, CHGA, SPCS1"
