"gene","mean_control","mean_amd","var_control","var_amd","cv_control","cv_amd","f_stat","f_pvalue","levene_pvalue","extreme_freq_control","extreme_freq_amd","f_fdr","levene_fdr","var_fc","cv_diff"
"12",3.12151858561124,2.61236325658013,0.573819643703184,0.315065665874324,0.242673101962374,0.214865558416753,0.549067410521233,0.0960936319573667,0.105983834180286,0.06,0,0.604742409163661,0.985956148812927,-0.86494732532528,-0.0278075435456213
"13",2.0390996407892,2.03593393476435,0.18581512046245,0.0980545471532431,0.211398482038656,0.15380483021732,0.527699505342776,0.0764516941460357,0.065053277913302,0.06,0,0.568741309918076,0.985956148812927,-0.92221922783679,-0.0575936518213365
"14",4.62453254986979,4.42215246200888,0.191229188420389,0.151716695020727,0.0945603686023579,0.0880811298641062,0.793376242789883,0.523970229352082,0.120704401136567,0.02,0.0357142857142857,0.89657440813136,0.985956148812927,-0.333930441762305,-0.00647923873825171
"15",2.25495839283351,2.19414978251508,0.212376357992225,0.243740341135866,0.20436868895698,0.225007626357619,1.1476811422898,0.660670001377231,0.737910977717146,0.04,0.0357142857142857,0.936044059225989,0.994918038680559,0.198715083824862,0.020638937400639
"16",8.21156449631296,7.8161048996872,0.954957164783956,0.371895728508954,0.119005212596123,0.0780225535826527,0.389437078670529,0.0100864734608505,0.0391166506050686,0.06,0.0357142857142857,0.334047695243775,0.985956148812927,-1.36053935468033,-0.0409826590134704
"17",2.12029201332871,1.97275431863514,0.412015781605509,0.244585304865519,0.302733891352995,0.250692855520461,0.593630913632578,0.146846681006788,0.590928764836048,0.04,0,0.674236041850472,0.99090443813819,-0.752365373440977,-0.052041035832534
"18",2.94834905823165,2.76870622219164,0.344413769036885,0.289675964965667,0.199049552978669,0.194392362375501,0.84106964067004,0.638465427012114,0.854429861683026,0.04,0,0.931117017919661,0.997106104691888,-0.24970702297023,-0.00465719060316752
"19",11.5108102900737,11.5211280676066,0.153883455119602,0.661036365452114,0.0340792501492119,0.0705695964640968,4.29569484866543,9.64351450249978e-06,0.748994737885141,0,0.0357142857142857,0.0146438553556478,0.995202367568442,2.10288213767307,0.0364903463148849
"20",2.06946964452775,2.02317541140778,0.227635661271308,0.278735710229924,0.230547745351873,0.260953155688132,1.22448173837627,0.527646812156967,0.583343841522687,0.04,0.0714285714285714,0.898068336035847,0.99090443813819,0.292164920334859,0.0304054103362588
"21",1.89921485297096,1.8254006578014,0.251104331283313,0.232317946831617,0.263847373450471,0.264048034951015,0.925184944617701,0.846067000999746,0.743618582970921,0.06,0.0714285714285714,0.974840912421022,0.994918038680559,-0.112192050850567,0.000200661500543375
"22",11.239277913851,11.2044095321643,0.190309723090855,1.02695524865043,0.0388143251698466,0.090445454678525,5.39623111195508,3.46845064003176e-07,0.879496903530243,0,0.0357142857142857,0.00110513130803834,0.997758924294306,2.43194455717818,0.0516311295086784
"23",2.12665965267941,1.79311662956114,0.308992305900135,0.111194771924003,0.261381975994624,0.185965937450017,0.359862591400386,0.00552775714754054,0.140169943428287,0.06,0,0.260499446289288,0.985956148812927,-1.47448662554541,-0.0754160385446067
"24",6.63280077088866,6.52520330222347,0.223921888535694,0.125918838590041,0.0713429816693982,0.0543815072984361,0.562333764749259,0.109800835430627,0.0564493533492924,0.06,0,0.627425138326201,0.985956148812927,-0.830507863111565,-0.0169614743709621
"26",4.52019692860834,4.48860804844306,0.866521152053357,0.309289762412664,0.205935933290604,0.123899910274827,0.356932732316752,0.00518558250450009,0.0256526062771024,0.06,0,0.25630231029478,0.985956148812927,-1.48627755081794,-0.0820360230157767
"27",4.38681821419229,4.4358607913474,0.371569122162567,0.30163444284705,0.138953685837406,0.123811920210993,0.811785546364858,0.567593612584644,0.481822534368382,0.1,0.0357142857142857,0.910851231593033,0.990188431477849,-0.30083332414577,-0.0151417656264131
