"gene","agilent_id","gene_symbol","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
12,12,"APOBEC3B",0.00134455053445827,-0.569188468705124,0.47935961871132,0.650520210746681,-0.0775055786302025,0.96274163214143,0.00703371270071819,-0.323347023667663,0.431629743504714
13,13,"",0.797793595460675,0.0262197882100367,0.969200640258257,0.783239726163874,0.043088812104933,0.980796745939362,0.918688162411406,0.0346543001574849,0.984094967155119
14,14,"ATP11B",0.060317860859396,-0.207842435836288,0.65436503637513,0.971515993829658,-0.00496549978227027,0.998536963430324,0.224848743793032,-0.106403967809279,0.773265549853841
15,15,"LOC100132006",0.793888248528215,-0.031563157711378,0.968332235704788,0.502547396119092,-0.0998230335735668,0.937079670167448,0.765567944344178,-0.0656930956424724,0.954022239996088
16,16,"DNAJA1",0.444886796046843,-0.155798420221366,0.879224416899149,0.175329455350369,-0.312718942998096,0.833411306258842,0.276986112191186,-0.234258681609731,0.80142475591548
17,17,"",0.240745556761359,-0.176492535472613,0.793117278569084,0.580973185358932,0.0821547930897706,0.950632522684814,0.414993679086034,-0.0471688711914212,0.855703677645202
18,18,"EHMT2",0.177501332666176,-0.195156700675973,0.755756450983446,0.341508562215104,0.141056413898477,0.902726297564768,0.230540789459217,-0.027050143388748,0.779083724216625
19,19,"RPL23",0.583686602830559,0.0795441440883515,0.922522289659339,0.205371081589981,0.147482344466002,0.846848470802495,0.374160902522002,0.113513244277177,0.841495375464682
20,20,"",0.596666584337297,-0.0671754853182681,0.925832849534234,0.758837508167024,0.0432127760740248,0.97758559586306,0.811534186088179,-0.0119813546221216,0.963470746330578
21,21,"LOC344178",0.659547578840237,-0.0557814580197252,0.940491164548487,0.662493998204722,-0.0514315486064725,0.963747300822935,0.798713803672305,-0.0536065033130989,0.961429962436937
22,22,"RPS13",0.943964993208247,0.0122876844469468,0.992933272908816,0.077523361171504,0.226065558294365,0.764262924824328,0.264531759535394,0.119176621370656,0.795947942196855
23,23,"",0.00291771041392234,-0.378962501222711,0.516685087981613,0.090314748029358,-0.21818159266935,0.775849015441627,0.00243522518142353,-0.298572046946031,0.35370893802664
24,24,"HDDC3",0.253822260871075,-0.128458832614147,0.800331669285095,0.118931635410853,0.177842953069179,0.80155687549792,0.135853619865403,0.024692060227516,0.712473780356432
26,26,"",0.517012256666754,-0.130089199383833,0.903908184466581,0.941224341299974,-0.0140320926055155,0.995457330852256,0.83712189412027,-0.0720606459946743,0.968672320471073
27,27,"LOC150759",0.644682228571931,0.0684420326862765,0.938468715478401,0.0546517020401731,-0.273469590067899,0.740852770447067,0.153114526304916,-0.102513778690811,0.724527473164914
28,28,"",0.52783825113752,-0.0676804219730776,0.906608636831283,0.11384923338141,0.179758492990582,0.796635756819429,0.229068974459912,0.0560390355087522,0.777970699154101
29,29,"UNQ353",0.923164910572364,-0.00911835920866812,0.989201466144702,0.902706220534901,0.0161694832867165,0.990789855225029,0.98527040225977,0.00352556203902419,0.997114173046938
30,30,"ITPRIPL2",0.817799877425135,0.0224807795388365,0.972774477840251,0.0226676199788372,0.278844306127329,0.662800194390696,0.0924646069925186,0.150662542833083,0.660611582285024
31,31,"MEGF11",0.693619486274404,0.0737370610444761,0.947082851190842,0.255929468704068,0.25481910965195,0.874169856891038,0.484389819813573,0.164278085348213,0.880650764089648
