"gene","agilent_id","gene_symbol","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
12,12,"APOBEC3B",0.00208697532847392,-0.690498700945352,0.909984184349076,0.330351059559965,-0.198363001374199,0.944102565694778,0.00570826875908425,-0.444430851159776,0.652172487123359
13,13,"",0.430653114979239,0.100951942275619,0.959715814077399,0.662789905998688,0.0849440763914376,0.977154060345043,0.643293459852938,0.0929480093335283,0.972134701454713
14,14,"ATP11B",0.0304582561881606,-0.307005909269597,0.932337304308334,0.907246950624042,-0.019422968494245,0.995905042991326,0.126801353027104,-0.163214438881921,0.890188677266627
15,15,"LOC100132006",0.890928507754337,0.0204137668908797,0.991266259052853,0.989261531709524,-0.00239242953550543,0.999376679818649,0.992666334149086,0.00901066867768714,0.998658283852199
16,16,"DNAJA1",0.428112355441702,-0.205395503008064,0.959715814077399,0.123397377282828,-0.451900366960539,0.89022171962459,0.208179864251649,-0.328647934984302,0.914518141420234
17,17,"",0.321562827988817,-0.187594640572472,0.951087023952563,0.580266993406409,0.106733359930424,0.969581870228607,0.499848904471555,-0.040430640321024,0.96058062972819
18,18,"EHMT2",0.144943099483025,-0.256011099812024,0.932337304308334,0.458207553466411,0.132283187029965,0.958269604519381,0.246518695701935,-0.0618639563910295,0.924595241985947
19,19,"RPL23",0.300327701153943,-0.119704925985132,0.948453194766465,0.792487546583197,0.0322752477150835,0.98902440930127,0.579653895867856,-0.0437148391350242,0.967886202834172
20,20,"",0.492845009098553,-0.103683105133148,0.963769568130646,0.602812579283268,0.0941623771735397,0.97084865073526,0.657677969918182,-0.00476036397980415,0.973566456811522
21,21,"LOC344178",0.309667003922882,-0.150998036482606,0.949715689935931,0.884255352551252,0.0204644238092272,0.994052792690256,0.628500848477056,-0.0652668063366894,0.970497119655505
22,22,"RPS13",0.0349150289335877,-0.266857646118894,0.932337304308334,0.598469447824399,0.0735781493556823,0.970558282888026,0.10172422345255,-0.0966397483816059,0.874659941537275
23,23,"",0.0141714842816047,-0.389666103084346,0.909984184349076,0.104922568554352,-0.262302171435284,0.875105392902103,0.0111682534306761,-0.325984137259815,0.707725487879014
24,24,"HDDC3",0.204894996735282,-0.178807189012155,0.932337304308334,0.214010919370014,0.173469567085953,0.922042400240936,0.180967367805461,-0.002668810963101,0.911812376704907
26,26,"",0.633980967016038,-0.118435702795099,0.970713576652037,0.598650330174222,0.1239752738138,0.970558282888026,0.747229699034375,0.0027697855093505,0.979895015525648
27,27,"LOC150759",0.911581391193632,0.0214155601713397,0.993054732491105,0.0671475630636805,-0.322689713308737,0.861359041696931,0.232198060331198,-0.150637076568699,0.921825986782248
28,28,"",0.759012687776299,0.0407894167726495,0.982866937747502,0.352087628584245,0.131969675722605,0.947315433509199,0.619890731892183,0.0863795462476273,0.970177399684086
29,29,"UNQ353",0.904431117984258,-0.0139852736009372,0.991833182508484,0.829241285665078,0.0366765718772307,0.991279918760218,0.965759144400267,0.0113456491381468,0.99646183196841
