target_ensembl_id,concordance_r,pval
ENSG00000198952,0.89234036,0.0
ENSG00000133858,0.84954333,0.0
ENSG00000044574,0.7669534,0.0
ENSG00000137200,0.6740283,0.0
ENSG00000113013,0.67256826,0.0
ENSG00000099821,0.67177045,0.0
ENSG00000204152,0.6627145,0.0
ENSG00000198258,0.649514,0.0
ENSG00000151247,0.6479867,0.0
ENSG00000205571,0.6476385,0.0
ENSG00000164941,0.64653397,0.0
ENSG00000151461,0.644354,0.0
ENSG00000156502,0.6328187,0.0
ENSG00000204394,0.62209165,0.0
ENSG00000204560,0.62205267,0.0
ENSG00000100804,0.6212889,0.0
ENSG00000125352,0.6200911,0.0
ENSG00000183258,0.6195141,0.0
ENSG00000189091,0.6189232,0.0
ENSG00000100353,0.61560756,0.0
ENSG00000134597,0.61530375,0.0
ENSG00000125107,0.6094683,0.0
ENSG00000087365,0.6085922,0.0
ENSG00000117682,0.6062245,0.0
ENSG00000182004,0.6022528,0.0
ENSG00000197734,0.60086393,0.0
ENSG00000119718,0.6000481,0.0
ENSG00000167085,0.59712476,0.0
ENSG00000149100,0.59625953,0.0
ENSG00000169976,0.5960683,0.0
ENSG00000107862,0.59457254,0.0
ENSG00000145191,0.5941666,0.0
ENSG00000164609,0.59015906,0.0
ENSG00000173674,0.58998936,0.0
ENSG00000172053,0.58715564,0.0
ENSG00000101166,0.5866607,0.0
ENSG00000167088,0.583002,0.0
ENSG00000170445,0.5829156,0.0
ENSG00000175467,0.5818827,0.0
ENSG00000108506,0.58067787,0.0
ENSG00000198793,0.57992744,0.0
ENSG00000164167,0.57715285,0.0
ENSG00000148840,0.5726506,0.0
ENSG00000138035,0.5710926,0.0
ENSG00000142507,0.5706269,0.0
ENSG00000100216,0.5698006,0.0
ENSG00000119707,0.5694793,0.0
ENSG00000100567,0.56594384,0.0
ENSG00000103342,0.5658497,0.0
ENSG00000115211,0.5628946,0.0
ENSG00000114867,0.56240577,0.0
ENSG00000137656,0.5623957,0.0
ENSG00000165630,0.55909276,0.0
ENSG00000179115,0.55795676,0.0
ENSG00000215021,0.5559994,0.0
ENSG00000163872,0.55547225,0.0
ENSG00000139343,0.55513257,0.0
ENSG00000174243,0.5529001,0.0
ENSG00000164151,0.5523625,0.0
ENSG00000113643,0.5517975,0.0
ENSG00000160201,0.5502197,0.0
ENSG00000100028,0.54968,0.0
ENSG00000136875,0.54846776,0.0
ENSG00000096401,0.54631674,0.0
ENSG00000204392,0.5441574,0.0
ENSG00000138867,0.54313385,0.0
ENSG00000076924,0.54274166,0.0
ENSG00000134371,0.542518,0.0
ENSG00000147677,0.54189605,0.0
ENSG00000114503,0.5408099,0.0
ENSG00000150316,0.5405876,0.0
ENSG00000104129,0.54029256,0.0
ENSG00000100410,0.539505,0.0
ENSG00000125835,0.53745544,0.0
ENSG00000163714,0.53725487,0.0
ENSG00000164163,0.5355041,0.0
ENSG00000131876,0.5350769,0.0
ENSG00000134440,0.5347413,0.0
ENSG00000163636,0.5346719,0.0
ENSG00000092199,0.5344081,0.0
ENSG00000100764,0.5342631,0.0
ENSG00000143368,0.5341209,0.0
ENSG00000147416,0.53403777,0.0
ENSG00000109606,0.53201586,0.0
ENSG00000117360,0.5319058,0.0
ENSG00000126653,0.5308219,0.0
ENSG00000101882,0.52969176,0.0
ENSG00000217930,0.52869767,0.0
ENSG00000185085,0.52784306,0.0
ENSG00000067596,0.5275977,0.0
ENSG00000113048,0.5275869,0.0
ENSG00000064313,0.5254559,0.0
ENSG00000104852,0.5243812,0.0
ENSG00000143977,0.52182627,0.0
ENSG00000119720,0.52014714,0.0
ENSG00000165819,0.5197048,0.0
ENSG00000152253,0.5188244,0.0
ENSG00000196367,0.5163514,0.0
ENSG00000134001,0.51575303,0.0
ENSG00000115866,0.5148492,0.0
ENSG00000070785,0.5137105,0.0
ENSG00000138095,0.5129135,0.0
ENSG00000013275,0.5125871,0.0
ENSG00000154743,0.5122991,0.0
ENSG00000137413,0.5098395,0.0
ENSG00000105258,0.5098163,0.0
ENSG00000105298,0.5089106,0.0
ENSG00000171566,0.50620085,0.0
ENSG00000130332,0.50568813,0.0
ENSG00000106290,0.5053676,0.0
ENSG00000101161,0.50409317,0.0
ENSG00000100347,0.5039275,0.0
ENSG00000163528,0.5037577,0.0
ENSG00000105058,0.5036255,0.0
ENSG00000067704,0.50297415,0.0
ENSG00000074319,0.5029652,0.0
ENSG00000142676,0.50291616,0.0
ENSG00000109519,0.50286347,0.0
ENSG00000138750,0.50103176,0.0
ENSG00000130520,0.49992794,0.0
ENSG00000176108,0.4960279,0.0
ENSG00000041357,0.49583468,0.0
ENSG00000146007,0.49322397,0.0
ENSG00000005007,0.49288982,0.0
ENSG00000075856,0.49142894,0.0
ENSG00000156603,0.49009526,0.0
ENSG00000108064,0.48990372,0.0
ENSG00000136937,0.48672888,0.0
ENSG00000133706,0.4861835,0.0
ENSG00000215251,0.48612562,0.0
ENSG00000183011,0.48606718,0.0
ENSG00000175166,0.48605725,0.0
ENSG00000174231,0.4860448,0.0
ENSG00000174953,0.48515362,0.0
ENSG00000122406,0.48483226,0.0
ENSG00000164902,0.48399964,0.0
ENSG00000108883,0.48382133,0.0
ENSG00000110107,0.48268074,0.0
ENSG00000087087,0.48108047,0.0
ENSG00000092201,0.480996,0.0
ENSG00000144028,0.48067406,0.0
ENSG00000159086,0.47880718,0.0
ENSG00000175792,0.4780695,0.0
ENSG00000112742,0.47732863,0.0
ENSG00000023608,0.47688797,0.0
ENSG00000161057,0.4766332,0.0
ENSG00000108424,0.47607383,0.0
ENSG00000071859,0.47543517,0.0
ENSG00000107951,0.4744101,0.0
ENSG00000131013,0.47409704,0.0
ENSG00000130741,0.47298715,0.0
ENSG00000110713,0.47256836,0.0
ENSG00000101654,0.472201,0.0
ENSG00000117748,0.47188565,0.0
ENSG00000108592,0.4712477,0.0
ENSG00000101343,0.47120848,0.0
ENSG00000140259,0.47100934,0.0
ENSG00000072849,0.47056302,0.0
ENSG00000088038,0.47031498,0.0
ENSG00000120705,0.47006276,0.0
ENSG00000155827,0.46783996,0.0
ENSG00000111231,0.46678412,0.0
ENSG00000178896,0.46565422,0.0
ENSG00000167881,0.46519524,0.0
