pathway,pvalue,overlap_count,overlap_genes,contrast,missing_from
KEGG_CALCIUM_SIGNALING_PATHWAY,6.639522461514628e-05,33,"GNAL,P2RX3,ITPKB,CACNA1I,CD38,MYLK,CACNA1C,HRH1,GRIN2C,TACR2,P2RX7,NTSR1,PRKCG,ADRB2,HTR6,RYR1,CACNA1G,ERBB4,EGFR,P2RX2,BDKRB1,SLC8A1,CHRM3,CAMK2A,SLC8A2,ATP2B3,TNNC2,CYSLTR1,PLCE1,PLCB2,ATP2A1,PDE1C,ADCY8",H2O2_Stress,K562_GWPS
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,7.71942337605212e-05,45,"P2RY2,P2RX3,VIPR2,GPR83,PRLR,CRHR2,GPR35,OPRD1,CHRNB4,GLRA1,F2,DRD2,GRIN2C,HRH1,TACR2,GALR3,P2RX7,NTSR1,GRM2,GPR156,OPRL1,APLNR,ADRB2,GHSR,HTR6,PTGER2,P2RX2,GCGR,BDKRB1,CHRNA10,NPFFR1,GABRR2,CHRM3,GRIK1,GABBR2,GRIA4,DRD4,SSTR2,CHRNB2,CYSLTR1,MC1R,TRPV1,CNR2,C5AR1,GRIN3B",H2O2_Stress,K562_GWPS
KEGG_DILATED_CARDIOMYOPATHY,0.00015823614351635678,20,"ITGB7,CACNG6,TGFB2,CACNA1C,ADCY5,CACNA2D4,TTN,LAMA2,ITGB8,ADCY6,ITGA9,ITGB6,ITGA4,CACNG7,SLC8A1,MYBPC3,SGCD,ITGA1,ITGA10,ADCY8",H2O2_Stress,K562_GWPS
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.00031646580015235804,17,"ACTN3,ITGB7,ITGB6,GJA1,CACNA2D4,ITGA4,ITGA1,CACNG7,SLC8A1,CACNG6,LAMA2,ITGA10,CACNA1C,ITGB8,SGCD,PKP2,ITGA9",H2O2_Stress,K562_GWPS
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.00045362224397277193,18,"ITGB7,ITGB6,CACNA2D4,ITGA1,ITGA4,TTN,CACNG7,CACNG6,SLC8A1,MYBPC3,TGFB2,LAMA2,PRKAA2,ITGA10,CACNA1C,ITGB8,SGCD,ITGA9",H2O2_Stress,K562_GWPS
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.0006138376850446433,18,"ANPEP,IL11,GP5,ITGA1,ITGA4,TPO,KITLG,IL5RA,CD4,CD38,IL1B,IL1R2,MME,FCER2,CD1D,ITGAM,IL3RA,IL4",H2O2_Stress,K562_GWPS
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.0010584206503056598,40,"TNFSF4,INHBC,TGFB2,PRLR,CTF1,MET,TNFRSF11B,KITLG,CX3CR1,INHBA,IL5RA,IL12RB2,CXCR5,IL2RB,EDAR,LTA,CNTFR,IL4,IL21R,OSM,EGFR,EDA2R,CD27,TPO,BMPR1A,TNFRSF19,LIF,IL12A,TNFRSF10D,IL3RA,IL13,GDF5,IL11,FAS,IL1B,IL1R2,NGFR,TNFRSF21,TNFSF14,CCL7",H2O2_Stress,K562_GWPS
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.004014284915968655,22,"ITGB7,NLGN3,NEGR1,CLDN9,ITGB2,MADCAM1,NLGN2,CLDN10,ITGAM,NECTIN1,ITGB8,CLDN14,ITGA9,CLDN4,ITGA4,CD4,CD6,NRXN2,HLA-DMA,NLGN1,NECTIN3,NEO1",H2O2_Stress,K562_GWPS
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.011919294818161154,11,"WNT3,IHH,WNT3A,SHH,WNT7B,BMP6,PTCH1,PTCH2,DHH,WNT8B,GAS1",H2O2_Stress,K562_GWPS
KEGG_PARKINSONS_DISEASE,0.019863350758471572,19,"MT-ND4L,SLC6A3,MT-ATP6,MT-ND6,SNCAIP,SLC18A2,MT-ND5,MT-ND2,MT-ND1,NDUFA4L2,MT-ATP8,MT-CYB,COX4I2,MT-CO3,MT-ND3,MT-CO2,COX6B2,MT-CO1,MT-ND4",H2O2_Stress,K562_GWPS
