pathway,pvalue,overlap_count,overlap_genes,contrast,missing_from
KEGG_P53_SIGNALING_PATHWAY,8.122900883474518e-05,25,"TP53AIP1,TNFRSF10B,BBC3,DDB2,CCNB2,PPM1D,CASP3,GADD45B,MDM4,CDKN1A,CCNG2,SESN2,IGFBP3,CASP9,PIDD1,GADD45A,RRM2B,ZMAT3,PMAIP1,SIAH1,FAS,TP73,SESN1,MDM2,BAX",H2O2_Stress,RPE1_Essential
KEGG_CALCIUM_SIGNALING_PATHWAY,0.001010159919728022,47,"NOS3,GNAL,P2RX3,ITPKB,CACNA1I,CHP1,CD38,ATP2A3,MYLK,CACNA1C,PPP3CA,HRH1,GRIN2C,TACR2,P2RX7,NTSR1,PTK2B,PLCB4,PRKCG,ADRB2,HTR6,RYR1,CACNA1G,ERBB4,EGFR,P2RX2,BDKRB1,SLC8A1,CHRM3,CAMK2A,SLC8A2,PHKA2,VDAC3,PTGER3,ITPR1,ATP2B3,TNNC2,CYSLTR1,F2R,PHKG1,ITPR2,PLCE1,PLCB2,GNAQ,ATP2A1,PDE1C,ADCY8",H2O2_Stress,RPE1_Essential
KEGG_MAPK_SIGNALING_PATHWAY,0.006134148587762218,62,"DUSP1,DUSP4,FGF6,CACNA1I,CACNG6,SOS2,CHP1,TGFBR1,TRAF2,TGFB2,FOS,FGF18,CACNA1C,PPP3CA,NGF,CASP3,PLA2G6,GADD45B,MAP4K3,MAP2K3,CACNA2D4,PPM1B,PLA2G12B,NR4A1,MAP3K8,MAP3K1,PRKCG,RASGRF2,MAP2K6,PTPN5,ELK4,ATF2,PDGFA,JUN,DUSP14,CACNA1G,EGFR,DUSP8,NFATC2,CACNG7,GADD45A,TAOK1,DUSP5,RASGRP2,FGF22,DUSP3,MAP3K2,MAPK7,DUSP10,FAS,PAK1,MAPKAPK3,IL1B,IL1R2,FGFR4,MAP3K20,FLNC,SOS1,RASGRP1,STK4,MAPK1,RASGRP4",H2O2_Stress,RPE1_Essential
KEGG_GNRH_SIGNALING_PATHWAY,0.009901833611550252,27,"SOS2,CACNA1C,PLA2G6,ADCY5,PTK2B,MAP2K3,PLA2G12B,PLCB4,MAP3K1,MAP2K6,ADCY6,JUN,EGFR,PRKCD,GNAQ,GNRH2,PLD1,CAMK2A,MAP3K2,ITPR1,MAPK7,ITPR2,SOS1,PLCB2,MAPK1,HBEGF,ADCY8",H2O2_Stress,RPE1_Essential
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.010595003142886299,23,"ITGB7,CACNG6,TGFB2,PRKAA2,CACNA1C,CACNA2D4,TTN,ITGAV,TPM1,LAMA2,ITGB8,DMD,ITGA9,ITGB6,PRKAA1,ITGA4,CACNG7,SLC8A1,MYBPC3,SGCD,PRKAB1,ITGA1,ITGA10",H2O2_Stress,RPE1_Essential
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.010745253777701117,21,"ITGB7,GJA1,TCF7L1,CACNG6,CACNA1C,PKP2,CACNA2D4,ITGAV,LAMA2,ITGB8,DMD,ITGA9,ACTN3,ITGB6,ITGA4,CACNG7,SLC8A1,SGCD,DSC2,ITGA1,ITGA10",H2O2_Stress,RPE1_Essential
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.013842301415977119,9,"ETV6,EGFR,SPIRE2,PIWIL4,SOS2,PIWIL2,NOTCH1,SOS1,MAPK1",H2O2_Stress,RPE1_Essential
KEGG_GAP_JUNCTION,0.024211255884425544,23,"TUBB1,GJA1,SOS2,DRD2,ADCY5,PLCB4,PRKCG,TUBA1A,ADCY6,PDGFA,GNAI3,EGFR,GUCY1A2,MAP3K2,ITPR1,MAPK7,TUBA4A,ITPR2,SOS1,PLCB2,MAPK1,GNAQ,ADCY8",H2O2_Stress,RPE1_Essential
KEGG_DILATED_CARDIOMYOPATHY,0.02741323073418573,23,"ITGB7,CACNG6,TGFB2,CACNA1C,ADCY5,CACNA2D4,TTN,ITGAV,TPM1,LAMA2,ITGB8,DMD,ADCY6,ITGA9,ITGB6,ITGA4,CACNG7,SLC8A1,MYBPC3,SGCD,ITGA1,ITGA10,ADCY8",H2O2_Stress,RPE1_Essential
KEGG_MELANOGENESIS,0.0320948850145083,25,"WNT3,TCF7L1,FZD7,FZD1,FZD2,ADCY5,FZD3,KITLG,PLCB4,WNT3A,WNT7B,PRKCG,DVL3,ADCY6,MITF,GNAI3,CAMK2A,WNT8B,ASIP,MC1R,WNT5B,PLCB2,MAPK1,GNAQ,ADCY8",H2O2_Stress,RPE1_Essential
KEGG_BASAL_CELL_CARCINOMA,0.03959509232579611,15,"DVL3,APC,FZD3,WNT3,TCF7L1,WNT3A,FZD7,WNT7B,SHH,PTCH1,WNT5B,FZD1,PTCH2,WNT8B,FZD2",H2O2_Stress,RPE1_Essential
KEGG_PATHWAYS_IN_CANCER,0.041089156945378194,68,"SLC2A1,RASSF5,FGF6,MSH2,WNT3,TCF7L1,FZD7,TGFBR1,TRAF2,SOS2,TGFB2,FZD1,FGF18,FOS,FZD2,E2F3,MET,CASP3,MSH3,PAX8,APC,FZD3,PIAS2,KITLG,ITGAV,CDKN1A,WNT3A,WNT7B,PRKCG,RUNX1,PTCH1,PIAS3,LAMA2,LAMA3,DVL3,MITF,PDGFA,JUN,CASP9,EGFR,RET,PIK3R1,PLD1,APPL1,STAT1,LAMA4,WNT8B,SPI1,DAPK1,FGF22,COL4A6,CEBPA,SMAD2,TRAF5,ARNT,FAS,PIK3CB,SHH,WNT5B,RALBP1,PTCH2,PGF,SOS1,CCNA1,STK4,MAPK1,MDM2,BAX",H2O2_Stress,RPE1_Essential
