pathway,pvalue,overlap_count,overlap_genes,contrast,missing_from
KEGG_FOCAL_ADHESION,1.204888376301155e-07,50,"ITGA3,ACTN1,THBS1,BIRC2,SPP1,VAV2,PDGFC,RASGRF1,RELN,THBS3,MYL12B,ITGA11,MYL12A,PDGFB,MET,CAV2,MYLK2,LAMB3,MAP2K1,ITGAV,ZYX,ITGB1,LAMA3,COL11A1,PIP5K1C,COL4A4,LAMA5,ITGA5,PDGFD,COL5A2,ITGA4,FN1,SRC,COL5A1,CAV1,LAMC2,RHOA,ITGB5,COL4A2,PARVB,ACTG1,COL4A1,MYL9,BCL2,KDR,VEGFA,COL1A1,ITGB4,PARVA,CAPN2",PRG4_Baseline,RPE1_Essential
KEGG_ECM_RECEPTOR_INTERACTION,6.669197826357238e-07,27,"ITGA3,THBS1,SPP1,RELN,THBS3,ITGA11,LAMB3,ITGAV,SDC2,ITGB1,LAMA3,COL11A1,HMMR,COL4A4,LAMA5,ITGA5,COL5A2,ITGA4,FN1,COL5A1,LAMC2,ITGB5,COL4A2,COL4A1,CD44,COL1A1,ITGB4",PRG4_Baseline,RPE1_Essential
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,9.087372712772518e-06,14,"MPI,HK2,PFKFB2,PFKP,KHK,PFKFB4,PFKM,PFKL,PFKFB3,AKR1B10,AKR1B1,HK1,FCSK,ALDOB",PRG4_Baseline,RPE1_Essential
KEGG_PATHWAYS_IN_CANCER,2.548772485490078e-05,64,"CSF1R,SLC2A1,PPARD,EPAS1,ITGA3,MSH2,TGFB2,FZD7,TGFBR1,BIRC2,MMP2,E2F2,FOS,E2F1,MET,CASP3,ARNT2,STAT3,ABL1,RASSF1,FGF11,BMP4,RALB,LAMB3,NKX3-1,MAP2K1,PIAS2,ITGAV,ITGB1,EP300,RUNX1,LAMA3,DVL3,PLCG2,COL4A4,RARA,HIF1A,CASP9,LAMA5,FGF1,FN1,SMAD3,LAMC2,AXIN2,PLD1,STAT1,DAPK1,RHOA,COL4A2,CREBBP,COL4A1,TRAF5,GLI3,WNT2B,BCL2,CBLB,TGFA,RALA,FZD9,PTCH2,VEGFA,FGF5,NRAS,PDGFB",PRG4_Baseline,RPE1_Essential
KEGG_AXON_GUIDANCE,3.133214795582131e-05,32,"PLXNB1,EPHB2,SEMA3D,GNAI2,PLXNB2,EPHA3,SEMA3C,SEMA4A,SEMA3G,ROBO1,NCK2,MET,ABL1,SEMA7A,LIMK1,CXCL12,ITGB1,SLIT3,CFL2,L1CAM,ABLIM1,ABLIM3,NFATC2,EPHA5,SEMA3F,RHOA,NTNG1,DPYSL2,NFATC1,NRP1,LIMK2,NRAS",PRG4_Baseline,RPE1_Essential
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.00014683352143517222,7,"PER3,BHLHE41,ARNTL,BHLHE40,CRY2,CRY1,CSNK1E",PRG4_Baseline,RPE1_Essential
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.00023483097075759066,43,"RRAS,IQGAP3,TMSB4X,ITGA3,ACTN1,MRAS,VAV2,PDGFC,ARHGEF7,MYLK2,MYL12B,ITGA11,MYL12A,SSH1,FGF11,PIP5K1B,MAP2K1,LIMK1,ITGAV,ITGB1,CFL2,TIAM1,MSN,PIP5K1C,ENAH,GNG12,ITGA5,PDGFD,FGF1,ITGA4,FN1,MYH10,PFN2,RHOA,ITGB5,ACTG1,MYL9,LIMK2,F2R,FGF5,ITGB4,NRAS,PDGFB",PRG4_Baseline,RPE1_Essential
KEGG_DILATED_CARDIOMYOPATHY,0.00024269400130300757,23,"ACTC1,TPM4,GNAS,SGCA,ITGA3,TGFB2,ITGA11,TPM2,TNNC1,ITGAV,ADCY9,ITGB1,TPM1,DMD,ITGA5,ADCY3,ITGA4,SGCB,ITGB5,ACTG1,CACNA1D,ITGB4,DES",PRG4_Baseline,RPE1_Essential
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.0002769646376949839,14,"UGP2,HK2,AMDHD2,UAP1,GNPDA1,RENBP,NANS,GPI,PGM1,NANP,HK1,CYB5R3,FCSK,MPI",PRG4_Baseline,RPE1_Essential
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.0002949124367822225,19,"C3,CD46,CFH,C4B,SERPINE1,MASP1,C1S,SERPINA1,C1R,C4A,PLAUR,F8,THBD,SERPINF2,CD55,C5,PROS1,F2R,SERPING1",PRG4_Baseline,RPE1_Essential
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0005130929280077357,21,"ACTC1,TPM4,SGCA,ITGA3,TGFB2,ITGA11,TPM2,TNNC1,ITGAV,ITGB1,TPM1,DMD,ITGA5,ITGA4,SGCB,ITGB5,ACTG1,CACNA1D,PRKAG2,ITGB4,DES",PRG4_Baseline,RPE1_Essential
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.0015223083845576344,16,"ACSS1,ALDH3A2,HK2,PFKP,GALM,ALDH3B1,ENO2,PGM1,ALDH3A1,PFKL,PFKM,HK1,LDHA,GPI,ALDH1A3,ALDOB",PRG4_Baseline,RPE1_Essential
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.0018111359586044267,20,"RBL1,THBS1,TGFB2,TGFBR1,THBS3,BMP4,INHBA,SMAD9,RPS6KB2,EP300,NOG,SMAD3,GDF6,RHOA,BMPR2,CREBBP,GDF5,SMAD7,BMP6,SMURF2",PRG4_Baseline,RPE1_Essential
KEGG_P53_SIGNALING_PATHWAY,0.0019432368707134415,17,"TSC2,CASP9,GADD45B,CCNB2,PPM1D,THBS1,MDM4,CCNG1,SERPINE1,GTSE1,CCNG2,COP1,RRM2B,TP73,ATM,IGFBP3,CASP3",PRG4_Baseline,RPE1_Essential
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.002023628281222377,18,"ITGA11,CACNA1D,CDH2,ITGB4,GJA1,ITGA5,SGCA,ITGA3,ITGAV,ACTN1,ITGA4,SGCB,ITGB1,DSC2,ITGB5,DMD,DES,ACTG1",PRG4_Baseline,RPE1_Essential
KEGG_GAP_JUNCTION,0.003225667019822767,20,"GNAI2,GJA1,GNAS,PDGFC,MAP2K1,PLCB4,ADCY9,TUBA1A,PDGFD,ADCY3,GUCY1A2,SRC,TUBB6,MAP3K2,ITPR1,MAPK7,TUBA4A,PLCB2,NRAS,PDGFB",PRG4_Baseline,RPE1_Essential
KEGG_SPHINGOLIPID_METABOLISM,0.004390812456161429,11,"DEGS1,SPHK1,NEU3,CERK,ACER2,ASAH1,GBA,DEGS2,B4GALT6,GALC,PLPP3",PRG4_Baseline,RPE1_Essential
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.0053394128230391255,26,"ALCAM,CADM1,CD274,NEGR1,PTPRF,SELPLG,MPZL1,ITGAV,SDC2,ITGB1,NECTIN1,CLDN14,JAM2,PDCD1LG2,L1CAM,CNTNAP1,CDH3,CLDN23,CLDN4,ITGA4,CNTN1,NECTIN2,CDH2,NFASC,PVR,CLDN16",PRG4_Baseline,RPE1_Essential
KEGG_GALACTOSE_METABOLISM,0.006353939323977156,8,"UGP2,HK2,PFKP,PGM1,PFKM,PFKL,AKR1B1,HK1",PRG4_Baseline,RPE1_Essential
KEGG_MELANOGENESIS,0.006729580524207093,21,"CREB3,GNAI2,TYR,GNAS,FZD7,EDN1,MAP2K1,PLCB4,ADCY9,EP300,DVL3,ADCY3,CALM1,CREBBP,CREB3L1,WNT2B,MC1R,TYRP1,FZD9,PLCB2,NRAS",PRG4_Baseline,RPE1_Essential
