pathway,pvalue,overlap_count,overlap_genes,contrast,missing_from
KEGG_ECM_RECEPTOR_INTERACTION,1.1226376821381382e-07,21,"ITGB7,TNC,ITGA3,THBS1,SPP1,ITGA11,SDC2,LAMA3,COL11A1,COL4A4,COL5A2,ITGA4,COL5A1,LAMC2,ITGA7,COL4A2,COL4A1,ITGA1,COL6A6,COL1A1,ITGA10",PRG4_Rescue,K562_GWPS
KEGG_FOCAL_ADHESION,1.159734939046925e-06,33,"PIK3R3,ITGB7,TNC,ERBB2,ITGA3,THBS1,SPP1,VAV2,PDGFC,RASGRF1,ITGA11,PRKCG,LAMA3,COL11A1,COL4A4,PDGFD,MAPK10,COL5A2,ITGA4,SRC,COL5A1,LAMC2,ITGA7,COL4A2,COL4A1,MYL9,BCL2,ITGA1,COL6A6,COL1A1,ITGA10,PARVA,PDGFB",PRG4_Rescue,K562_GWPS
KEGG_AXON_GUIDANCE,1.3802546287091897e-06,25,"EPHB2,EPHA3,SEMA3C,SEMA4A,SEMA5B,SEMA6D,ROBO1,SEMA7A,PLXNB3,RHOD,CXCL12,PLXNA3,SLIT3,L1CAM,ABLIM3,SEMA3B,EPHA5,SEMA3F,NTNG1,EFNB3,NRP1,SEMA4F,SRGAP3,SEMA6C,EPHA2",PRG4_Rescue,K562_GWPS
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.0001724093369057191,21,"ITGB7,CADM1,CD274,NEGR1,CLDN9,NLGN2,SDC2,CADM3,CLDN14,PDCD1LG2,L1CAM,CLDN23,CLDN4,ITGA4,CNTN1,CDH4,CLDN3,HLA-DMA,CDH2,NFASC,HLA-A",PRG4_Rescue,K562_GWPS
KEGG_HISTIDINE_METABOLISM,0.0025730476095911247,7,"ALDH3A2,MAOB,MAOA,ALDH3B1,HDC,HNMT,ALDH1A3",PRG4_Rescue,K562_GWPS
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0034881366372198144,13,"CACNA1D,ITGA11,ACTC1,ITGB7,TPM2,ITGA1,SGCA,ITGA4,ITGA3,TGFB2,PRKAA2,ITGA10,ITGA7",PRG4_Rescue,K562_GWPS
KEGG_GLYCEROLIPID_METABOLISM,0.00487675172561826,9,"ALDH3A2,DGKI,DGAT2,MGLL,DGKA,AKR1B1,LIPG,GPAT3,PLPP3",PRG4_Rescue,K562_GWPS
KEGG_ERBB_SIGNALING_PATHWAY,0.005267014905475507,13,"PIK3R3,ERBB2,MAPK10,CAMK2B,BTC,CDKN1A,SRC,CBLB,TGFA,PRKCG,PLCG2,GAB1,NRG1",PRG4_Rescue,K562_GWPS
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.006049868085399751,11,"C1S,C3,F3,C1R,C5,C4B,SERPINE1,C4A,KLKB1,THBD,C5AR1",PRG4_Rescue,K562_GWPS
KEGG_DILATED_CARDIOMYOPATHY,0.007027251725855261,13,"CACNA1D,ITGA11,ACTC1,ITGB7,TPM2,ITGA1,SGCA,ITGA4,ITGA3,TGFB2,ITGA10,ITGA7,ADCY6",PRG4_Rescue,K562_GWPS
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.010222445298950927,11,"ITGA11,CACNA1D,CDH2,ITGB7,GJA1,SGCA,ITGA3,ITGA4,ITGA1,ITGA10,ITGA7",PRG4_Rescue,K562_GWPS
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.011819923147641343,9,"C1S,C3,C1R,C5,C4B,GRIN2A,C4A,HLA-DMA,GRIN2B",PRG4_Rescue,K562_GWPS
KEGG_ARACHIDONIC_ACID_METABOLISM,0.014744978359122418,9,"GPX1,PTGES,CBR3,AKR1C3,PLA2G12B,GGT7,CYP2U1,GPX3,PLA2G4A",PRG4_Rescue,K562_GWPS
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.015164933737705536,23,"PIK3R3,ITGB7,ITGA3,FGF18,VAV2,PDGFC,ITGA11,SSH1,FGF11,PIP5K1B,GNA12,ENAH,PDGFD,FGF1,ITGA4,PFN2,ITGA7,MYL9,ITGA1,ITGA10,FGF5,APC2,PDGFB",PRG4_Rescue,K562_GWPS
KEGG_TYROSINE_METABOLISM,0.02081251651455142,7,"MAOB,MAOA,TYR,AOX1,TYRP1,ALDH3B1,ALDH1A3",PRG4_Rescue,K562_GWPS
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.02219272069101629,14,"PIK3R3,MYL9,CLDN23,CLDN4,ITGA4,CXCL12,PRKCG,CLDN3,MMP2,VAV2,TXK,CLDN9,PLCG2,CLDN14",PRG4_Rescue,K562_GWPS
KEGG_MAPK_SIGNALING_PATHWAY,0.022407122552430582,27,"DUSP16,DUSP4,TGFB2,MAP3K14,FGF18,RASGRF1,PLA2G4A,MAP3K12,NGF,FGF11,GADD45B,PLA2G12B,PRKCG,HSPA6,GNA12,RPS6KA5,FGF1,MAPK10,DUSP8,NTRK2,CACNA1D,BDNF,MAPK7,IL1R1,RASGRP1,FGF5,PDGFB",PRG4_Rescue,K562_GWPS
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.02546757489323032,3,"CDO1,BAAT,GGT7",PRG4_Rescue,K562_GWPS
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.026802668502675896,11,"CD37,IL11,IL1R1,ITGA4,ITGA1,ITGA3,IL7R,CSF2,IL7,IL6R,IL4",PRG4_Rescue,K562_GWPS
KEGG_TIGHT_JUNCTION,0.028310686387155157,15,"PPP2R2B,MYL9,PPP2R2C,CLDN23,CLDN4,CGN,EPB41L3,SRC,PRKCG,MPDZ,CLDN3,PARD6G,CLDN9,RAB3B,CLDN14",PRG4_Rescue,K562_GWPS
