pathway,pvalue,overlap_count,overlap_genes,contrast,missing_from
KEGG_FOCAL_ADHESION,2.523238253488713e-10,69,"PIK3R3,ITGB7,TNC,ERBB2,ITGA3,ACTN1,THBS1,RAPGEF1,SPP1,VAV2,PDGFC,RASGRF1,RELN,MYL12B,ITGA11,MYL12A,FLNB,PDGFB,VEGFB,MAP2K1,ITGAV,ZYX,ITGB1,PAK4,FLNA,PRKCB,PRKCG,LAMA3,COL11A1,IGF1R,PDGFA,PIK3CD,PIP5K1C,COL4A4,ITGA5,PDGFD,MAPK10,ELK1,COL5A2,ITGA4,FN1,SRC,COL5A1,LAMC2,ILK,ITGA7,ITGB5,COL4A2,VASP,PARVB,ACTG1,ARHGAP5,COL4A1,AKT1,MYL9,BCL2,ACTN4,ITGA1,PAK1,COL6A6,FLNC,VEGFA,COL1A1,ITGA10,HRAS,ARHGAP35,PARVA,PPP1CC,CAPN2",PRG4_Rescue,RPE1_Essential
KEGG_AXON_GUIDANCE,8.302710120469595e-07,44,"EPHB2,GNAI2,EPHA3,SEMA3C,SEMA6C,SEMA4A,EPHB4,SEMA5B,SEMA6D,ROBO1,NCK2,NFATC3,ABL1,SEMA7A,PLXNB3,RHOD,LIMK1,CXCL12,ITGB1,PAK4,PLXNA3,SLIT3,CDK5,NFAT5,SEMA4C,L1CAM,SEMA4B,ABLIM3,NFATC2,SRGAP2,SEMA3B,EPHA5,SEMA3F,NTNG1,EFNB3,NFATC1,NRP1,LIMK2,PAK1,SEMA4F,SRGAP3,HRAS,PLXNA1,EPHA2",PRG4_Rescue,RPE1_Essential
KEGG_ECM_RECEPTOR_INTERACTION,1.7159930796111768e-06,32,"ITGB7,TNC,ITGA3,THBS1,SPP1,RELN,ITGA11,ITGAV,DAG1,HSPG2,SDC2,ITGB1,LAMA3,COL11A1,HMMR,COL4A4,ITGA5,COL5A2,ITGA4,FN1,COL5A1,LAMC2,ITGA7,ITGB5,COL4A2,COL4A1,SDC3,ITGA1,COL6A6,AGRN,COL1A1,ITGA10",PRG4_Rescue,RPE1_Essential
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,4.540484858835375e-06,61,"RRAS,IQGAP3,PIK3R3,ITGB7,TMSB4X,GSN,PIKFYVE,ITGA3,ACTN1,MRAS,CSK,FGF18,VAV2,PDGFC,ARPC5,MYL12B,ITGA11,MYL12A,SSH1,FGF11,PIP5K1B,MAP2K1,LIMK1,ITGAV,ITGB1,PAK4,GNA13,PDGFA,MSN,PIK3CD,GNA12,PIP5K1C,ENAH,ITGA5,GNG12,PDGFD,FGF1,ITGA4,FN1,MYH10,PFN2,ITGA7,ITGB5,ACTG1,EZR,MYL9,FGF2,APC2,FGF5,ACTN4,ITGA1,PAK1,LIMK2,F2R,MAP2K2,ITGA10,HRAS,ARHGAP35,MYH9,PPP1CC,PDGFB",PRG4_Rescue,RPE1_Essential
KEGG_CIRCADIAN_RHYTHM_MAMMAL,1.2455543911780272e-05,9,"NR1D1,PER3,BHLHE41,ARNTL,BHLHE40,PER2,NPAS2,CRY1,CSNK1E",PRG4_Rescue,RPE1_Essential
KEGG_MAPK_SIGNALING_PATHWAY,0.00012149457449657226,68,"DUSP16,RRAS,JUND,DUSP1,RPS6KA4,DUSP4,MRAS,TGFB2,MAP4K4,MAP3K14,FOS,FGF18,PLA2G4A,RASGRF1,MAP3K12,TAOK2,NGF,PLA2G6,TGFB1,FLNB,FGF11,GADD45B,MAPK8IP3,MAP2K1,PLA2G12B,MAP3K8,DUSP7,PRKACA,FLNA,PRKCB,PRKCG,MAP3K4,MAP3K11,HSPA6,STK3,PDGFA,CDC25B,HSPA1B,GNA12,RPS6KA5,GNG12,STMN1,FGF1,MAPK10,ELK1,HSPB1,NFATC2,DUSP8,MAPKAPK2,MECOM,NTRK2,CACNA1D,BDNF,AKT1,MAPK7,FGF2,IL1R1,FGF5,TAOK3,PAK1,PPP5C,RAPGEF2,MAP2K2,NLK,FLNC,RASGRP1,HRAS,PDGFB",PRG4_Rescue,RPE1_Essential
KEGG_PATHWAYS_IN_CANCER,0.00031585752418829505,78,"PPARD,FOS,FZD2,CASP8,STAT3,CDKN1A,PRKCB,IGF1R,PDGFA,PIK3CD,BCL2,TGFA,VEGFA,HRAS,MDM2,JUP,PIK3R3,SLC2A1,MSH2,MMP2,ARNT2,FADD,VEGFB,MAP2K1,STK36,PRKCG,EP300,COL4A4,HIF1A,AR,DAPK3,SMAD3,FZD8,LAMC2,PLD1,STAT1,MECOM,GLI3,WNT2B,FGF2,BAX,PDGFB,ITGA3,FGF18,WNT9A,TGFB1,FGF11,ITGAV,DAPK2,ITGB1,LAMA3,FZD4,DVL1,GSTP1,MAP2K2,FGF5,ERBB2,EPAS1,CTBP1,TGFB2,E2F2,ABL1,HSP90AA1,HSP90AB1,PLCG2,RARA,FGF1,MAPK10,FN1,WNT5A,COL4A2,CREBBP,COL4A1,TRAF5,AKT1,CBLB,RALA,APC2",PRG4_Rescue,RPE1_Essential
KEGG_GAP_JUNCTION,0.00036863094894178794,28,"GNAI2,GJA1,GNAS,GNA11,PDGFC,TJP1,PRKG1,MAP2K1,PLCB4,PRKACA,PLCB3,PRKCB,PRKCG,TUBA1A,ADCY6,PDGFA,PDGFD,ADCY3,GUCY1A2,SRC,TUBB6,ITPR1,MAPK7,TUBA4A,MAP2K2,HRAS,ITPR3,PDGFB",PRG4_Rescue,RPE1_Essential
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.0006197707098238544,29,"PIK3R3,GSN,PIKFYVE,VAV2,PLA2G4A,ARPC5,PLA2G6,AMPH,PIP5K1B,MAP2K1,LIMK1,RPS6KB2,PRKCG,PRKCB,MYO10,ASAP2,PLCG2,PLPP3,PIK3CD,PIP5K1C,MARCKS,PLD1,VASP,SPHK1,AKT1,LIMK2,PAK1,MARCKSL1,DOCK2",PRG4_Rescue,RPE1_Essential
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.0008844261113560115,24,"PIK3C2A,DGKI,PIK3R3,ITPKB,PIKFYVE,DGKD,OCRL,PIP5K1B,PLCB4,PRKCG,PLCB3,PRKCB,PLCG2,PIK3CD,PIP5K1C,INPP5A,DGKQ,DGKA,CDS2,PLCD3,ITPR1,PLCE1,SYNJ1,ITPR3",PRG4_Rescue,RPE1_Essential
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.0008844261113560115,24,"DGKI,DGKD,GPD1L,PLA2G4A,LYPLA2,GPAT3,PLA2G6,LPCAT2,GPD2,PLA2G12B,MBOAT7,LPCAT1,PLPP3,LPCAT4,PCYT1B,CHPT1,PTDSS2,DGKA,DGKQ,PLD1,CDS2,AGPAT2,MBOAT2,LPGAT1",PRG4_Rescue,RPE1_Essential
KEGG_ERBB_SIGNALING_PATHWAY,0.0013750486718964103,26,"PIK3R3,ERBB2,BTC,NCK2,ABL1,MAP2K1,EIF4EBP1,CDKN1A,RPS6KB2,PAK4,PRKCG,PRKCB,PLCG2,PIK3CD,MAPK10,ELK1,SRC,AKT1,CAMK2B,PAK1,MAP2K2,TGFA,CBLB,HRAS,GAB1,NRG1",PRG4_Rescue,RPE1_Essential
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.0014166488324964368,10,"CHST3,CHPF2,CHPF,B3GAT1,XYLT2,B4GALT7,CHST14,CHSY1,UST,B3GALT6",PRG4_Rescue,RPE1_Essential
KEGG_RENAL_CELL_CARCINOMA,0.0015253603736863207,22,"SLC2A1,PIK3R3,EPAS1,TGFB2,RAPGEF1,ARNT2,TGFB1,VEGFB,MAP2K1,PAK4,EP300,PIK3CD,HIF1A,CREBBP,AKT1,PAK1,MAP2K2,TGFA,VEGFA,HRAS,GAB1,PDGFB",PRG4_Rescue,RPE1_Essential
