ensembl_gene_id,hgnc_symbol
ENSG00000233757,
ENSG00000131471,AOC3
ENSG00000135338,LCA5
ENSG00000183876,ARSI
ENSG00000141505,ASGR1
ENSG00000188373,C10orf99
ENSG00000158748,HTR6
ENSG00000135407,AVIL
ENSG00000285231,OOSP3
ENSG00000180316,PNPLA1
ENSG00000149489,ROM1
ENSG00000197405,C5AR1
ENSG00000172794,RAB37
ENSG00000164619,BMPER
ENSG00000101311,FERMT1
ENSG00000100060,MFNG
ENSG00000157765,SLC34A2
ENSG00000129673,AANAT
ENSG00000187492,CDHR4
ENSG00000124749,COL21A1
ENSG00000198888,MT-ND1
ENSG00000287908,
ENSG00000234719,NPIPB2
ENSG00000131386,GALNT15
ENSG00000172260,NEGR1
ENSG00000138308,PLA2G12B
ENSG00000196549,MME
ENSG00000212907,MT-ND4L
ENSG00000015592,STMN4
ENSG00000101460,MAP1LC3A
ENSG00000180532,ZSCAN4
ENSG00000260371,
ENSG00000187775,DNAH17
ENSG00000279227,
ENSG00000156689,GLYATL2
ENSG00000105538,RASIP1
ENSG00000134201,GSTM5
ENSG00000103528,SYT17
ENSG00000139193,CD27
ENSG00000246705,H2AJ
ENSG00000183914,DNAH2
ENSG00000269855,RNF225
ENSG00000107147,KCNT1
ENSG00000179165,PXT1
ENSG00000168993,CPLX1
ENSG00000162460,TMEM82
ENSG00000126583,PRKCG
ENSG00000215910,C1orf167
ENSG00000109991,P2RX3
ENSG00000266202,
ENSG00000272772,
ENSG00000110786,PTPN5
ENSG00000077713,SLC25A43
ENSG00000286143,
ENSG00000174898,CATSPERD
ENSG00000155897,ADCY8
ENSG00000117266,CDK18
ENSG00000177181,RIMKLA
ENSG00000159650,UROC1
ENSG00000008853,RHOBTB2
ENSG00000261115,TMEM178B
ENSG00000119900,OGFRL1
ENSG00000108309,RUNDC3A
ENSG00000143248,RGS5
ENSG00000107186,MPDZ
ENSG00000130762,ARHGEF16
ENSG00000179002,TAS1R2
ENSG00000133056,PIK3C2B
ENSG00000149090,PAMR1
ENSG00000163806,SPDYA
ENSG00000161082,CELF5
ENSG00000154025,SLC5A10
ENSG00000265354,TIMM23
ENSG00000162836,ACP6
ENSG00000122711,SPINK4
ENSG00000171227,TMEM37
ENSG00000111799,COL12A1
ENSG00000157368,IL34
ENSG00000107736,CDH23
ENSG00000174292,TNK1
ENSG00000188886,ASTL
ENSG00000204618,RNF39
ENSG00000171931,FBXW10
ENSG00000182749,PAQR7
ENSG00000115718,PROC
ENSG00000136881,BAAT
ENSG00000156206,CFAP161
ENSG00000173530,TNFRSF10D
ENSG00000122733,PHF24
ENSG00000285010,OOSP4A
ENSG00000145536,ADAMTS16
ENSG00000076641,PAG1
ENSG00000186212,SOWAHB
ENSG00000140459,CYP11A1
ENSG00000100336,APOL4
ENSG00000163393,SLC22A15
ENSG00000147852,VLDLR
ENSG00000211454,AKR7L
ENSG00000163431,LMOD1
ENSG00000163697,APBB2
ENSG00000125735,TNFSF14
ENSG00000130540,SULT4A1
ENSG00000186603,HPDL
ENSG00000163629,PTPN13
ENSG00000163803,PLB1
ENSG00000148735,PLEKHS1
ENSG00000154099,DNAAF1
ENSG00000179542,SLITRK4
ENSG00000285708,
ENSG00000049192,ADAMTS6
ENSG00000064225,ST3GAL6
ENSG00000250673,REELD1
ENSG00000130449,ZSWIM6
ENSG00000118596,SLC16A7
ENSG00000160683,CXCR5
ENSG00000164082,GRM2
ENSG00000116299,ELAPOR1
ENSG00000064270,ATP2C2
ENSG00000168824,NSG1
ENSG00000137142,IGFBPL1
ENSG00000081148,IMPG2
ENSG00000168306,ACOX2
ENSG00000105707,HPN
ENSG00000161509,GRIN2C
ENSG00000271949,
ENSG00000138101,DTNB
ENSG00000141979,
ENSG00000162571,TTLL10
ENSG00000177685,CRACR2B
ENSG00000165646,SLC18A2
ENSG00000164855,TMEM184A
ENSG00000136144,RCBTB1
ENSG00000168961,LGALS9
ENSG00000171124,FUT3
ENSG00000259066,
ENSG00000099866,MADCAM1
ENSG00000182752,PAPPA
ENSG00000132321,IQCA1
ENSG00000272305,
ENSG00000186517,ARHGAP30
ENSG00000171189,GRIK1
ENSG00000133466,C1QTNF6
ENSG00000138061,CYP1B1
ENSG00000187550,SBK2
ENSG00000040199,PHLPP2
ENSG00000170011,MYRIP
ENSG00000129116,PALLD
ENSG00000275395,FCGBP
ENSG00000121440,PDZRN3
ENSG00000112320,SOBP
ENSG00000289517,
ENSG00000121005,CRISPLD1
ENSG00000277481,PKD1L3
ENSG00000163932,PRKCD
ENSG00000133067,LGR6
ENSG00000070915,SLC12A3
ENSG00000237330,RNF223
ENSG00000161643,SIGLEC16
ENSG00000103044,HAS3
ENSG00000152430,BOLL
ENSG00000284505,LYNX1-SLURP2
ENSG00000132517,SLC52A1
ENSG00000262484,CCER2
ENSG00000118200,CAMSAP2
ENSG00000006837,CDKL3
ENSG00000183160,TMEM119
ENSG00000156011,PSD3
ENSG00000067992,PDK3
ENSG00000160539,PLPP7
ENSG00000132000,PODNL1
ENSG00000142675,CNKSR1
ENSG00000140682,TGFB1I1
ENSG00000174521,TTC9B
ENSG00000110375,UPK2
ENSG00000111834,RSPH4A
ENSG00000219435,CATSPERZ
ENSG00000170049,KCNAB3
ENSG00000113073,SLC4A9
ENSG00000107317,PTGDS
ENSG00000143556,S100A7
ENSG00000266714,MYO15B
ENSG00000133392,MYH11
ENSG00000286001,
ENSG00000166046,TCP11L2
ENSG00000196684,HSH2D
ENSG00000116885,OSCP1
ENSG00000085231,AK6
ENSG00000187848,P2RX2
ENSG00000136114,THSD1
ENSG00000107104,KANK1
ENSG00000073910,FRY
ENSG00000240891,PLCXD2
ENSG00000111012,CYP27B1
ENSG00000235007,
ENSG00000169908,TM4SF1
ENSG00000205363,INSYN1
ENSG00000138642,HERC6
ENSG00000163032,VSNL1
ENSG00000279699,
ENSG00000173706,HEG1
ENSG00000140937,CDH11
ENSG00000141738,GRB7
ENSG00000177238,TRIM72
ENSG00000197140,ADAM32
ENSG00000198786,MT-ND5
ENSG00000118473,SGIP1
ENSG00000135678,CPM
ENSG00000233198,RNF224
ENSG00000085552,IGSF9
ENSG00000188112,C6orf132
ENSG00000095637,SORBS1
ENSG00000095752,IL11
ENSG00000150281,CTF1
ENSG00000279908,
ENSG00000164142,FHIP1A
ENSG00000145888,GLRA1
ENSG00000173805,HAP1
ENSG00000186260,MRTFB
ENSG00000115318,LOXL3
ENSG00000142513,ACP4
ENSG00000124466,LYPD3
ENSG00000005001,PRSS22
ENSG00000182950,ODF3L1
ENSG00000257065,
ENSG00000154447,SH3RF1
ENSG00000171847,FAM90A1
ENSG00000167100,SAMD14
ENSG00000185070,FLRT2
ENSG00000053747,LAMA3
ENSG00000206199,ANKUB1
ENSG00000204428,LY6G5C
ENSG00000099860,GADD45B
ENSG00000163354,DCST2
ENSG00000105605,CACNG7
ENSG00000169282,KCNAB1
ENSG00000185988,PLK5
ENSG00000179057,IGSF22
ENSG00000170456,DENND5B
ENSG00000108576,SLC6A4
ENSG00000003987,MTMR7
ENSG00000177595,PIDD1
ENSG00000140853,NLRC5
ENSG00000268182,SMIM17
ENSG00000110975,SYT10
ENSG00000144834,TAGLN3
ENSG00000221887,HMSD
ENSG00000158636,EMSY
ENSG00000176040,TMPRSS7
