ensembl_gene_id,hgnc_symbol
ENSG00000135338,LCA5
ENSG00000175115,PACS1
ENSG00000133030,MPRIP
ENSG00000005187,ACSM3
ENSG00000168175,MAPK1IP1L
ENSG00000168765,GSTM4
ENSG00000135407,AVIL
ENSG00000163590,PPM1L
ENSG00000099219,ERMP1
ENSG00000089127,OAS1
ENSG00000054277,OPN3
ENSG00000149489,ROM1
ENSG00000197405,C5AR1
ENSG00000115363,EVA1A
ENSG00000164619,BMPER
ENSG00000149930,TAOK2
ENSG00000131871,SELENOS
ENSG00000120690,ELF1
ENSG00000089220,PEBP1
ENSG00000183621,ZNF438
ENSG00000187608,ISG15
ENSG00000100243,CYB5R3
ENSG00000172260,NEGR1
ENSG00000151552,QDPR
ENSG00000136051,WASHC4
ENSG00000051825,MPHOSPH9
ENSG00000138308,PLA2G12B
ENSG00000172007,RAB33B
ENSG00000134243,SORT1
ENSG00000161179,YDJC
ENSG00000138769,CDKL2
ENSG00000003393,ALS2
ENSG00000143924,EML4
ENSG00000101460,MAP1LC3A
ENSG00000109736,MFSD10
ENSG00000159251,ACTC1
ENSG00000079931,MOXD1
ENSG00000198053,SIRPA
ENSG00000104369,JPH1
ENSG00000134201,GSTM5
ENSG00000065613,SLK
ENSG00000180574,EIF2S3B
ENSG00000172878,METAP1D
ENSG00000163939,PBRM1
ENSG00000136436,CALCOCO2
ENSG00000168763,CNNM3
ENSG00000108823,SGCA
ENSG00000128283,CDC42EP1
ENSG00000163577,EIF5A2
ENSG00000126583,PRKCG
ENSG00000272772,
ENSG00000135605,TEC
ENSG00000164889,SLC4A2
ENSG00000132694,ARHGEF11
ENSG00000213654,GPSM3
ENSG00000125753,VASP
ENSG00000117266,CDK18
ENSG00000173801,JUP
ENSG00000177181,RIMKLA
ENSG00000167645,YIF1B
ENSG00000129158,SERGEF
ENSG00000205302,SNX2
ENSG00000279821,
ENSG00000101198,NKAIN4
ENSG00000135119,RNFT2
ENSG00000147804,SLC39A4
ENSG00000006327,TNFRSF12A
ENSG00000133216,EPHB2
ENSG00000127946,HIP1
ENSG00000127311,HELB
ENSG00000119900,OGFRL1
ENSG00000069998,HDHD5
ENSG00000120063,GNA13
ENSG00000107186,MPDZ
ENSG00000196498,NCOR2
ENSG00000112624,BICRAL
ENSG00000175229,GAL3ST3
ENSG00000143013,LMO4
ENSG00000196437,ZNF569
ENSG00000168710,AHCYL1
ENSG00000265354,TIMM23
ENSG00000285218,
ENSG00000163453,IGFBP7
ENSG00000124151,NCOA3
ENSG00000118257,NRP2
ENSG00000111799,COL12A1
ENSG00000082781,ITGB5
ENSG00000169031,COL4A3
ENSG00000119862,LGALSL
ENSG00000154370,TRIM11
ENSG00000254870,ATP6V1G2-DDX39B
ENSG00000160932,LY6E
ENSG00000240771,ARHGEF25
ENSG00000177119,ANO6
ENSG00000125863,MKKS
ENSG00000185532,PRKG1
ENSG00000120937,NPPB
ENSG00000107736,CDH23
ENSG00000126432,PRDX5
ENSG00000148248,SURF4
ENSG00000177427,MIEF2
ENSG00000204618,RNF39
ENSG00000136068,FLNB
ENSG00000171931,FBXW10
ENSG00000144283,PKP4
ENSG00000153944,MSI2
ENSG00000167491,GATAD2A
ENSG00000101160,CTSZ
ENSG00000164985,PSIP1
ENSG00000172638,EFEMP2
ENSG00000136881,BAAT
ENSG00000076641,PAG1
ENSG00000142910,TINAGL1
ENSG00000108924,HLF
ENSG00000125844,RRBP1
ENSG00000214087,ARL16
ENSG00000181284,TMEM102
ENSG00000126458,RRAS
ENSG00000123159,GIPC1
ENSG00000172062,SMN1
ENSG00000147852,VLDLR
ENSG00000198286,CARD11
ENSG00000163431,LMOD1
ENSG00000135723,FHOD1
ENSG00000103064,SLC7A6
ENSG00000168610,STAT3
ENSG00000172927,MYEOV
ENSG00000163697,APBB2
ENSG00000132581,SDF2
ENSG00000125735,TNFSF14
ENSG00000083168,KAT6A
ENSG00000104805,NUCB1
ENSG00000154864,PIEZO2
ENSG00000114993,RTKN
ENSG00000079335,CDC14A
ENSG00000204060,FOXO6
ENSG00000163629,PTPN13
ENSG00000169435,RASSF6
ENSG00000133131,MORC4
ENSG00000285708,
ENSG00000049192,ADAMTS6
ENSG00000064225,ST3GAL6
ENSG00000131748,STARD3
ENSG00000100167,SEPTIN3
ENSG00000118596,SLC16A7
ENSG00000179627,ZBTB42
ENSG00000023902,PLEKHO1
ENSG00000126602,TRAP1
ENSG00000073849,ST6GAL1
ENSG00000143702,CEP170
ENSG00000174938,SEZ6L2
ENSG00000149260,CAPN5
ENSG00000198931,APRT
ENSG00000173457,PPP1R14B
ENSG00000106948,AKNA
ENSG00000171631,P2RY6
ENSG00000014216,CAPN1
ENSG00000142002,DPP9
ENSG00000158290,CUL4B
ENSG00000133026,MYH10
ENSG00000146477,SLC22A3
ENSG00000116299,ELAPOR1
ENSG00000138346,DNA2
ENSG00000173950,XXYLT1
ENSG00000141664,ZCCHC2
ENSG00000170779,CDCA4
ENSG00000159461,AMFR
ENSG00000100097,LGALS1
ENSG00000165637,VDAC2
ENSG00000027847,B4GALT7
ENSG00000132434,LANCL2
ENSG00000186806,VSIG10L
ENSG00000131370,SH3BP5
ENSG00000145725,PPIP5K2
ENSG00000170921,TANC2
ENSG00000136943,CTSV
ENSG00000126947,ARMCX1
ENSG00000075218,GTSE1
ENSG00000143499,SMYD2
ENSG00000198315,ZKSCAN8
ENSG00000198858,R3HDM4
ENSG00000164855,TMEM184A
ENSG00000160888,IER2
ENSG00000198363,ASPH
ENSG00000178826,TMEM139
ENSG00000171608,PIK3CD
ENSG00000101335,MYL9
ENSG00000166801,FAM111A
ENSG00000120129,DUSP1
ENSG00000099849,RASSF7
ENSG00000177731,FLII
ENSG00000103496,STX4
ENSG00000107562,CXCL12
ENSG00000101850,GPR143
ENSG00000090615,GOLGA3
ENSG00000055332,EIF2AK2
ENSG00000157741,UBN2
ENSG00000099822,HCN2
ENSG00000122707,RECK
ENSG00000132821,VSTM2L
ENSG00000135631,RAB11FIP5
ENSG00000076770,MBNL3
ENSG00000006451,RALA
ENSG00000142634,EFHD2
ENSG00000186047,DLEU7
ENSG00000095066,HOOK2
ENSG00000170011,MYRIP
ENSG00000129116,PALLD
ENSG00000231924,PSG1
ENSG00000088682,COQ9
ENSG00000104763,ASAH1
ENSG00000141526,SLC16A3
ENSG00000142669,SH3BGRL3
ENSG00000107874,CUEDC2
ENSG00000196562,SULF2
ENSG00000074966,TXK
ENSG00000169490,TM2D2
ENSG00000129354,AP1M2
ENSG00000154978,VOPP1
ENSG00000121005,CRISPLD1
ENSG00000107669,ATE1
ENSG00000156650,KAT6B
ENSG00000151725,CENPU
ENSG00000167702,KIFC2
ENSG00000109180,OCIAD1
ENSG00000099256,PRTFDC1
ENSG00000196507,TCEAL3
ENSG00000174775,HRAS
ENSG00000172354,GNB2
ENSG00000145431,PDGFC
ENSG00000107537,PHYH
ENSG00000111737,RAB35
ENSG00000183605,SFXN4
ENSG00000197283,SYNGAP1
ENSG00000158604,TMED4
ENSG00000167202,TBC1D2B
ENSG00000097007,ABL1
ENSG00000038382,TRIO
ENSG00000099904,ZDHHC8
ENSG00000100242,SUN2
ENSG00000112977,DAP
ENSG00000118200,CAMSAP2
ENSG00000105339,DENND3
ENSG00000164896,FASTK
ENSG00000164265,SCGB3A2
ENSG00000079841,RIMS1
ENSG00000173230,GOLGB1
ENSG00000105429,MEGF8
ENSG00000075142,SRI
ENSG00000236609,ZNF853
ENSG00000085511,MAP3K4
ENSG00000142675,CNKSR1
ENSG00000172071,EIF2AK3
ENSG00000166471,TMEM41B
ENSG00000181852,RNF41
ENSG00000284686,
ENSG00000168615,ADAM9
ENSG00000109790,KLHL5
ENSG00000082258,CCNT2
ENSG00000136514,RTP4
ENSG00000068489,PRR11
ENSG00000166123,GPT2
ENSG00000100330,MTMR3
ENSG00000146963,LUC7L2
ENSG00000082641,NFE2L1
ENSG00000132640,BTBD3
ENSG00000137801,THBS1
ENSG00000166046,TCP11L2
ENSG00000125656,CLPP
ENSG00000198561,CTNND1
ENSG00000125520,SLC2A4RG
ENSG00000137573,SULF1
ENSG00000047188,YTHDC2
ENSG00000136114,THSD1
ENSG00000173210,ABLIM3
ENSG00000137094,DNAJB5
ENSG00000136425,CIB2
ENSG00000073910,FRY
ENSG00000087903,RFX2
ENSG00000137161,CNPY3
ENSG00000158109,TPRG1L
ENSG00000141448,GATA6
ENSG00000131374,TBC1D5
ENSG00000169047,IRS1
ENSG00000100345,MYH9
ENSG00000158528,PPP1R9A
ENSG00000128881,TTBK2
ENSG00000100258,LMF2
ENSG00000111012,CYP27B1
ENSG00000090266,NDUFB2
ENSG00000148335,NTMT1
ENSG00000167792,NDUFV1
ENSG00000155876,RRAGA
ENSG00000075568,TMEM131
ENSG00000158747,NBL1
ENSG00000137575,SDCBP
ENSG00000162944,RFTN2
ENSG00000163659,TIPARP
ENSG00000128591,FLNC
ENSG00000138642,HERC6
ENSG00000161714,PLCD3
ENSG00000145242,EPHA5
ENSG00000173193,PARP14
ENSG00000135245,HILPDA
ENSG00000175727,MLXIP
ENSG00000153561,RMND5A
ENSG00000213722,DDAH2
ENSG00000184205,TSPYL2
ENSG00000064961,HMG20B
ENSG00000138398,PPIG
ENSG00000173705,SUSD5
ENSG00000118473,SGIP1
ENSG00000181323,SPEM1
ENSG00000135678,CPM
ENSG00000068383,INPP5A
ENSG00000105137,SYDE1
ENSG00000154589,LY96
ENSG00000172270,BSG
ENSG00000281571,
ENSG00000132334,PTPRE
ENSG00000107829,FBXW4
ENSG00000171401,KRT13
ENSG00000100938,GMPR2
ENSG00000095752,IL11
ENSG00000095637,SORBS1
ENSG00000147065,MSN
ENSG00000142327,RNPEPL1
ENSG00000164142,FHIP1A
ENSG00000116016,EPAS1
ENSG00000148120,AOPEP
ENSG00000169410,PTPN9
ENSG00000165730,STOX1
ENSG00000119574,ZBTB45
ENSG00000198911,SREBF2
ENSG00000182903,ZNF721
ENSG00000173276,ZBTB21
ENSG00000183454,GRIN2A
ENSG00000205482,SPDYE18
ENSG00000183066,WBP2NL
ENSG00000158286,RNF207
ENSG00000168411,RFWD3
ENSG00000136830,NIBAN2
ENSG00000173511,VEGFB
ENSG00000166189,HPS6
ENSG00000101670,LIPG
ENSG00000124766,SOX4
ENSG00000102178,UBL4A
ENSG00000173068,BNC2
ENSG00000289281,
ENSG00000163617,CCDC191
ENSG00000110318,CEP126
ENSG00000142459,EVI5L
ENSG00000149311,ATM
ENSG00000174371,EXO1
ENSG00000154447,SH3RF1
ENSG00000142544,CTU1
ENSG00000125772,GPCPD1
ENSG00000165115,KIF27
ENSG00000167100,SAMD14
ENSG00000053747,LAMA3
ENSG00000206199,ANKUB1
ENSG00000173889,PHC3
ENSG00000131408,NR1H2
ENSG00000090520,DNAJB11
ENSG00000117411,B4GALT2
ENSG00000173153,ESRRA
ENSG00000099860,GADD45B
ENSG00000008394,MGST1
ENSG00000152527,PLEKHH2
ENSG00000102471,NDFIP2
ENSG00000111665,CDCA3
ENSG00000077254,USP33
ENSG00000189337,KAZN
ENSG00000196924,FLNA
ENSG00000166886,NAB2
ENSG00000131773,KHDRBS3
ENSG00000168439,STIP1
ENSG00000130956,HABP4
ENSG00000179057,IGSF22
ENSG00000151729,SLC25A4
ENSG00000003987,MTMR7
ENSG00000126368,NR1D1
ENSG00000080845,DLGAP4
ENSG00000140853,NLRC5
ENSG00000110975,SYT10
ENSG00000205929,C21orf62
ENSG00000163947,ARHGEF3
ENSG00000170289,CNGB3
ENSG00000161999,JMJD8
ENSG00000129038,LOXL1
ENSG00000087245,MMP2
ENSG00000119280,C1orf198
ENSG00000168092,PAFAH1B2
ENSG00000140950,MEAK7
ENSG00000133612,AGAP3
ENSG00000131759,RARA
ENSG00000169946,ZFPM2
ENSG00000196581,AJAP1
ENSG00000133169,BEX1
ENSG00000105329,TGFB1
ENSG00000124831,LRRFIP1
ENSG00000112406,HECA
ENSG00000125257,ABCC4
ENSG00000133106,EPSTI1
ENSG00000073282,TP63
ENSG00000099625,CBARP
ENSG00000143819,EPHX1
ENSG00000142627,EPHA2
ENSG00000156804,FBXO32
ENSG00000119471,HSDL2
ENSG00000172379,ARNT2
ENSG00000047849,MAP4
ENSG00000177076,ACER2
ENSG00000108819,PPP1R9B
ENSG00000181444,ZNF467
ENSG00000115419,GLS
ENSG00000130175,PRKCSH
ENSG00000277258,PCGF2
ENSG00000122386,ZNF205
ENSG00000105373,NOP53
ENSG00000126070,AGO3
ENSG00000169184,MN1
ENSG00000138802,SEC24B
ENSG00000172663,TMEM134
ENSG00000163798,SLC4A1AP
ENSG00000120594,PLXDC2
ENSG00000189283,FHIT
ENSG00000159082,SYNJ1
ENSG00000148935,GAS2
ENSG00000089723,OTUB2
ENSG00000171320,ESCO2
ENSG00000176022,B3GALT6
ENSG00000206418,RAB12
ENSG00000125970,RALY
ENSG00000185033,SEMA4B
ENSG00000168899,VAMP5
ENSG00000112796,ENPP5
ENSG00000137462,TLR2
ENSG00000167394,ZNF668
ENSG00000100196,KDELR3
ENSG00000141756,FKBP10
ENSG00000106537,TSPAN13
ENSG00000079308,TNS1
