pathway,pvalue,overlap_count,overlap_genes
KEGG_CELL_CYCLE,6.770645183693339e-17,36,"ANAPC1,CCNB1,ATM,ORC1,CCNB2,BUB1,RBL1,CDC25C,PLK1,RAD21,MCM4,CCNA2,CCNE2,CDC20,TTK,MCM5,E2F2,CDC7,PTTG1,MCM6,ORC6,SMC1A,ESPL1,CREBBP,SMAD3,BUB1B,PRKDC,STAG2,RB1,MDM2,MCM3,CDC45,CDC25B,CHEK2,CDK1,CDC6"
KEGG_DNA_REPLICATION,2.882433223395561e-07,12,"MCM6,POLD3,PRIM2,MCM5,RFC4,RFC3,MCM4,DNA2,POLE2,MCM3,RFC2,LIG1"
KEGG_MISMATCH_REPAIR,1.9332924103477134e-06,9,"MSH3,MSH2,POLD3,EXO1,PMS2,RFC4,RFC3,RFC2,LIG1"
KEGG_OOCYTE_MEIOSIS,4.281057783621275e-05,18,"ANAPC1,PTTG1,FBXO5,PPP2R5A,CCNB1,SMC1A,ESPL1,CDK1,PPP1CC,CCNB2,ADCY3,BUB1,AURKA,CDC25C,PLK1,SLK,CDC20,CCNE2"
KEGG_HOMOLOGOUS_RECOMBINATION,0.0001000118820771683,8,"XRCC2,RAD51,POLD3,RAD52,RAD54L,NBN,BLM,BRCA2"
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.0004597547689273787,5,"NR1D1,NPAS2,PER2,PER3,BHLHE41"
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.0005854253415475785,9,"XPC,POLD3,GTF2H2,RFC4,CUL4B,RFC3,POLE2,RFC2,LIG1"
KEGG_P53_SIGNALING_PATHWAY,0.0012107299158768984,11,"CCNB1,ATM,CHEK2,CDK1,SESN1,CCNB2,GTSE1,RRM2,CCNE2,MDM2,MDM4"
KEGG_PATHWAYS_IN_CANCER,0.0012167102471434457,32,"MSH2,PLCG2,ARNT2,FOXO1,BMP2,DAPK1,LAMA3,CCNE2,BCL2,LEF1,HSP90AB1,RAD51,FOS,DAPK2,JAK1,E2F2,BRCA2,STAT5A,PDGFRA,CBLB,MSH3,CREBBP,SMAD3,PIAS1,RB1,MDM2,LAMB3,STAT3,BIRC5,GLI3,DVL3,WNT2B"
KEGG_PURINE_METABOLISM,0.001317995132511826,19,"POLD3,PDE7B,AK5,PPAT,ADCY3,ENPP1,PAICS,ENTPD5,PDE5A,GMPS,AMPD3,POLE2,PRPS2,RRM1,PRIM2,POLR2A,PDE1A,PAPSS2,RRM2"
KEGG_BASE_EXCISION_REPAIR,0.0027099225671534397,7,"POLD3,NEIL3,PARP1,PARP4,PARP2,POLE2,LIG1"
