perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
3502_GPN1_P1P2_ENSG00000198522,GPN1,0.6666072860622192,0.23353032042287053,-0.4330769656393486
8651_TAF10_P1P2_ENSG00000166337,TAF10,0.6185890086997687,0.24979946997717944,-0.36878953872258935
4150_INTS5_P1P2_ENSG00000185085,INTS5,0.5827936629878232,0.2628799795926864,-0.3199136833951368
2176_DGKD_P1P2_ENSG00000077044,DGKD,0.567566306834131,0.2858126780323915,-0.28175362880173943
4185_IRF2BP2_P2_ENSG00000168264,IRF2BP2,0.5670463399651144,0.24992134688150053,-0.31712499308361397
8653_TAF12_P1P2_ENSG00000120656,TAF12,0.5658479393869085,0.23470940861356865,-0.3311385307733399
5427_NAA25_P1P2_ENSG00000111300,NAA25,0.5601282774809577,0.2498901690687702,-0.31023810841218746
4957_MED7_P1P2_ENSG00000155868,MED7,0.5468046595595213,0.2919235293283896,-0.2548811302311316
2175_DGCR8_P1P2_ENSG00000128191,DGCR8,0.5415158238275861,0.23601037370859668,-0.30550545011898944
4317_KDM1A_P1P2_ENSG00000004487,KDM1A,0.5404355483651736,0.24243300313194588,-0.2980025452332277
2429_DYNLRB1_P1_ENSG00000125971,DYNLRB1,0.5347288167443869,0.23447982653798155,-0.3002489902064053
6062_PAPOLA_P1P2_ENSG00000090060,PAPOLA,0.5332185553906605,0.16258095602511213,-0.3706375993655484
505_ARL1_P1P2_ENSG00000120805,ARL1,0.5260875245277274,0.20866743194024018,-0.3174200925874873
2606_ELP4_P1P2_ENSG00000109911,ELP4,0.5244811754834298,0.22020038830548222,-0.3042807871779475
1526_CERS6_P1P2_ENSG00000172292,CERS6,0.5151193294072947,0.20062072190807528,-0.3144986074992193
2678_EPRS_P1P2_ENSG00000136628,EPRS,0.5149167979104674,0.24756033615349798,-0.2673564617569695
4953_MED30_P1P2_ENSG00000164758,MED30,0.5147661078411252,0.23455068520327826,-0.28021542263784693
8594_SUPT16H_P1P2_ENSG00000092201,SUPT16H,0.5131618438207829,0.21023482561681406,-0.30292701820396883
1808_COX15_P1P2_ENSG00000014919,COX15,0.5089585349260097,0.252494933605422,-0.25646360132058776
9484_UBA6_P1P2_ENSG00000033178,UBA6,0.5057827394876553,0.21066848064849214,-0.29511425883916315
9875_GET1_P1P2_ENSG00000182093,GET1,0.5036649811902398,0.20849170245027715,-0.2951732787399627
9245_TRAPPC1_P1P2_ENSG00000170043,TRAPPC1,0.5029863787344248,0.3613791930615049,-0.14160718567291988
4540_LDB1_P2_ENSG00000198728,LDB1,0.5002352745282093,0.19063531879312684,-0.3095999557350824
2901_FAM20B_P1P2_ENSG00000116199,FAM20B,0.49752416702548874,0.3708600824794821,-0.12666408454600664
3570_GTF2E2_P1P2_ENSG00000197265,GTF2E2,0.4963801555404206,0.29800320281166576,-0.19837695272875486
4932_MED12_P1P2_ENSG00000184634,MED12,0.49410232825125483,0.22944602695462774,-0.2646563012966271
9896_XPO1_P1P2_ENSG00000082898,XPO1,0.4926585811225045,0.23509204540622836,-0.25756653571627613
1538_CFLAR_P1_ENSG00000003402,CFLAR,0.49184890554421734,0.15373496024828393,-0.3381139452959334
6480_PMPCB_P1_ENSG00000105819,PMPCB,0.4910590421632672,0.17357255218740103,-0.31748648997586615
8399_SRD5A3_P1P2_ENSG00000128039,SRD5A3,0.4909103514899656,0.24049997874239176,-0.25041037274757383
10567_ZNF704_P1P2_ENSG00000164684,ZNF704,0.4900267194292765,0.19225656505533767,-0.29777015437393883
1583_CHMP3_P1P2_ENSG00000115561,CHMP3,0.4890730261720044,0.15241982342019939,-0.336653202751805
1008_NDUFAF8_P1P2_ENSG00000224877,NDUFAF8,0.48834845768082313,0.13851168459390484,-0.3498367730869183
2198_DHRS4_P1P2_ENSG00000157326,DHRS4,0.48809350794429807,0.16162861556339192,-0.32646489238090615
