category,gene,ARE_effect,enrichment_score
Query-UP,STXBP4,Activates,0.12827894088670416
Query-UP,AFMID,Activates,0.12635467980295623
Query-UP,SLC25A20,Activates,0.10532635467982138
Query-UP,HERC4,Activates,0.10245535714286076
Query-UP,STK17B,Activates,0.0961206896551728
Query-UP,HDAC1,Activates,0.09339593596059499
Query-UP,CD52,Suppresses,-0.15076970443348242
Query-UP,ITGB5,Suppresses,-0.14207204433496273
Query-UP,TPM1,Suppresses,-0.13097290640391548
Query-UP,PCMTD1,Suppresses,-0.12156711822659996
Query-UP,HSD17B4,Suppresses,-0.11438577586206633
Query-UP,MED28,Suppresses,-0.11348522167487408
Query-DOWN,PTPRA,Activates,0.1755157019704415
Query-DOWN,DDX19B,Activates,0.13571428571429464
Query-DOWN,ACAT2,Activates,0.13124230295567285
Query-DOWN,LSS,Activates,0.13004926108375064
Query-DOWN,PSMC1,Activates,0.12249076354681065
Query-DOWN,HAMP,Activates,0.12105141625616367
Query-DOWN,SP7,Suppresses,-0.15651169950738625
Query-DOWN,CLU,Suppresses,-0.13842364532018883
Query-DOWN,PSAP,Suppresses,-0.1268165024630425
Query-DOWN,NEPRO,Suppresses,-0.12652401477832212
Query-DOWN,TIMM23B,Suppresses,-0.11490917487684048
Query-DOWN,DEAF1,Suppresses,-0.11426262315269115
