perturbation_id,knockdown_gene,direction,ARE_enrichment
5487_NCAPD2_P1P2_ENSG00000010292,NCAPD2,UP,0.051062192118223694
9182_TOR1AIP2_P1P2_ENSG00000169905,TOR1AIP2,UP,-0.08606065270935905
8731_TBCK_P1P2_ENSG00000145348,TBCK,UP,0.039385775862068
8670_TAF8_P1P2_ENSG00000137413,TAF8,UP,0.1177647783251256
5527_NDRG3_P1P2_ENSG00000101079,NDRG3,UP,-0.07408405172413984
9800_WDFY2_P1P2_ENSG00000139668,WDFY2,UP,0.07087438423645295
1159_CALM3_ENST00000291295.9_ENSG00000160014,CALM3,UP,-0.05607296798029646
1522_CERK_P1P2_ENSG00000100422,CERK,UP,0.06173029556650078
2498_EFNA3_P1_ENSG00000143590,EFNA3,UP,-0.05227832512315363
2499_EFNA3_P2_ENSG00000143590,EFNA3,UP,-0.09876847290639916
6917_PTMS_P1P2_ENSG00000159335,PTMS,UP,0.09046336206896659
4751_MAF1_P1P2_ENSG00000179632,MAF1,UP,-0.0813192733990145
2364_DPY19L2_P1P2_ENSG00000177990,DPY19L2,UP,-0.10511083743842253
6163_GATD1_P1P2_ENSG00000177225,GATD1,UP,0.10542641625615999
1146_CACNB3_P2_ENSG00000167535,CACNB3,UP,0.10277093596059139
1147_CACNB3_P1_ENSG00000167535,CACNB3,UP,-0.0750923645320223
2018_DACH1_P1P2_ENSG00000276644,DACH1,UP,-0.10917487684728568
9433_TUSC2_P1P2_ENSG00000114383,TUSC2,UP,0.056488608374380696
54_ABI2_P1P2_ENSG00000138443,ABI2,UP,0.0888008004926135
8063_SLC38A1_P1P2_ENSG00000111371,SLC38A1,UP,0.10996767241379761
650_ATP2B4_P1P2_ENSG00000058668,ATP2B4,UP,-0.09160252463054089
393_APBA2_P1P2_ENSG00000034053,APBA2,UP,0.05030018472906265
5109_MLH3_P1P2_ENSG00000119684,MLH3,UP,0.061622536945810394
4439_KLHL23_P1_ENSG00000213160,KLHL23,UP,0.04453509852216518
4440_KLHL23_P2_ENSG00000213160,KLHL23,UP,-0.06940424876847416
747_BAG2_P1P2_ENSG00000112208,BAG2,UP,-0.04803725369458281
6489_PNMA1_P1P2_ENSG00000176903,PNMA1,UP,0.053771551724136085
1562_CHD7_P1P2_ENSG00000171316,CHD7,UP,0.08850831280788216
8196_SMYD4_P1P2_ENSG00000186532,SMYD4,UP,0.16440886699507617
9434_TUSC3_P1P2_ENSG00000104723,TUSC3,UP,0.07484605911329993
1428_CDK19_P1P2_ENSG00000155111,CDK19,UP,-0.059959975369461904
2169_DFFA_P1P2_ENSG00000160049,DFFA,UP,-0.07172875615763726
1542_CHAC1_P1P2_ENSG00000128965,CHAC1,UP,-0.08067272167487864
5980_OSBPL6_P1P2_ENSG00000079156,OSBPL6,UP,-0.032242918719212366
10480_ZNF586_P1P2_ENSG00000083828,ZNF586,UP,0.14110991379310614
480_ARHGEF25_P1P2_ENSG00000240771,ARHGEF25,UP,0.12158251231527031
3696_HERPUD2_P1P2_ENSG00000122557,HERPUD2,UP,-0.06483990147783499
5011_MEX3A_P1P2_ENSG00000254726,MEX3A,UP,-0.09355757389162209
10237_ZNF250_P1P2_ENSG00000196150,ZNF250,UP,0.05054649014778046
10043_ZDHHC14_P1P2_ENSG00000175048,ZDHHC14,UP,-0.08328971674876659
8564_STXBP4_P1P2_ENSG00000166263,STXBP4,UP,0.12827894088670416
1980_CXXC4_P1P2_ENSG00000168772,CXXC4,UP,0.14061730295566705
10044_ZDHHC16_P1P2_ENSG00000171307,ZDHHC16,UP,0.08756927339901464
5512_NCOR1_P1P2_ENSG00000141027,NCOR1,UP,0.10673491379311081
1187_CAPZB_P1P2_ENSG00000077549,CAPZB,UP,-0.06868842364532303
1304_CCDC88C_P1P2_ENSG00000015133,CCDC88C,UP,0.14862222906405373
4241_ITSN1_P1P2_ENSG00000205726,ITSN1,UP,0.15387161330049723
8207_SNAPC3_P1P2_ENSG00000164975,SNAPC3,UP,-0.12633158866994298
238_AKNA_P1_ENSG00000106948,AKNA,UP,-0.0844519704433525
239_AKNA_P2_ENSG00000106948,AKNA,UP,0.05212438423645308
6019_P4HA2_P1P2_ENSG00000072682,P4HA2,UP,0.08831588669951329
471_ARHGAP6_P1P2_ENSG00000047648,ARHGAP6,UP,0.05444119458127983
1021_TIMM29_P1P2_ENSG00000142444,TIMM29,UP,-0.055911330049265705
10392_ZNF488_P1_ENSG00000265763,ZNF488,UP,0.05782019704433347
10393_ZNF488_P2_ENSG00000265763,ZNF488,UP,0.08792333743842483
314_ANK1_P1P2_ENSG00000029534,ANK1,UP,-0.08176570197044443
1218_CBFA2T3_P1_ENSG00000129993,CBFA2T3,UP,0.05494150246305191
1219_CBFA2T3_P2_ENSG00000129993,CBFA2T3,UP,0.09766779556649967
1589_CHMP7_P1P2_ENSG00000147457,CHMP7,UP,0.07193657635467483
8792_TCP11L1_P1P2_ENSG00000176148,TCP11L1,UP,-0.06179956896551874
7160_RBM15_P1P2_ENSG00000162775,RBM15,UP,0.0666871921182245
10532_ZNF660_P1P2_ENSG00000144792,ZNF660,UP,-0.10464901477832374
3075_FGFR4_P1P2_ENSG00000160867,FGFR4,UP,0.08065732758620393
10717_ZSCAN22_P1P2_ENSG00000182318,ZSCAN22,UP,0.06678725369457711
2907_FAM216A_P1P2_ENSG00000204856,FAM216A,UP,-0.08569889162561724
10581_ZNF713_P1P2_ENSG00000178665,ZNF713,UP,-0.05416410098522404
374_AP2A2_P1P2_ENSG00000183020,AP2A2,UP,0.07138238916256115
3467_GOLIM4_P1P2_ENSG00000173905,GOLIM4,UP,-0.06838054187192141
2221_DIAPH3_P1P2_ENSG00000139734,DIAPH3,UP,0.08158866995073834
9134_TNIK_P1P2_ENSG00000154310,TNIK,UP,0.04244150246305382
6935_PTPRF_P1P2_ENSG00000142949,PTPRF,UP,-0.06689501231527212
3665_HDAC5_P1P2_ENSG00000108840,HDAC5,UP,-0.06369304187192207
5015_MEX3D_P1P2_ENSG00000181588,MEX3D,UP,0.04520474137931004
3834_HMGN1_P1P2_ENSG00000205581,HMGN1,UP,-0.06216902709359744
2692_ERC1_P1P2_ENSG00000082805,ERC1,UP,-0.06757235221675281
1322_CCND2_P1P2_ENSG00000118971,CCND2,UP,-0.06992764778325358
"10267_ZNF285_ENST00000330997.4,ENST00000544719.2_ENSG00000267508",ZNF285,UP,0.06326970443349167
2702_ERGIC1_P1P2_ENSG00000113719,ERGIC1,UP,-0.06292333743842429
231_AKAP1_P1P2_ENSG00000121057,AKAP1,UP,-0.10965209359605314
833_BICD2_P1P2_ENSG00000185963,BICD2,UP,-0.045243226600986175
10214_ZNF221_P1P2_ENSG00000159905,ZNF221,UP,-0.059113300492613124
10368_ZNF444_P1P2_ENSG00000167685,ZNF444,UP,-0.05284020935960766
3692_HEPH_P1P2_ENSG00000089472,HEPH,UP,0.05502616995073755
7788_SEPTIN6_P1P2_ENSG00000125354,SEPTIN6,UP,0.0651323891625594
4796_MAP1A_P1P2_ENSG00000166963,MAP1A,UP,-0.06600215517241907
6953_PURG_P1P2_ENSG00000172733,PURG,UP,-0.06156865763546987
3055_FEM1A_P1P2_ENSG00000141965,FEM1A,UP,0.05053109605911066
2022_DAGLB_ENST00000297056.6_ENSG00000164535,DAGLB,UP,-0.07012777093596166
2182_DGKZ_P1P2_ENSG00000149091,DGKZ,UP,0.06962746305418367
3457_GOLGA3_P1P2_ENSG00000090615,GOLGA3,UP,-0.14532789408865288
10164_ZNF132_P1P2_ENSG00000131849,ZNF132,UP,-0.10945966748768032
8715_TBC1D24_P1P2_ENSG00000162065,TBC1D24,UP,0.06966594827586155
6418_PLCB1_P1P2_ENSG00000182621,PLCB1,UP,0.057112068965515864
10333_ZNF398_P1P2_ENSG00000197024,ZNF398,UP,-0.12466902709358998
2290_DNAJC16_P1P2_ENSG00000116138,DNAJC16,UP,0.0722906403940848
2421_DYNC1H1_P1P2_ENSG00000197102,DYNC1H1,UP,0.08126539408866672
8994_TMEM127_P1P2_ENSG00000135956,TMEM127,UP,0.05688115763546469
6168_PDE4DIP_ENST00000313431.9_ENSG00000178104,PDE4DIP,UP,-0.06481681034483225
4370_MFSD4B_P1P2_ENSG00000173214,MFSD4B,UP,0.07370689655172231
196_AGPAT4_P1P2_ENSG00000026652,AGPAT4,UP,0.08094211822660262
10120_ZIC3_P1P2_ENSG00000156925,ZIC3,UP,-0.05908251231527225
2673_EPN2_P1_ENSG00000072134,EPN2,UP,-0.10827432266009321
2674_EPN2_P2_ENSG00000072134,EPN2,UP,-0.10379464285713527
4686_LSM11_P1P2_ENSG00000155858,LSM11,UP,0.059590517241375394
1559_CHD3_P1P2_ENSG00000170004,CHD3,UP,-0.10742764778324332
8013_SLC25A53_P1P2_ENSG00000269743,SLC25A53,UP,0.06779556650246031
3845_HMX1_P1P2_ENSG00000215612,HMX1,UP,0.14101754926109206
6194_PDPR_P1P2_ENSG00000090857,PDPR,UP,0.11223060344829133
7872_SH3BGRL2_P1P2_ENSG00000198478,SH3BGRL2,UP,0.04326508620689519
4424_KLF8_P1P2_ENSG00000102349,KLF8,UP,-0.09102524630542255
4399_KIFC2_P1P2_ENSG00000167702,KIFC2,UP,0.04754464285714081
5501_NCKIPSD_P1P2_ENSG00000213672,NCKIPSD,UP,-0.06150708128079147
8896_THRB_P1P2_ENSG00000151090,THRB,UP,0.07867918719211434
4176_IQSEC2_P1_ENSG00000124313,IQSEC2,UP,-0.11471674876846967
4177_IQSEC2_P2_ENSG00000124313,IQSEC2,UP,0.04720597290640015
1825_CPAMD8_ENST00000443236.1_ENSG00000160111,CPAMD8,UP,0.09070197044335458
4840_MAPRE2_P2_ENSG00000166974,MAPRE2,UP,0.07616225369457987
4841_MAPRE2_P1_ENSG00000166974,MAPRE2,UP,-0.0905095443349787
7642_SAMD1_P1P2_ENSG00000141858,SAMD1,UP,0.07311422413792995
8751_TBX20_P1P2_ENSG00000164532,TBX20,UP,0.049638238916254684
9545_UBR2_P1P2_ENSG00000024048,UBR2,UP,0.06773399014778245
10690_ZNF891_P1P2_ENSG00000214029,ZNF891,UP,-0.1312499999999957
1869_CRELD1_P1P2_ENSG00000163703,CRELD1,UP,-0.07451508620689802
5381_MYH10_P1P2_ENSG00000133026,MYH10,UP,0.08124230295566495
9857_WEE1_P1P2_ENSG00000166483,WEE1,UP,0.141502463054207
7765_SELPLG_P1P2_ENSG00000110876,SELPLG,UP,0.05684267241379117
4979_MESP1_P1P2_ENSG00000166823,MESP1,UP,-0.09796798029556177
7147_RBFOX2_P2_ENSG00000100320,RBFOX2,UP,0.08576816502463015
7148_RBFOX2_P1_ENSG00000100320,RBFOX2,UP,-0.0517934113300542
3251_GABBR1_P2_ENSG00000204681,GABBR1,UP,-0.12317580049260944
3252_GABBR1_P1_ENSG00000204681,GABBR1,UP,-0.12027401477832152
10435_ZNF546_P1P2_ENSG00000187187,ZNF546,UP,-0.07705511083743981
690_ATP8B2_P1_ENSG00000143515,ATP8B2,UP,0.06946582512315277
691_ATP8B2_P2_ENSG00000143515,ATP8B2,UP,0.0626154556650218
4967_MEIS2_P1P2_ENSG00000134138,MEIS2,UP,0.07172875615763369
7936_SIX6_P1P2_ENSG00000184302,SIX6,UP,-0.08171951970443608
1393_CDC25B_P1P2_ENSG00000101224,CDC25B,UP,-0.05150862068965899
1072_C2CD2_P1P2_ENSG00000157617,C2CD2,UP,-0.0862530788177344
5436_NAB2_P1P2_ENSG00000166886,NAB2,UP,-0.08025708128078658
3395_GLIS1_ENST00000312233.2_ENSG00000174332,GLIS1,UP,-0.13496767241378801
1846_CPT1A_P1P2_ENSG00000110090,CPT1A,UP,0.058759236453201476
2916_FAM229B_P1P2_ENSG00000203778,FAM229B,UP,-0.08140394088670244
2624_EML2_P1_ENSG00000125746,EML2,UP,0.13583743842364823
2625_EML2_P2_ENSG00000125746,EML2,UP,-0.08637623152709574
10584_ZNF717_P1P2_ENSG00000227124,ZNF717,UP,0.10882081280788285
2666_EPCAM_P1P2_ENSG00000119888,EPCAM,UP,-0.07329125615763908
8386_SPTB_P1P2_ENSG00000070182,SPTB,UP,-0.08338977832512305
828_BHLHE22_P1P2_ENSG00000180828,BHLHE22,UP,0.08609144088669725
3163_FOXI3_P1P2_ENSG00000214336,FOXI3,UP,-0.10070812807881453
8051_SLC35F2_P1P2_ENSG00000110660,SLC35F2,UP,-0.10651939655171809
10074_ZFHX2_P1_ENSG00000136367,ZFHX2,UP,0.09764470443350251
10075_ZFHX2_P2_ENSG00000136367,ZFHX2,UP,0.10012315270936134
7685_SCAPER_P1P2_ENSG00000140386,SCAPER,UP,0.07902555418719148
328_ANKRD13B_P1P2_ENSG00000198720,ANKRD13B,UP,-0.056858066502464416
3944_HS6ST1_P1P2_ENSG00000136720,HS6ST1,UP,0.057273706896549745
2240_DLG5_P1P2_ENSG00000151208,DLG5,UP,0.05568811576354593
3199_FRAT2_P1P2_ENSG00000181274,FRAT2,UP,0.10110837438423532
4737_LZTR1_P1P2_ENSG00000099949,LZTR1,UP,0.07984913793103324
2904_INKA2_P1P2_ENSG00000197852,INKA2,UP,-0.12666256157635167
51_ABHD6_P1P2_ENSG00000163686,ABHD6,UP,-0.09192580049260442
2901_FAM20B_P1P2_ENSG00000116199,FAM20B,UP,-0.0746074507389174
2363_DPY19L1_ENST00000310974.4_ENSG00000173852,DPY19L1,UP,0.10891317733990315
4964_MEGF8_P1P2_ENSG00000105429,MEGF8,UP,0.042657019704432836
10402_ZNF501_P1P2_ENSG00000186446,ZNF501,UP,0.06244612068965374
3012_FBXO31_P1_ENSG00000103264,FBXO31,UP,-0.08312038177339791
3013_FBXO31_P2_ENSG00000103264,FBXO31,UP,-0.0560575738916278
10462_ZNF573_P1P2_ENSG00000189144,ZNF573,UP,-0.0769473522167484
4968_MEIS3_P2_ENSG00000105419,MEIS3,UP,0.07177493842364231
4969_MEIS3_P1_ENSG00000105419,MEIS3,UP,0.0874461206896582
6234_PEX6_P1P2_ENSG00000124587,PEX6,UP,-0.046366995073892844
8085_SLC43A1_P1P2_ENSG00000149150,SLC43A1,UP,0.06091440886699194
1032_C1QBP_P1P2_ENSG00000108561,C1QBP,DOWN,-0.10090825123151824
29_ABCC5_P1P2_ENSG00000114770,ABCC5,DOWN,-0.05752001231527259
5607_NETO2_P1P2_ENSG00000171208,NETO2,DOWN,0.07920258620689109
8830_TEX2_P1P2_ENSG00000136478,TEX2,DOWN,-0.10649630541871692
8301_SOX9_P1P2_ENSG00000125398,SOX9,DOWN,-0.09608220443349057
8350_SPG21_P1P2_ENSG00000090487,SPG21,DOWN,0.06357758620689431
2375_DRGX_P1P2_ENSG00000165606,DRGX,DOWN,-0.12145166256157035
787_BCAT1_P1P2_ENSG00000060982,BCAT1,DOWN,-0.13653786945812646
1913_CST3_P1P2_ENSG00000101439,CST3,DOWN,0.06688731527093572
4726_LYPLAL1_P1P2_ENSG00000143353,LYPLAL1,DOWN,0.04432727832512302
4892_MCCC2_P1P2_ENSG00000131844,MCCC2,DOWN,0.11040640394088931
2602_ELOVL5_P1P2_ENSG00000012660,ELOVL5,DOWN,0.06333128078817445
6865_PSMD11_P1P2_ENSG00000108671,PSMD11,DOWN,0.10591902709359845
4138_INPP5K_P1P2_ENSG00000132376,INPP5K,DOWN,-0.08119612068965491
2016_DAAM1_P1P2_ENSG00000100592,DAAM1,DOWN,-0.06791871921182455
7894_SHISA5_P1P2_ENSG00000164054,SHISA5,DOWN,0.07774014778325032
1280_CCDC51_P1P2_ENSG00000164051,CCDC51,DOWN,0.061430110837437414
8094_SLC4A2_P2_ENSG00000164889,SLC4A2,DOWN,0.08713054187192032
8095_SLC4A2_P1_ENSG00000164889,SLC4A2,DOWN,0.07653171182265887
219_CRYBG1_P1P2_ENSG00000112297,CRYBG1,DOWN,-0.05217826354679865
6001_OTX2_P1P2_ENSG00000165588,OTX2,DOWN,0.12222136699507861
3048_FDFT1_P1_ENSG00000079459,FDFT1,DOWN,-0.05297875615763758
3049_FDFT1_P2_ENSG00000079459,FDFT1,DOWN,0.08803109605911358
7339_RNF114_P1P2_ENSG00000124226,RNF114,DOWN,-0.06978910098522394
7265_RFX8_P1P2_ENSG00000196460,RFX8,DOWN,-0.0886160714285711
5248_MRPS18A_P1P2_ENSG00000096080,MRPS18A,DOWN,0.09084051724138163
1374_CD63_P1P2_ENSG00000135404,CD63,DOWN,-0.06530942118227176
3426_GMPR_P1P2_ENSG00000137198,GMPR,DOWN,-0.04903786945813047
8701_TAX1BP1_P1P2_ENSG00000106052,TAX1BP1,DOWN,-0.0740994458128086
3218_FUCA2_P1P2_ENSG00000001036,FUCA2,DOWN,-0.08839285714285935
8096_SLC4A5_P1_ENSG00000188687,SLC4A5,DOWN,0.07108220443349557
8097_SLC4A5_P2_ENSG00000188687,SLC4A5,DOWN,0.054618226600981985
5765_NPC2_P1P2_ENSG00000119655,NPC2,DOWN,0.07316810344827453
6372_PIP4K2C_P1P2_ENSG00000166908,PIP4K2C,DOWN,-0.08903171182266217
5718_NMNAT3_P1P2_ENSG00000163864,NMNAT3,DOWN,-0.07380695812808298
2804_EZR_P2_ENSG00000092820,EZR,DOWN,-0.06316194581281039
